Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.018468,5.551199,[13 24] ; [13 69],[ 8.08403361 28.91596639] ; [17.91596639 64.08403361],0
b2,1,0.600534,0.274192,[ 5 17] ; [16 40],[ 5.92307692 16.07692308] ; [15.07692308 40.92307692],0
b3,1,0.600534,0.274192,[ 5 17] ; [16 40],[ 5.92307692 16.07692308] ; [15.07692308 40.92307692],0
r2,1,0.689025,0.160143,[31  6] ; [67 16],[30.21666667  6.78333333] ; [67.78333333 15.21666667],0
a7,1,0.692616,0.156268,[23 14] ; [49 35],[22.01652893 14.98347107] ; [49.98347107 34.01652893],0
p1,1,0.756794,0.09591,[ 3 35] ; [ 8 75],[ 3.45454545 34.54545455] ; [ 7.54545455 75.45454545],0
a1,1,0.771102,0.084642,[ 3 35] ; [ 8 76],[ 3.42622951 34.57377049] ; [ 7.57377049 76.42622951],0
u1,1,0.771102,0.084642,[ 3 35] ; [ 8 76],[ 3.42622951 34.57377049] ; [ 7.57377049 76.42622951],0
s2,1,0.779578,0.078326,[11 27] ; [22 61],[10.36363636 27.63636364] ; [22.63636364 60.36363636],0
a5,1,0.787737,0.072496,[20 18] ; [42 42],[19.31147541 18.68852459] ; [42.68852459 41.31147541],0
p2,1,0.787737,0.072496,[18 20] ; [42 42],[18.68852459 19.31147541] ; [41.31147541 42.68852459],0
a8,1,0.79639,0.066576,[ 3 31] ; [ 6 75],[ 2.66086957 31.33913043] ; [ 6.33913043 74.66086957],0
p3,1,0.87294,0.025576,[10 28] ; [23 60],[10.36363636 27.63636364] ; [22.63636364 60.36363636],0
s6,1,0.884802,0.020991,[15 23] ; [32 52],[14.63934426 23.36065574] ; [32.36065574 51.63934426],0
s3,1,0.957263,0.002872,[14 24] ; [31 52],[14.1322314 23.8677686] ; [30.8677686 52.1322314],0
b1,1,0.958904,0.002655,[21 17] ; [46 38],[20.86885246 17.13114754] ; [46.13114754 37.86885246],0
p6,1,0.963178,0.002131,[ 7 31] ; [15 68],[ 6.90909091 31.09090909] ; [15.09090909 67.90909091],0
a3,1,0.968958,0.001514,[20 18] ; [44 39],[20.09917355 17.90082645] ; [43.90082645 39.09917355],0
u2,1,0.975654,0.000931,[8 9] ; [19 21],[8.05263158 8.94736842] ; [18.94736842 21.05263158],0
b5,1,1.0,0.0,[19 19] ; [42 42],[19. 19.] ; [42. 42.],0
d3,1,1.0,0.0,[19 19] ; [42 42],[19. 19.] ; [42. 42.],0
