Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,107.128031,[382  96] ; [ 64 108],[327.98153846 150.01846154] ; [118.01846154  53.98153846],1
n3,1,0.384812,0.755273,[74 35] ; [26 17],[71.71052632 37.28947368] ; [28.28947368 14.71052632],0
p11,1,0.397106,0.717073,[377 102] ; [130  42],[373.04608295 105.95391705] ; [133.95391705  38.04608295],0
u4,1,0.400451,0.706971,[ 11 468] ; [  6 166],[ 12.50844854 466.49155146] ; [  4.49155146 167.50844854],0
a5,1,0.464622,0.534737,[367 112] ; [127  45],[363.48079877 115.51920123] ; [130.51920123  41.48079877],0
s8,1,0.464892,0.53409,[199 277] ; [77 94],[203.05409583 272.94590417] ; [72.94590417 98.05409583],0
p6,1,0.480786,0.49708,[161 311] ; [ 51 113],[157.33333333 314.66666667] ; [ 54.66666667 109.33333333],0
v1,1,0.503265,0.448045,[250 214] ; [95 72],[253.69255151 210.30744849] ; [91.30744849 75.69255151],0
p1,1,0.50684,0.440584,[ 38 437] ; [ 11 160],[ 36.02941176 438.97058824] ; [ 12.97058824 158.02941176],0
n4,1,0.536279,0.382479,[370 109] ; [136  35],[372.88307692 106.11692308] ; [133.11692308  37.88307692],0
p3,1,0.61111,0.258562,[231 246] ; [78 91],[228.1625387 248.8374613] ; [80.8374613 88.1625387],0
s7,1,0.685224,0.164304,[210 243] ; [80 86],[212.22940226 240.77059774] ; [77.77059774 88.22940226],0
p9,1,0.689148,0.160009,[391  80] ; [138  31],[389.3109375  81.6890625] ; [139.6890625  29.3109375],0
p5,1,0.750615,0.101015,[ 55 420] ; [ 21 147],[ 56.14307932 418.85692068] ; [ 19.85692068 148.14307932],0
n6,1,0.751229,0.100501,[393  82] ; [138  31],[391.65372671  83.34627329] ; [139.34627329  29.65372671],0
s2,1,0.767448,0.087447,[228 246] ; [80 91],[226.34418605 247.65581395] ; [81.65581395 89.34418605],0
n1,1,0.800344,0.063959,[39 68] ; [17 27],[39.68211921 67.31788079] ; [16.31788079 27.68211921],0
p7,1,0.827319,0.047586,[288 178] ; [101  65],[286.82594937 179.17405063] ; [102.17405063  63.82594937],0
a4,1,0.850456,0.035546,[228 250] ; [83 88],[229.05701079 248.94298921] ; [81.94298921 89.05701079],0
s1,1,0.869794,0.02687,[ 15 457] ; [  5 166],[ 14.68118196 457.31881804] ; [  5.31881804 165.68118196],0
n2,1,0.928998,0.00794,[76 33] ; [31 13],[76.22875817 32.77124183] ; [30.77124183 13.22875817],0
s3,1,0.982319,0.000491,[246 223] ; [89 81],[245.87636933 223.12363067] ; [89.12363067 80.87636933],0
v3,1,0.991962,0.000102,[187 269] ; [68 98],[186.94533762 269.05466238] ; [68.05466238 97.94533762],0
d2,1,0.997797,8e-06,[253 225] ; [90 80],[253.0154321 224.9845679] ; [89.9845679 80.0154321],0
