Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,23.374059,[32 62] ; [ 12 126],[17.82758621 76.17241379] ; [ 26.17241379 111.82758621],1
a1,1,0.553678,0.35077,[ 5 90] ; [ 10 129],[ 6.08974359 88.91025641] ; [  8.91025641 130.08974359],0
b1,1,0.591699,0.287699,[43 52] ; [58 81],[41.0042735 53.9957265] ; [59.9957265 79.0042735],0
a2,1,0.620805,0.244738,[ 7 88] ; [  8 131],[ 6.08974359 88.91025641] ; [  8.91025641 130.08974359],0
a4,1,0.672734,0.178421,[26 68] ; [ 35 104],[24.60944206 69.39055794] ; [ 36.39055794 102.60944206],0
s5,1,0.673672,0.177336,[22 72] ; [ 28 105],[20.70484581 73.29515419] ; [ 29.29515419 103.70484581],0
v3,1,0.72024,0.128263,[28 66] ; [37 97],[26.79824561 67.20175439] ; [38.20175439 95.79824561],0
d2,1,0.748849,0.102501,[17 78] ; [ 27 111],[17.93991416 77.06008584] ; [ 26.06008584 111.93991416],0
d3,1,0.755566,0.096913,[36 57] ; [51 88],[34.875 58.125] ; [52.125 86.875],0
n2,1,0.805933,0.060357,[24  7] ; [36 12],[23.5443038  7.4556962] ; [36.4556962 11.5443038],0
n5,1,0.807229,0.059537,[61 32] ; [89 50],[60.12931034 32.87068966] ; [89.87068966 49.12931034],0
r2,1,0.811584,0.056827,[80 13] ; [118  21],[79.37068966 13.62931034] ; [118.62931034  20.37068966],0
p11,1,0.882867,0.021708,[59 36] ; [85 54],[58.46153846 36.53846154] ; [85.53846154 53.46153846],0
u3,1,0.937824,0.006085,[18 18] ; [31 30],[18.18556701 17.81443299] ; [30.81443299 30.18556701],0
a8,1,0.955783,0.003074,[13 79] ; [ 19 113],[13.14285714 78.85714286] ; [ 18.85714286 113.14285714],0
