Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,125.130372,[256  59] ; [ 88 163],[191.44876325 123.55123675] ; [152.55123675  98.44876325],1
v2,1,0.147881,2.093976,[185 128] ; [132 117],[176.54982206 136.45017794] ; [140.45017794 108.54982206],0
n2,1,0.148984,2.082626,[56 20] ; [52 10],[59.47826087 16.52173913] ; [48.52173913 13.47826087],0
r2,1,0.155963,2.012939,[316   9] ; [246  13],[312.75684932  12.24315068] ; [249.24315068   9.75684932],0
p12,1,0.16505,1.927341,[ 38 289] ; [ 21 237],[ 32.97948718 294.02051282] ; [ 26.02051282 231.97948718],0
p11,1,0.19111,1.709039,[264  65] ; [197  63],[257.50254669  71.49745331] ; [203.49745331  56.50254669],0
b4,1,0.197366,1.661756,[189 140] ; [163  97],[196.6179966 132.3820034] ; [155.3820034 104.6179966],0
d4,1,0.202994,1.620701,[281  47] ; [211  47],[275.38566553  52.61433447] ; [216.61433447  41.38566553],0
n6,1,0.210145,1.57043,[287  40] ; [218  41],[281.8003413  45.1996587] ; [223.1996587  35.8003413],0
r3,1,0.214878,1.538253,[320   9] ; [246  12],[317.22998296  11.77001704] ; [248.77001704   9.22998296],0
u2,1,0.236596,1.400761,[48 24] ; [53 39],[44.34146341 27.65853659] ; [56.65853659 35.34146341],0
a8,1,0.265658,1.239032,[ 47 253] ; [ 29 207],[ 42.53731343 257.46268657] ; [ 33.46268657 202.53731343],0
n3,1,0.288004,1.12893,[51 25] ; [46 15],[53.81021898 22.18978102] ; [43.18978102 17.81021898],0
n1,1,0.406598,0.688728,[34 42] ; [23 38],[31.62043796 44.37956204] ; [25.37956204 35.62043796],0
a6,1,0.735341,0.114264,[222 106] ; [178  80],[223.89078498 104.10921502] ; [176.10921502  81.89078498],0
s1,1,0.824275,0.049306,[ 14 311] ; [ 10 244],[ 13.47150259 311.52849741] ; [ 10.52849741 243.47150259],0
d3,1,0.832092,0.044952,[232  97] ; [184  74],[233.15843271  95.84156729] ; [182.84156729  75.15843271],0
a1,1,0.846899,0.037278,[ 19 310] ; [ 16 244],[ 19.55008489 309.44991511] ; [ 15.44991511 244.55008489],0
b5,1,0.880508,0.022598,[203 126] ; [162  98],[203.87945671 125.12054329] ; [161.12054329  98.87945671],0
p2,1,0.893888,0.017792,[277  51] ; [216  41],[276.41709402  51.58290598] ; [216.58290598  40.41709402],0
s4,1,0.986344,0.000293,[ 71 256] ; [ 55 199],[ 70.91566265 256.08433735] ; [ 55.08433735 198.91566265],0
