Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,3.8e-05,16.974552,[210  56] ; [64 46],[193.84042553  72.15957447] ; [80.15957447 29.84042553],1
u2,1,0.176022,1.830897,[26 14] ; [12 13],[23.38461538 16.61538462] ; [14.61538462 10.38461538],0
p8,1,0.198408,1.654056,[156 106] ; [57 52],[150.42048518 111.57951482] ; [62.57951482 46.42048518],0
d5,1,0.278655,1.173637,[225  41] ; [88 22],[221.43085106  44.56914894] ; [91.56914894 18.43085106],0
d4,1,0.293335,1.104252,[229  37] ; [90 20],[225.67553191  40.32446809] ; [93.32446809 16.67553191],0
a6,1,0.297896,1.083588,[177  89] ; [67 43],[172.61702128  93.38297872] ; [71.38297872 38.61702128],0
d3,1,0.322173,0.980104,[188  79] ; [83 27],[191.92838196  75.07161804] ; [79.07161804 30.92838196],0
r1,1,0.341323,0.905458,[228  38] ; [90 20],[224.96808511  41.03191489] ; [93.03191489 16.96808511],0
r3,1,0.346726,0.885402,[258   9] ; [104   6],[256.37665782  10.62334218] ; [105.62334218   4.37665782],0
n1,1,0.406666,0.688526,[29 27] ; [10 14],[27.3 28.7] ; [11.7 12.3],0
p2,1,0.414416,0.666096,[226  40] ; [97 13],[228.50531915  37.49468085] ; [94.49468085 15.50531915],0
s1,1,0.45347,0.561965,[ 12 252] ; [  7 102],[ 13.44772118 250.55227882] ; [  5.55227882 103.44772118],0
u1,1,0.457462,0.552097,[ 73 194] ; [26 84],[ 70.11405836 196.88594164] ; [28.88594164 81.11405836],0
b5,1,0.463333,0.537832,[159 108] ; [61 49],[155.80901857 111.19098143] ; [64.19098143 45.80901857],0
p3,1,0.478885,0.5014,[160 107] ; [61 48],[156.93351064 110.06648936] ; [64.06648936 44.93351064],0
p11,1,0.508094,0.43799,[219  48] ; [87 23],[216.71618037  50.28381963] ; [89.28381963 20.71618037],0
u3,1,0.53841,0.378494,[27 13] ; [15 10],[25.84615385 14.15384615] ; [16.15384615  8.84615385],0
s4,1,0.553562,0.350975,[ 53 212] ; [25 85],[ 55.12 209.88] ; [22.88 87.12],0
n2,1,0.573138,0.31746,[41 15] ; [19  5],[42. 14.] ; [18.  6.],0
n3,1,0.585527,0.297384,[40 16] ; [15  8],[38.98734177 17.01265823] ; [16.01265823  6.98734177],0
b1,1,0.590981,0.288815,[105 162] ; [40 70],[102.69230769 164.30769231] ; [42.30769231 67.69230769],0
p4,1,0.612487,0.25657,[186  80] ; [74 36],[183.93617021  82.06382979] ; [76.06382979 33.93617021],0
a8,1,0.684405,0.165209,[ 44 198] ; [16 82],[ 42.70588235 199.29411765] ; [17.29411765 80.70588235],0
d2,1,0.691795,0.157149,[154 113] ; [61 49],[152.26790451 114.73209549] ; [62.73209549 47.26790451],0
a2,1,0.730214,0.118915,[ 80 187] ; [31 79],[ 78.6127321 188.3872679] ; [32.3872679 77.6127321],0
r2,1,0.750271,0.101304,[256   8] ; [105   4],[255.50670241   8.49329759] ; [105.49329759   3.50670241],0
a4,1,0.766007,0.088567,[138 129] ; [55 55],[136.68700265 130.31299735] ; [56.31299735 53.68700265],0
p1,1,0.796296,0.066638,[ 29 237] ; [11 99],[ 28.29787234 237.70212766] ; [11.70212766 98.29787234],0
a1,1,0.83948,0.04103,[ 16 251] ; [  6 104],[ 15.58090186 251.41909814] ; [  6.41909814 103.58090186],0
