Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,27.676122,[277   8] ; [8 4],[273.48484848  11.51515152] ; [11.51515152  0.48484848],1
n5,1,0.438006,0.601502,[258  28] ; [10  2],[257.20805369  28.79194631] ; [10.79194631  1.20805369],0
p4,1,0.480877,0.496874,[183  98] ; [9 3],[184.13651877  96.86348123] ; [7.86348123 4.13651877],0
p6,1,0.485165,0.487232,[121 157] ; [4 8],[119.82758621 158.17241379] ; [5.17241379 6.82758621],0
b5,1,0.524237,0.40555,[170 117] ; [6 6],[168.93645485 118.06354515] ; [7.06354515 4.93645485],0
p10,1,0.539125,0.377164,[237  45] ; [10  1],[237.72696246  44.27303754] ; [9.27303754 1.72696246],0
p8,1,0.552644,0.352602,[163 115] ; [6 6],[162.00689655 115.99310345] ; [6.99310345 5.00689655],0
d1,1,0.609313,0.261176,[188  99] ; [7 5],[187.17391304  99.82608696] ; [7.82608696 4.17391304],0
s6,1,0.656879,0.197337,[191  86] ; [9 3],[191.69550173  85.30449827] ; [8.30449827 3.69550173],0
p12,1,0.659631,0.193972,[ 35 248] ; [ 2 10],[ 35.49491525 247.50508475] ; [ 1.50508475 10.49491525],0
p1,1,0.681862,0.168037,[ 36 249] ; [ 2 10],[ 36.46464646 248.53535354] ; [ 1.53535354 10.46464646],0
n1,1,0.710584,0.137694,[20 21] ; [2 3],[19.60869565 21.39130435] ; [2.39130435 2.60869565],0
p9,1,0.737659,0.112195,[241  41] ; [9 2],[240.61433447  41.38566553] ; [9.38566553 1.61433447],0
s3,1,0.746959,0.104104,[164 112] ; [6 5],[163.48432056 112.51567944] ; [6.51567944 4.48432056],0
a8,1,0.754785,0.097554,[ 41 211] ; [2 8],[ 41.35877863 210.64122137] ; [1.64122137 8.35877863],0
s4,1,0.774929,0.081758,[ 31 252] ; [ 1 11],[ 30.69830508 252.30169492] ; [ 1.30169492 10.69830508],0
u2,1,0.794356,0.067943,[34 29] ; [3 2],[34.27941176 28.72058824] ; [2.72058824 2.27941176],0
p7,1,0.845794,0.037825,[192  85] ; [8 4],[191.69550173  85.30449827] ; [8.30449827 3.69550173],0
d2,1,0.872492,0.025759,[159 125] ; [7 5],[159.27027027 124.72972973] ; [6.72972973 5.27027027],0
b4,1,0.873451,0.025369,[174 113] ; [7 5],[173.73578595 113.26421405] ; [7.26421405 4.73578595],0
p11,1,0.898083,0.016405,[235  52] ; [10  2],[235.16722408  51.83277592] ; [9.83277592 2.16722408],0
p2,1,0.916655,0.010951,[239  44] ; [10  2],[238.87118644  44.12881356] ; [10.12881356  1.87118644],0
b1,1,0.972935,0.001151,[121 166] ; [5 7],[120.94314381 166.05685619] ; [5.05685619 6.94314381],0
b2,1,0.973638,0.001092,[ 77 113] ; [4 6],[ 76.95 113.05] ; [4.05 5.95],0
b3,1,0.973638,0.001092,[ 77 113] ; [4 6],[ 76.95 113.05] ; [4.05 5.95],0
d5,1,0.987203,0.000257,[238  47] ; [10  2],[237.97979798  47.02020202] ; [10.02020202  1.97979798],0
