Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,1.9e-05,18.320573,[25 81] ; [17  8],[33.98473282 72.01526718] ; [ 8.01526718 16.98473282],1
n5,1,0.687132,0.162208,[65 44] ; [16  9],[65.8880597 43.1119403] ; [15.1119403  9.8880597],0
b4,1,0.687132,0.162208,[65 44] ; [16  9],[65.8880597 43.1119403] ; [15.1119403  9.8880597],0
d3,1,0.72095,0.127584,[70 39] ; [17  8],[70.76865672 38.23134328] ; [16.23134328  8.76865672],0
v3,1,0.722013,0.126572,[35 67] ; [ 7 16],[34.272 67.728] ; [ 7.728 15.272],0
s3,1,0.747496,0.103647,[48 60] ; [12 13],[48.72180451 59.27819549] ; [11.27819549 13.72180451],0
a1,1,0.749955,0.101569,[11 98] ; [ 2 23],[10.57462687 98.42537313] ; [ 2.42537313 22.57462687],0
n4,1,0.758117,0.094836,[69 40] ; [15 10],[68.32835821 40.67164179] ; [15.67164179  9.32835821],0
u1,1,0.782383,0.076295,[20 89] ; [ 4 21],[19.52238806 89.47761194] ; [ 4.47761194 20.52238806],0
b5,1,0.880326,0.022667,[68 41] ; [16  9],[68.32835821 40.67164179] ; [15.67164179  9.32835821],0
a3,1,0.887183,0.020127,[80 29] ; [18  7],[79.71641791 29.28358209] ; [18.28358209  6.71641791],0
b1,1,0.889431,0.019328,[55 54] ; [13 12],[55.31343284 53.68656716] ; [12.68656716 12.31343284],0
p12,1,0.891281,0.018682,[  5 103] ; [ 1 24],[  4.87218045 103.12781955] ; [ 1.12781955 23.87218045],0
u4,1,0.898126,0.016391,[  5 104] ; [ 1 24],[  4.88059701 104.11940299] ; [ 1.11940299 23.88059701],0
a8,1,0.926085,0.008606,[ 8 95] ; [ 2 22],[ 8.11023622 94.88976378] ; [ 1.88976378 22.11023622],0
r1,1,0.991515,0.000113,[74 35] ; [17  8],[74.02238806 34.97761194] ; [16.97761194  8.02238806],0
u2,1,1.0,0.0,[16 12] ; [4 3],[16. 12.] ; [4. 3.],0
