Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4e-06,21.278352,[22 96] ; [12  5],[29.71851852 88.28148148] ; [ 4.28148148 12.71851852],1
b2,1,0.615864,0.251724,[29 47] ; [3 7],[28.27906977 47.72093023] ; [3.72093023 6.27906977],0
v3,1,0.635314,0.224923,[36 78] ; [ 6 10],[36.83076923 77.16923077] ; [ 5.16923077 10.83076923],0
n4,1,0.665961,0.186363,[79 42] ; [12  5],[79.78985507 41.21014493] ; [11.21014493  5.78985507],0
a3,1,0.668448,0.183423,[77 43] ; [10  7],[76.20437956 43.79562044] ; [10.79562044  6.20437956],0
b4,1,0.681269,0.168701,[71 51] ; [9 8],[70.21582734 51.78417266] ; [9.78417266 7.21582734],0
d2,1,0.696207,0.152447,[55 64] ; [ 7 10],[54.25 64.75] ; [7.75 9.25],0
n1,1,0.72704,0.121847,[26 28] ; [2 3],[25.62711864 28.37288136] ; [2.37288136 2.62711864],0
a7,1,0.729252,0.1198,[73 48] ; [11  6],[73.65217391 47.34782609] ; [10.34782609  6.65217391],0
p12,1,0.740394,0.10978,[  5 116] ; [ 1 16],[  5.26086957 115.73913043] ; [ 0.73913043 16.26086957],0
n3,1,0.86347,0.02957,[28 22] ; [3 2],[28.18181818 21.81818182] ; [2.81818182 2.18181818],0
r1,1,0.879463,0.022998,[76 45] ; [11  6],[76.2826087 44.7173913] ; [10.7173913  6.2826087],0
n5,1,0.931542,0.00738,[77 44] ; [11  6],[77.15942029 43.84057971] ; [10.84057971  6.15942029],0
a5,1,0.936442,0.006359,[73 49] ; [10  7],[72.84892086 49.15107914] ; [10.15107914  6.84892086],0
