Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,8.5e-05,15.442618,[ 6 25] ; [36 21],[14.79545455 16.20454545] ; [27.20454545 29.79545455],1
a2,1,0.358436,0.843366,[ 5 26] ; [14 43],[ 6.69318182 24.30681818] ; [12.30681818 44.69318182],0
p7,1,0.442628,0.589461,[12 19] ; [26 29],[13.69767442 17.30232558] ; [24.30232558 30.69767442],0
v4,1,0.447774,0.576279,[26  5] ; [51  6],[27.125  3.875] ; [49.875  7.125],0
d5,1,0.478453,0.502388,[23  8] ; [46 11],[24.30681818  6.69318182] ; [44.69318182 12.30681818],0
d3,1,0.500253,0.4544,[19 12] ; [39 18],[20.43181818 10.56818182] ; [37.56818182 19.43181818],0
a7,1,0.504495,0.445469,[20 11] ; [40 16],[21.37931034  9.62068966] ; [38.62068966 17.37931034],0
b4,1,0.526194,0.401736,[18 13] ; [37 20],[19.375 11.625] ; [35.625 21.375],0
s5,1,0.541193,0.373333,[ 6 24] ; [14 40],[ 7.14285714 22.85714286] ; [12.85714286 41.14285714],0
r1,1,0.554899,0.348613,[21 10] ; [42 15],[22.19318182  8.80681818] ; [40.80681818 16.19318182],0
a5,1,0.614018,0.254365,[19 12] ; [38 19],[20.07954545 10.92045455] ; [36.92045455 20.07954545],0
s6,1,0.619393,0.246721,[16 15] ; [32 24],[17.10344828 13.89655172] ; [30.89655172 25.10344828],0
u3,1,0.641039,0.217385,[4 9] ; [ 7 11],[4.61290323 8.38709677] ; [ 6.38709677 11.61290323],0
r3,1,0.677235,0.173255,[28  3] ; [52  4],[28.50574713  2.49425287] ; [51.49425287  4.50574713],0
p9,1,0.679235,0.170988,[11 20] ; [22 33],[11.89534884 19.10465116] ; [21.10465116 33.89534884],0
s4,1,0.692616,0.156268,[ 3 28] ; [ 7 49],[ 3.56321839 27.43678161] ; [ 6.43678161 49.56321839],0
d4,1,0.697807,0.150763,[25  6] ; [47  9],[25.65517241  5.34482759] ; [46.34482759  9.65517241],0
p1,1,0.818055,0.052922,[ 2 29] ; [ 3 54],[ 1.76136364 29.23863636] ; [ 3.23863636 53.76136364],0
b3,1,0.8185,0.052658,[ 5 12] ; [13 27],[ 5.36842105 11.63157895] ; [12.63157895 27.36842105],0
b2,1,0.8185,0.052658,[ 5 12] ; [13 27],[ 5.36842105 11.63157895] ; [12.63157895 27.36842105],0
p4,1,0.860872,0.030717,[15 16] ; [26 30],[14.6091954 16.3908046] ; [26.3908046 29.6091954],0
d1,1,0.86181,0.030301,[18 13] ; [32 25],[17.61363636 13.38636364] ; [32.38636364 24.61363636],0
a6,1,0.86276,0.029881,[19 12] ; [36 21],[19.375 11.625] ; [35.625 21.375],0
p3,1,0.867774,0.027718,[10 20] ; [18 39],[ 9.65517241 20.34482759] ; [18.34482759 38.65517241],0
r2,1,0.879119,0.02313,[28  3] ; [50  6],[27.79310345  3.20689655] ; [50.20689655  5.79310345],0
