Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,91.680791,[136   4] ; [12 26],[116.40449438  23.59550562] ; [31.59550562  6.40449438],1
v1,1,0.039964,4.21941,[63 72] ; [11 28],[57.4137931 77.5862069] ; [16.5862069 22.4137931],0
a6,1,0.045563,3.99766,[96 44] ; [20 19],[90.72625698 49.27374302] ; [25.27374302 13.72625698],0
n4,1,0.048267,3.900658,[114  26] ; [26 13],[109.4972067  30.5027933] ; [30.5027933  8.4972067],0
r1,1,0.063401,3.446108,[107  33] ; [24 15],[102.45810056  37.54189944] ; [28.54189944 10.45810056],0
a7,1,0.072005,3.236709,[97 43] ; [21 18],[92.29050279 47.70949721] ; [25.70949721 13.29050279],0
p4,1,0.078228,3.101334,[115  25] ; [27 12],[111.06145251  28.93854749] ; [30.93854749  8.06145251],0
v4,1,0.084156,2.982761,[133   7] ; [34  5],[130.61452514   9.38547486] ; [36.38547486  2.61452514],0
b1,1,0.122402,2.386317,[63 77] ; [23 16],[67.26256983 72.73743017] ; [18.73743017 20.26256983],0
d2,1,0.149333,2.07905,[68 71] ; [14 25],[64.03370787 74.96629213] ; [17.96629213 21.03370787],0
s2,1,0.155051,2.021841,[79 61] ; [17 22],[75.08379888 64.91620112] ; [20.91620112 18.08379888],0
p7,1,0.179454,1.802143,[101  38] ; [24 15],[97.61235955 41.38764045] ; [27.38764045 11.61235955],0
u1,1,0.187554,1.736724,[ 27 113] ; [ 4 35],[ 24.24581006 115.75418994] ; [ 6.75418994 32.24581006],0
s3,1,0.202518,1.624125,[87 52] ; [20 19],[83.55617978 55.44382022] ; [23.44382022 15.55617978],0
n3,1,0.219901,1.505017,[17  6] ; [7 6],[15.33333333  7.66666667] ; [8.66666667 4.33333333],0
a8,1,0.288031,1.128801,[ 10 118] ; [ 5 32],[ 11.63636364 116.36363636] ; [ 3.36363636 33.63636364],0
b3,1,0.392106,0.732401,[32 57] ; [ 7 19],[30.1826087 58.8173913] ; [ 8.8173913 17.1826087],0
b2,1,0.392106,0.732401,[32 57] ; [ 7 19],[30.1826087 58.8173913] ; [ 8.8173913 17.1826087],0
n1,1,0.501436,0.451896,[ 8 15] ; [6 7],[ 8.94444444 14.05555556] ; [5.05555556 7.94444444],0
p1,1,0.51369,0.426543,[ 20 120] ; [ 4 35],[ 18.77094972 121.22905028] ; [ 5.22905028 33.77094972],0
a1,1,0.517343,0.419188,[  7 133] ; [ 3 36],[  7.82122905 132.17877095] ; [ 2.17877095 36.82122905],0
u3,1,0.577723,0.30993,[25 16] ; [13  6],[25.96666667 15.03333333] ; [12.03333333  6.96666667],0
b4,1,0.62286,0.241869,[78 62] ; [20 19],[76.64804469 63.35195531] ; [21.35195531 17.64804469],0
s4,1,0.651431,0.204101,[ 34 104] ; [11 28],[ 35.08474576 102.91525424] ; [ 9.91525424 29.08474576],0
p5,1,0.654684,0.200046,[ 24 114] ; [ 8 31],[ 24.94915254 113.05084746] ; [ 7.05084746 31.94915254],0
b5,1,0.77642,0.080649,[79 61] ; [23 16],[79.77653631 60.22346369] ; [22.22346369 16.77653631],0
v3,1,0.836453,0.042615,[ 31 106] ; [ 8 30],[ 30.53142857 106.46857143] ; [ 8.46857143 29.53142857],0
n2,1,0.968457,0.001564,[14  9] ; [8 5],[14.05555556  8.94444444] ; [7.94444444 5.05555556],0
