Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,1e-06,24.553352,[32  6] ; [ 5 19],[22.67741935 15.32258065] ; [14.32258065  9.67741935],1
a7,1,0.145187,2.122105,[28 10] ; [14 11],[25.33333333 12.66666667] ; [16.66666667  8.33333333],0
v4,1,0.152203,2.050034,[34  4] ; [19  6],[31.96825397  6.03174603] ; [21.03174603  3.96825397],0
u1,1,0.165426,1.923909,[ 8 30] ; [ 2 23],[ 6.03174603 31.96825397] ; [ 3.96825397 21.03174603],0
p7,1,0.192454,1.698734,[14 23] ; [ 5 18],[11.71666667 25.28333333] ; [ 7.28333333 15.71666667],0
d4,1,0.197772,1.65875,[24 13] ; [20  5],[26.25806452 10.74193548] ; [17.74193548  7.25806452],0
n1,1,0.210075,1.570909,[2 8] ; [3 3],[3.125 6.875] ; [1.875 4.125],0
a2,1,0.247901,1.335093,[ 9 29] ; [ 3 22],[ 7.23809524 30.76190476] ; [ 4.76190476 20.23809524],0
b1,1,0.273733,1.197942,[13 25] ; [12 13],[15.07936508 22.92063492] ; [ 9.92063492 15.07936508],0
s2,1,0.273922,1.197,[19 19] ; [ 9 16],[16.88888889 21.11111111] ; [11.11111111 13.88888889],0
r2,1,0.308041,1.039058,[36  2] ; [21  3],[34.93548387  3.06451613] ; [22.06451613  1.93548387],0
s1,1,0.316579,1.003026,[ 3 35] ; [ 4 21],[ 4.22222222 33.77777778] ; [ 2.77777778 22.22222222],0
s7,1,0.325387,0.967169,[19 16] ; [ 9 13],[17.19298246 17.80701754] ; [10.80701754 11.19298246],0
s4,1,0.343809,0.896176,[ 6 31] ; [ 2 23],[ 4.77419355 32.22580645] ; [ 3.22580645 21.77419355],0
a4,1,0.349988,0.873501,[15 23] ; [ 7 18],[13.26984127 24.73015873] ; [ 8.73015873 16.26984127],0
r4,1,0.370936,0.800526,[31  7] ; [18  7],[29.55555556  8.44444444] ; [19.44444444  5.55555556],0
d3,1,0.42635,0.632747,[23 14] ; [13 12],[21.48387097 15.51612903] ; [14.51612903 10.48387097],0
p4,1,0.463837,0.536619,[13 24] ; [ 6 17],[11.71666667 25.28333333] ; [ 7.28333333 15.71666667],0
s6,1,0.492742,0.470533,[26 12] ; [15 10],[24.73015873 13.26984127] ; [16.26984127  8.73015873],0
p5,1,0.495024,0.465587,[ 7 31] ; [ 3 22],[ 6.03174603 31.96825397] ; [ 3.96825397 21.03174603],0
b2,1,0.504985,0.444444,[10 14] ; [ 5 11],[ 9. 15.] ; [ 6. 10.],0
b3,1,0.504985,0.444444,[10 14] ; [ 5 11],[ 9. 15.] ; [ 6. 10.],0
p3,1,0.555485,0.347583,[13 24] ; [ 7 18],[11.93548387 25.06451613] ; [ 8.06451613 16.93548387],0
n6,1,0.565099,0.330952,[29  8] ; [18  7],[28.0483871  8.9516129] ; [18.9516129  6.0483871],0
b4,1,0.56994,0.322783,[24 14] ; [14 11],[22.92063492 15.07936508] ; [15.07936508  9.92063492],0
n2,1,0.585106,0.298052,[7 3] ; [4 3],[6.47058824 3.52941176] ; [4.52941176 2.47058824],0
u2,1,0.598802,0.276807,[7 4] ; [6 2],[7.52631579 3.47368421] ; [5.47368421 2.52631579],0
d5,1,0.770926,0.084776,[25 12] ; [16  9],[24.46774194 12.53225806] ; [16.53225806  8.46774194],0
r1,1,0.783087,0.075789,[30  8] ; [19  6],[29.55555556  8.44444444] ; [19.44444444  5.55555556],0
b5,1,0.792987,0.068872,[20 18] ; [14 11],[20.50793651 17.49206349] ; [13.49206349 11.50793651],0
d2,1,0.795716,0.067027,[18 19] ; [13 12],[18.5 18.5] ; [12.5 12.5],0
a3,1,0.796185,0.066712,[27 11] ; [17  8],[26.53968254 11.46031746] ; [17.46031746  7.53968254],0
v1,1,0.960015,0.002514,[18 19] ; [12 13],[17.90322581 19.09677419] ; [12.09677419 12.90322581],0
s3,1,0.966051,0.001812,[15 22] ; [10 15],[14.91935484 22.08064516] ; [10.08064516 14.91935484],0
n3,1,1.0,0.0,[5 5] ; [3 3],[5. 5.] ; [3. 3.],0
