Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.017858,5.610042,[32 50] ; [ 2 17],[27.6039604 54.3960396] ; [ 6.3960396 12.6039604],0
d2,1,0.356932,0.848658,[ 20 112] ; [ 4 38],[ 18.20689655 113.79310345] ; [ 5.79310345 36.20689655],0
a7,1,0.385419,0.753345,[79 51] ; [28 13],[81.34502924 48.65497076] ; [25.65497076 15.34502924],0
s7,1,0.408389,0.683485,[77 49] ; [28 13],[79.22155689 46.77844311] ; [25.77844311 15.22155689],0
a1,1,0.430959,0.620237,[  7 125] ; [ 1 41],[  6.06896552 125.93103448] ; [ 1.93103448 40.06896552],0
d3,1,0.512201,0.429569,[50 81] ; [18 23],[51.79069767 79.20930233] ; [16.20930233 24.79069767],0
a2,1,0.53078,0.392897,[ 10 122] ; [ 2 40],[  9.10344828 122.89655172] ; [ 2.89655172 39.10344828],0
r4,1,0.535221,0.38447,[115  17] ; [35  7],[113.79310345  18.20689655] ; [36.20689655  5.79310345],0
b5,1,0.548888,0.359313,[78 54] ; [27 15],[79.65517241 52.34482759] ; [25.34482759 16.65517241],0
u3,1,0.577061,0.311011,[26 20] ; [14  8],[27.05882353 18.94117647] ; [12.94117647  9.05882353],0
p2,1,0.630277,0.231685,[102  26] ; [32 10],[100.89411765  27.10588235] ; [33.10588235  8.89411765],0
b1,1,0.630978,0.230737,[59 73] ; [17 25],[57.65517241 74.34482759] ; [18.34482759 23.65517241],0
n5,1,0.632221,0.229061,[94 35] ; [29 13],[92.78947368 36.21052632] ; [30.21052632 11.78947368],0
s1,1,0.634185,0.226429,[  9 120] ; [ 2 39],[  8.34705882 120.65294118] ; [ 2.65294118 38.34705882],0
p11,1,0.715494,0.132851,[95 37] ; [29 13],[94.06896552 37.93103448] ; [29.93103448 12.06896552],0
d5,1,0.715552,0.132794,[73 59] ; [24 17],[74.01156069 57.98843931] ; [22.98843931 18.01156069],0
p1,1,0.726285,0.12255,[ 10 118] ; [ 4 38],[ 10.54117647 117.45882353] ; [ 3.45882353 38.54117647],0
s6,1,0.726653,0.122207,[104  26] ; [33  7],[104.76470588  25.23529412] ; [32.23529412  7.76470588],0
n3,1,0.739693,0.110396,[18  7] ; [8 4],[17.56756757  7.43243243] ; [8.43243243 3.56756757],0
r3,1,0.78224,0.076398,[123   8] ; [38  3],[122.62209302   8.37790698] ; [38.37790698  2.62209302],0
b4,1,0.901975,0.01517,[74 58] ; [24 18],[74.34482759 57.65517241] ; [23.65517241 18.34482759],0
r2,1,0.906768,0.013716,[120  10] ; [39  3],[120.1744186   9.8255814] ; [38.8255814  3.1744186],0
u2,1,0.931919,0.007298,[23 22] ; [11 11],[22.8358209 22.1641791] ; [11.1641791 10.8358209],0
n2,1,0.972261,0.001209,[23  2] ; [11  1],[22.97297297  2.02702703] ; [11.02702703  0.97297297],0
a6,1,0.981922,0.000513,[72 59] ; [23 19],[71.93641618 59.06358382] ; [23.06358382 18.93641618],0
