Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,3.5e-05,17.150219,[13 16] ; [62 11],[21.32352941  7.67647059] ; [53.67647059 19.32352941],1
p11,1,0.442921,0.588704,[21  8] ; [58 15],[22.46078431  6.53921569] ; [56.53921569 16.46078431],0
u3,1,0.47546,0.509259,[4 5] ; [14 10],[4.90909091 4.09090909] ; [13.09090909 10.90909091],0
u4,1,0.49465,0.466396,[ 1 28] ; [ 1 72],[ 0.56862745 28.43137255] ; [ 1.43137255 71.56862745],0
a6,1,0.510212,0.433632,[20  9] ; [55 18],[21.32352941  7.67647059] ; [53.67647059 19.32352941],0
a2,1,0.515446,0.422995,[ 5 24] ; [ 9 64],[ 3.98039216 25.01960784] ; [10.01960784 62.98039216],0
u1,1,0.556493,0.345813,[ 2 27] ; [ 3 70],[ 1.42156863 27.57843137] ; [ 3.57843137 69.42156863],0
s6,1,0.560409,0.338996,[18 11] ; [39 31],[16.6969697 12.3030303] ; [40.3030303 29.6969697],0
s1,1,0.58928,0.291469,[ 2 27] ; [ 3 67],[ 1.46464646 27.53535354] ; [ 3.53535354 66.46464646],0
s5,1,0.606793,0.264872,[ 8 21] ; [23 47],[ 9.08080808 19.91919192] ; [21.91919192 48.08080808],0
n3,1,0.61093,0.258824,[8 3] ; [9 2],[8.5 2.5] ; [8.5 2.5],0
p8,1,0.612677,0.256295,[15 13] ; [42 29],[16.12121212 11.87878788] ; [40.87878788 30.12121212],0
b4,1,0.636755,0.223011,[16 13] ; [44 29],[17.05882353 11.94117647] ; [42.94117647 30.05882353],0
d3,1,0.638716,0.220425,[15 14] ; [34 39],[13.93137255 15.06862745] ; [35.06862745 37.93137255],0
a7,1,0.669612,0.182057,[19 10] ; [51 22],[19.90196078  9.09803922] ; [50.09803922 22.90196078],0
b5,1,0.684352,0.165268,[15 14] ; [41 32],[15.92156863 13.07843137] ; [40.07843137 32.92156863],0
r3,1,0.706266,0.142035,[25  4] ; [64  8],[25.55445545  3.44554455] ; [63.44554455  8.55445545],0
v1,1,0.727638,0.121292,[15 14] ; [34 37],[14.21 14.79] ; [34.79 36.21],0
d1,1,0.732787,0.116568,[ 3 26] ; [ 6 67],[ 2.55882353 26.44117647] ; [ 6.44117647 66.55882353],0
s2,1,0.734237,0.115256,[13 16] ; [34 36],[13.76767677 15.23232323] ; [33.23232323 36.76767677],0
a1,1,0.783794,0.075283,[ 2 27] ; [ 4 69],[ 1.70588235 27.29411765] ; [ 4.29411765 68.70588235],0
s8,1,0.797094,0.066105,[11 18] ; [25 46],[10.44 18.56] ; [25.56 45.44],0
n2,1,0.854632,0.033566,[9 2] ; [11  2],[9.16666667 1.83333333] ; [10.83333333  2.16666667],0
p2,1,0.9021,0.015131,[21  8] ; [53 19],[21.24752475  7.75247525] ; [52.75247525 19.24752475],0
s3,1,0.915144,0.011353,[16 13] ; [40 31],[16.24 12.76] ; [39.76 31.24],0
s4,1,0.922939,0.009357,[ 5 24] ; [13 59],[ 5.16831683 23.83168317] ; [12.83168317 59.16831683],0
b1,1,0.924549,0.008969,[15 14] ; [37 36],[14.78431373 14.21568627] ; [37.21568627 35.78431373],0
a3,1,0.929137,0.007909,[20  9] ; [49 23],[19.81188119  9.18811881] ; [49.18811881 22.81188119],0
d2,1,0.929164,0.007903,[ 9 20] ; [22 51],[ 8.81372549 20.18627451] ; [22.18627451 50.81372549],0
p9,1,0.938003,0.00605,[23  6] ; [56 14],[23.14141414  5.85858586] ; [55.85858586 14.14141414],0
p5,1,0.959047,0.002637,[ 4 24] ; [10 62],[ 3.92 24.08] ; [10.08 61.92],0
a4,1,0.962343,0.002229,[ 9 20] ; [22 50],[ 8.9009901 20.0990099] ; [22.0990099 49.9009901],0
