Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,105.745693,[509 120] ; [102 125],[448.97079439 180.02920561] ; [162.02920561  64.97079439],1
s5,1,0.000834,11.163814,[226 377] ; [ 55 165],[205.88456865 397.11543135] ; [ 75.11543135 144.88456865],1
p10,1,0.001127,10.605858,[517 104] ; [164  60],[500.47455621 120.52544379] ; [180.52544379  43.47455621],0
b2,1,0.001208,10.477828,[163 228] ; [31 91],[147.86354776 243.13645224] ; [46.13645224 75.86354776],0
b3,1,0.001208,10.477828,[163 228] ; [31 91],[147.86354776 243.13645224] ; [46.13645224 75.86354776],0
v1,1,0.005118,7.837138,[350 263] ; [103 120],[332.1638756 280.8361244] ; [120.8361244 102.1638756],0
p9,1,0.008179,6.993817,[533  87] ; [174  48],[520.59382423  99.40617577] ; [186.40617577  35.59382423],0
s6,1,0.010522,6.544288,[429 187] ; [135  89],[413.6 202.4] ; [150.4  73.6],0
n6,1,0.016976,5.698837,[539  87] ; [181  47],[527.77517564  98.22482436] ; [192.22482436  35.77517564],0
p8,1,0.022444,5.211033,[333 281] ; [103 124],[318.31629013 295.68370987] ; [117.68370987 109.31629013],0
v3,1,0.024928,5.028859,[255 348] ; [ 74 146],[241.05346294 361.94653706] ; [ 87.94653706 132.05346294],0
u4,1,0.032421,4.576092,[ 18 612] ; [  1 229],[ 13.91860465 616.08139535] ; [  5.08139535 224.91860465],0
a1,1,0.037127,4.344586,[ 35 595] ; [  5 225],[ 29.30232558 600.69767442] ; [ 10.69767442 219.30232558],0
s2,1,0.050685,3.818659,[334 289] ; [105 123],[321.38307873 301.61692127] ; [117.61692127 110.38307873],0
p12,1,0.062072,3.481151,[ 54 567] ; [ 11 216],[ 47.60023585 573.39976415] ; [ 17.39976415 209.60023585],0
p2,1,0.078102,3.103962,[522 101] ; [180  49],[513.31690141 109.68309859] ; [188.68309859  40.31690141],0
p11,1,0.098325,2.732507,[499 131] ; [170  60],[490.08139535 139.91860465] ; [178.91860465  51.08139535],0
a7,1,0.106263,2.608936,[468 162] ; [156  71],[458.71645274 171.28354726] ; [165.28354726  61.71645274],0
a8,1,0.222274,1.489628,[ 79 488] ; [ 23 193],[ 73.86206897 493.13793103] ; [ 28.13793103 187.86206897],0
b1,1,0.257305,1.283201,[243 387] ; [ 79 151],[235.88372093 394.11627907] ; [ 86.11627907 143.88372093],0
s1,1,0.270415,1.214643,[ 18 601] ; [ 10 215],[ 20.53554502 598.46445498] ; [  7.46445498 217.53554502],0
r3,1,0.271857,1.207355,[604  25] ; [214  13],[601.0771028  27.9228972] ; [216.9228972  10.0771028],0
p6,1,0.298735,1.079831,[232 386] ; [ 75 148],[225.59571938 392.40428062] ; [ 81.40428062 141.59571938],0
p5,1,0.337155,0.921221,[ 72 550] ; [ 21 206],[ 68.13427562 553.86572438] ; [ 24.86572438 202.13427562],0
s4,1,0.362722,0.828446,[101 519] ; [ 43 184],[105.40731995 514.59268005] ; [ 38.59268005 188.40731995],0
u3,1,0.415197,0.663871,[76 44] ; [74 53],[72.87449393 47.12550607] ; [77.12550607 49.87449393],0
u2,1,0.424576,0.637614,[64 56] ; [73 52],[67.10204082 52.89795918] ; [69.89795918 55.10204082],0
p7,1,0.432118,0.617125,[391 221] ; [134  86],[386.17788462 225.82211538] ; [138.82211538  81.17788462],0
n2,1,0.499909,0.45513,[110  33] ; [42 16],[108.13930348  34.86069652] ; [43.86069652 14.13930348],0
b5,1,0.514759,0.42438,[379 251] ; [144  86],[383.12790698 246.87209302] ; [139.87209302  90.12790698],0
p1,1,0.558099,0.343007,[ 52 572] ; [ 22 207],[ 54.13364596 569.86635404] ; [ 19.86635404 209.13364596],0
n3,1,0.651476,0.204044,[104  36] ; [42 17],[102.71356784  37.28643216] ; [43.28643216 15.71356784],0
n1,1,0.809626,0.058037,[54 85] ; [24 35],[54.75757576 84.24242424] ; [23.24242424 35.75757576],0
b4,1,0.817402,0.053309,[367 263] ; [136  94],[368.47674419 261.52325581] ; [134.52325581  95.47674419],0
s3,1,0.873805,0.025226,[351 269] ; [126  99],[349.98816568 270.01183432] ; [127.01183432  97.98816568],0
