Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,87.12,[14 96] ; [96 36],[50. 60.] ; [60. 72.],1
b3,1,0.281723,1.158757,[15 37] ; [30 49],[17.86259542 34.13740458] ; [27.13740458 51.86259542],0
s4,1,0.344323,0.894268,[18 92] ; [ 16 116],[15.45454545 94.54545455] ; [ 18.54545455 113.45454545],0
p1,1,0.354895,0.855877,[  7 102] ; [ 13 121],[  8.97119342 100.02880658] ; [ 11.02880658 122.97119342],0
b4,1,0.403876,0.696756,[73 37] ; [82 52],[69.87704918 40.12295082] ; [85.12295082 48.87704918],0
n4,1,0.444938,0.583515,[79 31] ; [102  32],[81.59836066 28.40163934] ; [99.40163934 34.59836066],0
a1,1,0.449636,0.571568,[  2 108] ; [  1 133],[  1.35245902 108.64754098] ; [  1.64754098 132.35245902],0
v4,1,0.487035,0.483071,[100   9] ; [126   8],[101.3744856   7.6255144] ; [124.6255144   9.3744856],0
b1,1,0.491762,0.472668,[34 76] ; [47 87],[36.51639344 73.48360656] ; [44.48360656 89.51639344],0
p8,1,0.492284,0.471531,[30 79] ; [42 91],[32.42975207 76.57024793] ; [39.57024793 93.42975207],0
r4,1,0.494188,0.467396,[90 20] ; [114  20],[91.96721311 18.03278689] ; [112.03278689  21.96721311],0
p10,1,0.499203,0.456631,[80 30] ; [101  31],[82.27272727 27.72727273] ; [98.72727273 33.27272727],0
b5,1,0.579794,0.306568,[71 39] ; [91 43],[73.03278689 36.96721311] ; [88.96721311 45.03278689],0
s1,1,0.672276,0.178951,[  3 105] ; [  5 128],[  3.58506224 104.41493776] ; [  4.41493776 128.58506224],0
v1,1,0.676888,0.17365,[51 56] ; [65 64],[52.59322034 54.40677966] ; [63.40677966 65.59322034],0
n2,1,0.679214,0.171012,[19  9] ; [29 11],[19.76470588  8.23529412] ; [28.23529412 11.76470588],0
n3,1,0.728808,0.120209,[18 10] ; [28 13],[18.66666667  9.33333333] ; [27.33333333 13.66666667],0
p11,1,0.839312,0.041117,[80 30] ; [99 35],[80.69672131 29.30327869] ; [98.30327869 35.69672131],0
p9,1,0.953751,0.003364,[91 19] ; [108  23],[90.82987552 19.17012448] ; [108.17012448  22.82987552],0
