Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,90.0,[387   5] ; [18 10],[378.  14.] ; [27.  1.],1
p12,1,0.364913,0.820915,[ 45 347] ; [ 2 30],[ 43.45283019 348.54716981] ; [ 3.54716981 28.45283019],0
a8,1,0.373045,0.793497,[ 57 307] ; [ 3 28],[ 55.29113924 308.70886076] ; [ 4.70886076 26.29113924],0
b5,1,0.375202,0.786363,[239 154] ; [22 10],[241.34823529 151.65176471] ; [19.65176471 12.34823529],0
b4,1,0.392747,0.73042,[239 154] ; [17 15],[236.72470588 156.27529412] ; [19.27529412 12.72470588],0
a3,1,0.415313,0.66354,[295  97] ; [22 10],[293.0754717  98.9245283] ; [23.9245283  8.0754717],0
n2,1,0.426638,0.631959,[63 15] ; [10  4],[61.89130435 16.10869565] ; [11.10869565  2.89130435],0
p5,1,0.434476,0.610829,[ 56 334] ; [ 3 29],[ 54.52606635 335.47393365] ; [ 4.47393365 27.52606635],0
p7,1,0.443996,0.585934,[257 121] ; [19 12],[255.0806846 122.9193154] ; [20.9193154 10.0806846],0
d5,1,0.451484,0.566923,[325  65] ; [25  7],[323.45971564  66.54028436] ; [26.54028436  5.45971564],0
n1,1,0.469299,0.523626,[36 42] ; [5 9],[34.76086957 43.23913043] ; [6.23913043 7.76086957],0
b1,1,0.477778,0.50393,[159 234] ; [15 17],[160.89882353 232.10117647] ; [13.10117647 18.89882353],0
p6,1,0.541265,0.3732,[159 228] ; [11 20],[157.3923445 229.6076555] ; [12.6076555 18.3923445],0
s7,1,0.581964,0.30307,[264 116] ; [23  8],[265.35279805 114.64720195] ; [21.64720195  9.35279805],0
n4,1,0.592445,0.286542,[309  82] ; [24  8],[307.80851064  83.19148936] ; [25.19148936  6.80851064],0
s1,1,0.683494,0.166219,[ 18 369] ; [ 2 30],[ 18.4725537 368.5274463] ; [ 1.5274463 30.4725537],0
v2,1,0.715059,0.133276,[211 162] ; [18 12],[211.9528536 161.0471464] ; [17.0471464 12.9528536],0
p2,1,0.723764,0.124915,[334  58] ; [28  4],[334.67924528  57.32075472] ; [27.32075472  4.67924528],0
a1,1,0.77561,0.08125,[ 20 373] ; [ 2 30],[ 20.34352941 372.65647059] ; [ 1.65647059 30.34352941],0
p11,1,0.776445,0.08063,[311  82] ; [26  6],[311.62588235  81.37411765] ; [25.37411765  6.62588235],0
a6,1,0.833728,0.044067,[263 127] ; [21 11],[262.46445498 127.53554502] ; [21.53554502 10.46445498],0
