Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,3.3e-05,17.248,[19  6] ; [ 6 24],[11.36363636 13.63636364] ; [13.63636364 16.36363636],1
d3,1,0.452808,0.563613,[13 13] ; [12 18],[11.60714286 14.39285714] ; [13.39285714 16.60714286],0
a8,1,0.462433,0.54,[ 5 19] ; [ 4 26],[ 4. 20.] ; [ 5. 25.],0
a2,1,0.496078,0.463316,[ 2 24] ; [ 4 26],[ 2.78571429 23.21428571] ; [ 3.21428571 26.78571429],0
d2,1,0.504166,0.446157,[14 12] ; [13 16],[12.76363636 13.23636364] ; [14.23636364 14.76363636],0
n4,1,0.504785,0.444863,[16 10] ; [21  9],[17.17857143  8.82142857] ; [19.82142857 10.17857143],0
s5,1,0.505758,0.442834,[ 5 20] ; [ 4 26],[ 4.09090909 20.90909091] ; [ 4.90909091 25.09090909],0
r2,1,0.522829,0.408308,[13 12] ; [17 11],[14.1509434 10.8490566] ; [15.8490566 12.1509434],0
p6,1,0.537302,0.380564,[ 4 21] ; [ 3 26],[ 3.24074074 21.75925926] ; [ 3.75925926 25.24074074],0
p3,1,0.547066,0.3626,[ 6 20] ; [ 5 25],[ 5.10714286 20.89285714] ; [ 5.89285714 24.10714286],0
a4,1,0.550944,0.355629,[11 15] ; [10 19],[ 9.92727273 16.07272727] ; [11.07272727 17.92727273],0
p1,1,0.584419,0.299145,[ 3 23] ; [ 5 25],[ 3.71428571 22.28571429] ; [ 4.28571429 25.71428571],0
a7,1,0.592034,0.287179,[12 14] ; [16 14],[13. 13.] ; [15. 15.],0
a6,1,0.617859,0.248889,[13 13] ; [13 17],[12.07142857 13.92857143] ; [13.92857143 16.07142857],0
n5,1,0.666417,0.185822,[15 11] ; [19 11],[15.78571429 10.21428571] ; [18.21428571 11.78571429],0
n2,1,0.789561,0.071225,[4 5] ; [8 8],[4.32 4.68] ; [7.68 8.32],0
n1,1,0.789561,0.071225,[4 5] ; [8 8],[4.32 4.68] ; [7.68 8.32],0
s3,1,0.812864,0.056043,[ 7 19] ; [ 7 22],[ 6.61818182 19.38181818] ; [ 7.38181818 21.61818182],0
v1,1,0.821154,0.051103,[ 6 19] ; [ 8 22],[ 6.36363636 18.63636364] ; [ 7.63636364 22.36363636],0
s4,1,0.839488,0.041026,[ 3 23] ; [ 4 26],[ 3.25 22.75] ; [ 3.75 26.25],0
v3,1,0.867259,0.027936,[ 4 22] ; [ 4 25],[ 3.78181818 22.21818182] ; [ 4.21818182 24.78181818],0
s1,1,0.881846,0.022091,[ 2 24] ; [ 2 28],[ 1.85714286 24.14285714] ; [ 2.14285714 27.85714286],0
p12,1,0.89537,0.017296,[ 1 24] ; [ 1 29],[ 0.90909091 24.09090909] ; [ 1.09090909 28.90909091],0
