Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000172,14.111675,[50  4] ; [157  77],[38.8125 15.1875] ; [168.1875  65.8125],1
p9,1,0.229489,1.444028,[49  7] ; [221  18],[51.25423729  4.74576271] ; [218.74576271  20.25423729],0
u2,1,0.248459,1.331947,[ 9 10] ; [38 23],[11.1625  7.8375] ; [35.8375 25.1625],0
a6,1,0.294008,1.101178,[35 21] ; [166  72],[38.28571429 17.71428571] ; [162.71428571  75.28571429],0
a1,1,0.331163,0.944344,[ 2 54] ; [ 17 222],[ 3.60677966 52.39322034] ; [ 15.39322034 223.60677966],0
n4,1,0.362654,0.828683,[44 12] ; [200  39],[46.31864407  9.68135593] ; [197.68135593  41.31864407],0
u3,1,0.363043,0.82734,[13  6] ; [34 26],[11.30379747  7.69620253] ; [35.69620253 24.30379747],0
p5,1,0.367652,0.811586,[10 46] ; [ 56 183],[12.52881356 43.47118644] ; [ 53.47118644 185.52881356],0
v4,1,0.369504,0.805333,[53  3] ; [231   7],[54.0952381  1.9047619] ; [229.9047619   8.0952381],0
p2,1,0.39399,0.726593,[53  3] ; [217  21],[51.42857143  4.57142857] ; [218.57142857  19.42857143],0
p1,1,0.43162,0.61846,[ 6 50] ; [ 35 202],[ 7.83617747 48.16382253] ; [ 33.16382253 203.83617747],0
v1,1,0.491568,0.473093,[32 24] ; [146  89],[34.25429553 21.74570447] ; [143.74570447  91.25429553],0
d3,1,0.522106,0.40973,[42 14] ; [169  70],[40.05423729 15.94576271] ; [170.94576271  68.05423729],0
d2,1,0.523845,0.406316,[31 25] ; [121 118],[28.85423729 27.14576271] ; [123.14576271 115.85423729],0
u4,1,0.540809,0.374042,[ 1 55] ; [  8 231],[ 1.70847458 54.29152542] ; [  7.29152542 231.70847458],0
a2,1,0.564309,0.332299,[12 44] ; [ 60 179],[13.66779661 42.33220339] ; [ 58.33220339 180.66779661],0
d1,1,0.588207,0.293154,[38 18] ; [153  86],[36.25762712 19.74237288] ; [154.74237288  84.25762712],0
b4,1,0.660352,0.193096,[31 25] ; [140  99],[32.46101695 23.53898305] ; [138.53898305 100.46101695],0
r1,1,0.6619,0.191223,[46 10] ; [202  37],[47.0779661  8.9220339] ; [200.9220339  38.0779661],0
n6,1,0.673693,0.177313,[49  7] ; [212  25],[49.88395904  6.11604096] ; [211.11604096  25.88395904],0
u1,1,0.766523,0.088165,[12 44] ; [ 47 192],[11.2 44.8] ; [ 47.8 191.2],0
p12,1,0.788566,0.071917,[ 7 49] ; [ 33 205],[ 7.61904762 48.38095238] ; [ 32.38095238 205.61904762],0
d4,1,0.796615,0.066425,[47  9] ; [203  35],[47.61904762  8.38095238] ; [202.38095238  35.61904762],0
s8,1,0.811046,0.057158,[31 25] ; [127 110],[30.19795222 25.80204778] ; [127.80204778 109.19795222],0
r3,1,0.848795,0.03635,[53  2] ; [228  10],[52.74744027  2.25255973] ; [228.25255973   9.74744027],0
n5,1,0.856086,0.032891,[46 10] ; [193  45],[45.52380952 10.47619048] ; [193.47619048  44.52380952],0
p10,1,0.858986,0.031565,[51  5] ; [214  23],[50.64846416  5.35153584] ; [214.35153584  22.64846416],0
a4,1,0.932139,0.007251,[26 30] ; [109 129],[25.71428571 30.28571429] ; [109.28571429 128.71428571],0
n3,1,0.942017,0.00529,[6 4] ; [19 12],[6.09756098 3.90243902] ; [18.90243902 12.09756098],0
n1,1,0.942017,0.00529,[4 6] ; [12 19],[3.90243902 6.09756098] ; [12.09756098 18.90243902],0
b5,1,0.944577,0.004833,[29 27] ; [125 114],[29.23389831 26.76610169] ; [124.76610169 114.23389831],0
n2,1,0.953363,0.00342,[7 3] ; [22  9],[7.07317073 2.92682927] ; [21.92682927  9.07317073],0
d5,1,0.970648,0.001354,[46 10] ; [195  43],[45.9047619 10.0952381] ; [195.0952381  42.9047619],0
