Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.001244,10.424049,[356  63] ; [26 14],[348.71023965  70.28976035] ; [33.28976035  6.71023965],0
s6,1,0.319584,0.99065,[286 122] ; [25 15],[283.23214286 124.76785714] ; [27.76785714 12.23214286],0
s1,1,0.342827,0.899831,[ 10 407] ; [ 2 39],[ 10.92576419 406.07423581] ; [ 1.07423581 39.92576419],0
s4,1,0.37492,0.787291,[ 73 340] ; [ 5 36],[ 70.95594714 342.04405286] ; [ 7.04405286 33.95594714],0
v3,1,0.37614,0.783279,[179 230] ; [15 26],[176.32444444 232.67555556] ; [17.67555556 23.32444444],0
s2,1,0.387151,0.747871,[218 200] ; [18 22],[215.38864629 202.61135371] ; [20.61135371 19.38864629],0
a1,1,0.40339,0.698198,[ 23 397] ; [ 1 40],[ 21.86550976 398.13449024] ; [ 2.13449024 38.86550976],0
n1,1,0.420401,0.649195,[29 41] ; [5 4],[30.12658228 39.87341772] ; [3.87341772 5.12658228],0
n3,1,0.434081,0.611878,[48 22] ; [5 4],[46.96202532 23.03797468] ; [6.03797468 2.96202532],0
v2,1,0.438626,0.599873,[236 173] ; [25 14],[238.27901786 170.72098214] ; [22.72098214 16.27901786],0
b2,1,0.451092,0.567906,[ 93 159] ; [ 7 17],[ 91.30434783 160.69565217] ; [ 8.69565217 15.30434783],0
b3,1,0.451092,0.567906,[ 93 159] ; [ 7 17],[ 91.30434783 160.69565217] ; [ 8.69565217 15.30434783],0
a5,1,0.458231,0.550211,[319 101] ; [29 12],[317.04989154 102.95010846] ; [30.95010846 10.04989154],0
n2,1,0.479157,0.500782,[56 15] ; [8 1],[56.8 14.2] ; [7.2 1.8],0
a4,1,0.52306,0.407856,[179 240] ; [15 25],[177.09368192 241.90631808] ; [16.90631808 23.09368192],0
a8,1,0.52335,0.407287,[ 56 326] ; [ 4 33],[ 54.70167064 327.29832936] ; [ 5.29832936 31.70167064],0
p12,1,0.665168,0.187307,[ 42 376] ; [ 5 36],[ 42.80174292 375.19825708] ; [ 4.19825708 36.80174292],0
b5,1,0.667239,0.184848,[240 180] ; [22 19],[238.69848156 181.30151844] ; [23.30151844 17.69848156],0
p1,1,0.675724,0.17498,[ 50 368] ; [ 4 37],[ 49.17647059 368.82352941] ; [ 4.82352941 36.17647059],0
p5,1,0.702185,0.146209,[ 72 348] ; [ 8 33],[ 72.88503254 347.11496746] ; [ 7.11496746 33.88503254],0
a6,1,0.863205,0.029686,[278 141] ; [26 14],[277.50762527 141.49237473] ; [26.49237473 13.50762527],0
u3,1,0.866396,0.028304,[67 53] ; [11  8],[67.3381295 52.6618705] ; [10.6618705  8.3381295],0
b4,1,0.897309,0.016657,[240 180] ; [23 18],[239.60954447 180.39045553] ; [23.39045553 17.60954447],0
b1,1,0.930796,0.007542,[161 259] ; [16 25],[161.25813449 258.74186551] ; [15.74186551 25.25813449],0
u4,1,0.94491,0.004775,[ 11 409] ; [ 1 40],[ 10.93275488 409.06724512] ; [ 1.06724512 39.93275488],0
s5,1,0.953873,0.003346,[153 250] ; [15 25],[152.83069977 250.16930023] ; [15.16930023 24.83069977],0
p6,1,0.998851,2e-06,[202 212] ; [20 21],[201.9956044 212.0043956] ; [20.0043956 20.9956044],0
