Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,2e-06,22.275,[33  3] ; [11 19],[24. 12.] ; [20. 10.],1
n1,1,0.492072,0.471992,[3 9] ; [ 7 12],[3.87096774 8.12903226] ; [ 6.12903226 12.87096774],0
d5,1,0.49929,0.456445,[27 11] ; [19 11],[25.70588235 12.29411765] ; [20.29411765  9.70588235],0
p6,1,0.579188,0.307549,[ 7 30] ; [ 4 25],[ 6.16666667 30.83333333] ; [ 4.83333333 24.16666667],0
a6,1,0.586992,0.295066,[24 14] ; [17 13],[22.91176471 15.08823529] ; [18.08823529 11.91176471],0
a7,1,0.665927,0.186404,[21 17] ; [15 15],[20.11764706 17.88235294] ; [15.88235294 14.11764706],0
b1,1,0.748132,0.103108,[23 15] ; [17 13],[22.35294118 15.64705882] ; [17.64705882 12.35294118],0
a2,1,0.776447,0.080629,[ 6 32] ; [ 4 26],[ 5.58823529 32.41176471] ; [ 4.41176471 25.58823529],0
d1,1,0.790187,0.070792,[14 24] ; [12 18],[14.52941176 23.47058824] ; [11.47058824 18.52941176],0
n4,1,0.829306,0.04648,[20 18] ; [15 15],[19.55882353 18.44117647] ; [15.44117647 14.55882353],0
p10,1,0.85054,0.035505,[ 7 31] ; [ 5 25],[ 6.70588235 31.29411765] ; [ 5.29411765 24.70588235],0
s7,1,0.97325,0.001124,[ 6 27] ; [ 5 22],[ 6.05 26.95] ; [ 4.95 22.05],0
