Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,8.2e-05,15.510933,[51  5] ; [31 22],[42.12844037 13.87155963] ; [39.87155963 13.12844037],1
a2,1,0.215001,1.537429,[ 6 51] ; [10 43],[ 8.29090909 48.70909091] ; [ 7.70909091 45.29090909],0
s8,1,0.264731,1.243848,[11 46] ; [ 6 46],[ 8.88990826 48.11009174] ; [ 8.11009174 43.88990826],0
p3,1,0.266962,1.232289,[18 38] ; [12 41],[15.41284404 40.58715596] ; [14.58715596 38.41284404],0
a3,1,0.272181,1.205722,[28 29] ; [31 21],[30.85321101 26.14678899] ; [28.14678899 23.85321101],0
u2,1,0.274905,1.192108,[15 14] ; [ 8 14],[13.07843137 15.92156863] ; [ 9.92156863 12.07843137],0
n2,1,0.278287,1.175436,[14  8] ; [13 14],[12.12244898  9.87755102] ; [14.87755102 12.12244898],0
d3,1,0.340036,0.910295,[31 26] ; [24 29],[28.5 28.5] ; [26.5 26.5],0
u3,1,0.350837,0.870428,[17 12] ; [10 12],[15.35294118 13.64705882] ; [11.64705882 10.35294118],0
n3,1,0.368561,0.808511,[13  9] ; [11 13],[11.47826087 10.52173913] ; [12.52173913 11.47826087],0
n5,1,0.402589,0.700581,[31 26] ; [33 20],[33.16363636 23.83636364] ; [30.83636364 22.16363636],0
b1,1,0.422965,0.642061,[29 28] ; [31 22],[31.09090909 25.90909091] ; [28.90909091 24.09090909],0
n1,1,0.454486,0.559441,[ 7 15] ; [11 15],[ 8.25 13.75] ; [ 9.75 16.25],0
a8,1,0.462095,0.540816,[ 5 48] ; [ 3 50],[ 4. 49.] ; [ 4. 49.],0
d1,1,0.488499,0.47983,[20 37] ; [22 31],[21.76363636 35.23636364] ; [20.23636364 32.76363636],0
v1,1,0.492733,0.470552,[15 42] ; [11 42],[13.47272727 43.52727273] ; [12.52727273 40.47272727],0
n6,1,0.55979,0.340068,[36 21] ; [30 22],[34.51376147 22.48623853] ; [31.48623853 20.51376147],0
b5,1,0.567013,0.327706,[30 27] ; [25 28],[28.5 28.5] ; [26.5 26.5],0
r2,1,0.636201,0.223745,[48  9] ; [42 10],[47.06422018  9.93577982] ; [42.93577982  9.06422018],0
u1,1,0.656144,0.198242,[ 5 52] ; [ 6 47],[ 5.7 51.3] ; [ 5.3 47.7],0
d4,1,0.765878,0.088668,[35 22] ; [34 19],[35.75454545 21.24545455] ; [33.24545455 19.75454545],0
n4,1,0.772971,0.083227,[37 20] ; [33 20],[36.27272727 20.72727273] ; [33.72727273 19.27272727],0
a6,1,0.870128,0.026731,[31 26] ; [28 25],[30.57272727 26.42727273] ; [28.42727273 24.57272727],0
p1,1,0.927207,0.008347,[ 5 51] ; [ 5 48],[ 5.13761468 50.86238532] ; [ 4.86238532 48.13761468],0
s5,1,0.953598,0.003386,[ 9 48] ; [ 8 44],[ 8.88990826 48.11009174] ; [ 8.11009174 43.88990826],0
p12,1,0.968651,0.001545,[ 1 55] ; [ 1 52],[ 1.02752294 54.97247706] ; [ 0.97247706 52.02752294],0
a5,1,0.972208,0.001214,[31 26] ; [29 24],[31.09090909 25.90909091] ; [28.90909091 24.09090909],0
b4,1,0.972208,0.001214,[31 26] ; [29 24],[31.09090909 25.90909091] ; [28.90909091 24.09090909],0
