Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1.9e-05,18.294718,[76  6] ; [17 12],[68.7027027 13.2972973] ; [24.2972973  4.7027027],1
b5,1,0.275672,1.188303,[51 32] ; [15 15],[48.47787611 34.52212389] ; [17.52212389 12.47787611],0
a2,1,0.313004,1.017956,[ 6 77] ; [ 4 26],[ 7.34513274 75.65486726] ; [ 2.65486726 27.34513274],0
a6,1,0.31907,0.992753,[41 42] ; [18 12],[43.33628319 39.66371681] ; [15.66371681 14.33628319],0
s1,1,0.343229,0.898333,[ 6 74] ; [ 4 26],[ 7.27272727 72.72727273] ; [ 2.72727273 27.27272727],0
p6,1,0.384688,0.755668,[20 62] ; [ 5 25],[18.30357143 63.69642857] ; [ 6.69642857 23.30357143],0
d2,1,0.398084,0.714107,[21 62] ; [10 20],[22.7699115 60.2300885] ; [ 8.2300885 21.7699115],0
a4,1,0.439811,0.596774,[21 60] ; [10 20],[22.62162162 58.37837838] ; [ 8.37837838 21.62162162],0
a3,1,0.492398,0.471282,[40 42] ; [12 17],[38.41441441 43.58558559] ; [13.58558559 15.41441441],0
n1,1,0.504985,0.444444,[11 14] ; [ 5 10],[10. 15.] ; [6. 9.],0
r1,1,0.511965,0.430049,[44 38] ; [14 16],[42.46428571 39.53571429] ; [15.53571429 14.46428571],0
a8,1,0.515446,0.422995,[ 9 64] ; [ 5 24],[10.01960784 62.98039216] ; [ 3.98039216 25.01960784],0
v3,1,0.552333,0.353155,[13 69] ; [ 6 23],[14.03603604 67.96396396] ; [ 4.96396396 24.03603604],0
b4,1,0.56875,0.324778,[41 42] ; [13 17],[39.66371681 43.33628319] ; [14.33628319 15.66371681],0
u3,1,0.597801,0.278325,[16 27] ; [ 8 10],[16.91803279 26.08196721] ; [ 7.08196721 10.91803279],0
s4,1,0.62602,0.237497,[20 62] ; [ 6 24],[19.03571429 62.96428571] ; [ 6.96428571 23.03571429],0
a7,1,0.669563,0.182114,[42 40] ; [14 16],[41. 41.] ; [15. 15.],0
b1,1,0.670065,0.181526,[35 48] ; [14 16],[35.99115044 47.00884956] ; [13.00884956 16.99115044],0
d1,1,0.734466,0.115051,[ 4 79] ; [ 1 29],[ 3.67256637 79.32743363] ; [ 1.32743363 28.67256637],0
p1,1,0.790643,0.070477,[12 70] ; [ 5 25],[12.44642857 69.55357143] ; [ 4.55357143 25.44642857],0
d3,1,0.808554,0.058706,[18 64] ; [ 7 22],[18.46846847 63.53153153] ; [ 6.53153153 22.46846847],0
a5,1,0.885961,0.020568,[40 43] ; [14 16],[39.66371681 43.33628319] ; [14.33628319 15.66371681],0
v1,1,0.96769,0.001641,[27 55] ; [10 20],[27.08928571 54.91071429] ; [ 9.91071429 20.08928571],0
