Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-05,19.486355,[ 9 25] ; [46 17],[19.27835052 14.72164948] ; [35.72164948 27.27835052],1
n3,1,0.167665,1.9037,[ 6 10] ; [16 11],[8.18604651 7.81395349] ; [13.81395349 13.18604651],0
b1,1,0.18423,1.763169,[18 16] ; [42 21],[21.03092784 12.96907216] ; [38.96907216 24.03092784],0
n2,1,0.20192,1.628429,[7 9] ; [19 11],[9.04347826 6.95652174] ; [16.95652174 13.04347826],0
p6,1,0.210575,1.567466,[ 3 29] ; [12 50],[ 5.10638298 26.89361702] ; [ 9.89361702 52.10638298],0
u1,1,0.212991,1.55098,[ 2 32] ; [ 9 54],[ 3.8556701 30.1443299] ; [ 7.1443299 55.8556701],0
p10,1,0.236375,1.402085,[ 3 31] ; [11 51],[ 4.95833333 29.04166667] ; [ 9.04166667 52.95833333],0
d1,1,0.242447,1.366307,[12 22] ; [30 33],[14.72164948 19.27835052] ; [27.27835052 35.72164948],0
v2,1,0.288119,1.128388,[10 24] ; [25 37],[12.39583333 21.60416667] ; [22.60416667 39.39583333],0
a1,1,0.295502,1.094382,[ 5 29] ; [ 5 58],[ 3.50515464 30.49484536] ; [ 6.49484536 56.50515464],0
p8,1,0.348818,0.877751,[ 7 26] ; [19 44],[ 8.9375 24.0625] ; [17.0625 45.9375],0
p7,1,0.47693,0.505876,[14 20] ; [21 41],[12.39583333 21.60416667] ; [22.60416667 39.39583333],0
n1,1,0.5023,0.450073,[ 5 11] ; [12 17],[6.04444444 9.95555556] ; [10.95555556 18.04444444],0
a4,1,0.541652,0.372487,[11 22] ; [25 38],[12.375 20.625] ; [23.625 39.375],0
b5,1,0.600628,0.27405,[17 17] ; [35 28],[18.22680412 15.77319588] ; [33.77319588 29.22680412],0
a6,1,0.632015,0.229339,[19 15] ; [32 31],[17.87628866 16.12371134] ; [33.12371134 29.87628866],0
n5,1,0.632015,0.229339,[19 15] ; [32 31],[17.87628866 16.12371134] ; [33.12371134 29.87628866],0
n4,1,0.672017,0.179252,[19 15] ; [38 25],[19.97938144 14.02061856] ; [37.02061856 25.97938144],0
s4,1,0.732563,0.116771,[ 7 27] ; [11 51],[ 6.375 27.625] ; [11.625 50.375],0
d3,1,0.805083,0.060898,[18 16] ; [35 28],[18.57731959 15.42268041] ; [34.42268041 28.57731959],0
p4,1,0.837599,0.042011,[11 23] ; [21 40],[11.45263158 22.54736842] ; [20.54736842 40.45263158],0
n6,1,0.856623,0.032643,[19 15] ; [34 29],[18.57731959 15.42268041] ; [34.42268041 28.57731959],0
p3,1,0.874478,0.024956,[11 22] ; [20 43],[10.65625 22.34375] ; [20.34375 42.65625],0
p1,1,0.87956,0.02296,[ 3 31] ; [ 5 58],[ 2.80412371 31.19587629] ; [ 5.19587629 57.80412371],0
s1,1,0.909694,0.012865,[ 3 31] ; [ 6 57],[ 3.15463918 30.84536082] ; [ 5.84536082 57.15463918],0
d2,1,0.946449,0.004511,[16 17] ; [31 32],[16.15625 16.84375] ; [30.84375 32.15625],0
