Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,1.2e-05,19.127066,[62 15] ; [10 18],[52.8 24.2] ; [19.2  8.8],1
v2,1,0.348658,0.878336,[38 31] ; [12 15],[35.9375 33.0625] ; [14.0625 12.9375],0
n2,1,0.420113,0.65,[19  7] ; [11  2],[20.  6.] ; [10.  3.],0
v1,1,0.451072,0.567957,[33 40] ; [15 13],[34.69306931 38.30693069] ; [13.30693069 14.69306931],0
p8,1,0.46804,0.5266,[35 39] ; [11 17],[33.37254902 40.62745098] ; [12.62745098 15.37254902],0
s8,1,0.536465,0.38213,[41 36] ; [13 15],[39.6 37.4] ; [14.4 13.6],0
p3,1,0.575978,0.312782,[28 48] ; [12 16],[29.23076923 46.76923077] ; [10.76923077 17.23076923],0
p12,1,0.583744,0.300221,[ 5 71] ; [ 1 26],[ 4.42718447 71.57281553] ; [ 1.57281553 25.42718447],0
s4,1,0.602742,0.270879,[29 48] ; [ 9 19],[27.86666667 49.13333333] ; [10.13333333 17.86666667],0
n3,1,0.630954,0.230769,[18  8] ; [8 5],[17.33333333  8.66666667] ; [8.66666667 4.33333333],0
p1,1,0.664282,0.188364,[ 6 69] ; [ 3 25],[ 6.55339806 68.44660194] ; [ 2.44660194 25.55339806],0
b4,1,0.718567,0.12987,[47 30] ; [16 12],[46.2 30.8] ; [16.8 11.2],0
p4,1,0.746572,0.104434,[38 38] ; [15 13],[38.73076923 37.26923077] ; [14.26923077 13.73076923],0
p11,1,0.784057,0.075095,[49 28] ; [17 11],[48.4 28.6] ; [17.6 10.4],0
s1,1,0.799493,0.064518,[ 2 74] ; [ 1 27],[ 2.19230769 73.80769231] ; [ 0.80769231 27.19230769],0
a3,1,0.810836,0.057287,[46 31] ; [16 12],[45.46666667 31.53333333] ; [16.53333333 11.46666667],0
p7,1,0.83642,0.042632,[41 28] ; [16 12],[40.54639175 28.45360825] ; [16.45360825 11.54639175],0
d2,1,0.879598,0.022946,[29 48] ; [11 17],[29.33333333 47.66666667] ; [10.66666667 17.33333333],0
s5,1,0.919953,0.010099,[35 39] ; [12 14],[34.78 39.22] ; [12.22 13.78],0
a5,1,0.928213,0.008117,[46 31] ; [17 11],[46.2 30.8] ; [16.8 11.2],0
p6,1,0.988971,0.000191,[24 51] ; [ 9 19],[24.02912621 50.97087379] ; [ 8.97087379 19.02912621],0
