Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,0.006672,7.359267,[46 60] ; [ 2 17],[40.704 65.296] ; [ 7.296 11.704],0
a4,1,0.655715,0.19877,[ 62 100] ; [14 19],[63.13846154 98.86153846] ; [12.86153846 20.13846154],0
a6,1,0.705782,0.142526,[75 88] ; [14 19],[74.01530612 88.98469388] ; [14.98469388 18.01530612],0
n4,1,0.733357,0.116052,[113  49] ; [24  9],[113.81538462  48.18461538] ; [23.18461538  9.81538462],0
v1,1,0.736925,0.112848,[72 87] ; [16 17],[72.875 86.125] ; [15.125 17.875],0
a1,1,0.783763,0.075305,[  8 155] ; [ 2 31],[  8.31632653 154.68367347] ; [ 1.68367347 31.31632653],0
p3,1,0.798727,0.065023,[ 60 102] ; [13 20],[ 60.64615385 101.35384615] ; [12.35384615 20.64615385],0
b1,1,0.801352,0.063301,[78 85] ; [15 18],[77.34183673 85.65816327] ; [15.65816327 17.34183673],0
d2,1,0.80886,0.058514,[72 89] ; [14 19],[71.37113402 89.62886598] ; [14.62886598 18.37113402],0
r4,1,0.809202,0.058301,[117  46] ; [23 10],[116.42857143  46.57142857] ; [23.57142857  9.42857143],0
n5,1,0.824535,0.049158,[114  47] ; [24  9],[114.5257732  46.4742268] ; [23.4742268  9.5257732],0
r1,1,0.825113,0.04883,[107  56] ; [21 12],[106.44897959  56.55102041] ; [21.55102041 11.44897959],0
a2,1,0.831,0.045547,[ 13 150] ; [ 3 30],[ 13.30612245 149.69387755] ; [ 2.69387755 30.30612245],0
d5,1,0.856516,0.032692,[101  62] ; [21 12],[101.45918367  61.54081633] ; [20.54081633 12.45918367],0
d1,1,0.856516,0.032692,[ 62 101] ; [12 21],[ 61.54081633 101.45918367] ; [12.45918367 20.54081633],0
r2,1,0.86249,0.03,[133  27] ; [27  5],[133.33333333  26.66666667] ; [26.66666667  5.33333333],0
p8,1,0.87243,0.025784,[ 52 111] ; [11 22],[ 52.39285714 110.60714286] ; [10.60714286 22.39285714],0
n1,1,0.878814,0.023248,[21 32] ; [ 6 10],[20.73913043 32.26086957] ; [6.26086957 9.73913043],0
n6,1,0.882853,0.021713,[120  41] ; [25  8],[120.33505155  40.66494845] ; [24.66494845  8.33505155],0
v3,1,0.911444,0.012369,[ 50 105] ; [10 22],[ 49.73262032 105.26737968] ; [10.26737968 21.73262032],0
p9,1,0.94423,0.004894,[111  49] ; [22 10],[110.83333333  49.16666667] ; [22.16666667  9.83333333],0
a3,1,0.945543,0.004666,[107  55] ; [22 11],[107.16923077  54.83076923] ; [21.83076923 11.16923077],0
u2,1,1.0,0.0,[25 30] ; [5 6],[25. 30.] ; [5. 6.],0
