Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.2e-05,19.222785,[227  52] ; [89 55],[208.42553191  70.57446809] ; [107.57446809  36.42553191],1
p1,1,0.51771,0.418452,[ 22 259] ; [  9 138],[ 20.35280374 260.64719626] ; [ 10.64719626 136.35280374],0
b1,1,0.535117,0.384665,[ 97 185] ; [55 92],[ 99.91608392 182.08391608] ; [52.08391608 94.91608392],0
a3,1,0.60184,0.27223,[224  57] ; [114  33],[221.91121495  59.08878505] ; [116.08878505  30.91121495],0
r2,1,0.614195,0.254111,[264  14] ; [136   9],[262.88416076  15.11583924] ; [137.11583924   7.88416076],0
n2,1,0.634898,0.225478,[33 13] ; [29  9],[33.95238095 12.04761905] ; [28.04761905  9.95238095],0
a2,1,0.684116,0.165529,[ 82 200] ; [ 40 107],[ 80.1958042 201.8041958] ; [ 41.8041958 105.1958042],0
r1,1,0.759519,0.093705,[238  43] ; [122  24],[236.90866511  44.09133489] ; [123.09133489  22.90866511],0
a6,1,0.817597,0.053193,[198  83] ; [102  45],[196.96261682  84.03738318] ; [103.03738318  43.96261682],0
s3,1,0.864878,0.028957,[152 124] ; [80 63],[152.82100239 123.17899761] ; [79.17899761 63.82100239],0
a1,1,0.867332,0.027905,[ 18 264] ; [ 10 137],[ 18.40559441 263.59440559] ; [  9.59440559 137.40559441],0
b4,1,0.871345,0.026228,[173 109] ; [89 58],[172.22377622 109.77622378] ; [89.77622378 57.22377622],0
d5,1,0.897612,0.016558,[256  26] ; [134  13],[256.36363636  25.63636364] ; [133.63636364  13.36363636],0
d2,1,0.911695,0.012299,[159 122] ; [84 63],[159.53971963 121.46028037] ; [83.46028037 63.53971963],0
