Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,78.951468,[434 101] ; [88 98],[387.3370319 147.6629681] ; [134.6629681  51.3370319],1
s5,1,0.01317,6.146108,[194 321] ; [ 50 132],[180.28694405 334.71305595] ; [ 63.71305595 118.28694405],0
p9,1,0.014279,6.003287,[472  58] ; [151  33],[462.45098039  67.54901961] ; [160.54901961  23.45098039],0
n5,1,0.014515,5.974459,[417 115] ; [130  57],[404.73435327 127.26564673] ; [142.26564673  44.73435327],0
s6,1,0.032306,4.582185,[368 154] ; [114  70],[356.3796034 165.6203966] ; [125.6203966  58.3796034],0
p8,1,0.041651,4.149336,[312 213] ; [94 91],[300.21126761 224.78873239] ; [105.78873239  79.21126761],0
v3,1,0.049488,3.858723,[218 301] ; [ 61 120],[206.85857143 312.14142857] ; [ 72.14142857 108.85857143],0
s2,1,0.104204,2.639989,[286 244] ; [88 99],[276.45746165 253.54253835] ; [97.54253835 89.45746165],0
u4,1,0.10477,2.631396,[ 13 523] ; [  1 187],[ 10.36464088 525.63535912] ; [  3.63535912 184.36464088],0
p12,1,0.118239,2.440491,[ 44 487] ; [  9 178],[ 39.19637883 491.80362117] ; [ 13.80362117 173.19637883],0
p7,1,0.159794,1.976175,[367 158] ; [117  65],[359.40594059 165.59405941] ; [124.59405941  57.40594059],0
r3,1,0.178224,1.81237,[520  15] ; [176   9],[517.16666667  17.83333333] ; [178.83333333   6.16666667],0
v4,1,0.205619,1.602009,[522  11] ; [180   7],[519.675  13.325] ; [182.325   4.675],0
p1,1,0.219172,1.509784,[ 44 490] ; [ 21 166],[ 48.14147018 485.85852982] ; [ 16.85852982 170.14147018],0
p6,1,0.221307,1.495873,[215 314] ; [ 65 118],[208.03370787 320.96629213] ; [ 71.96629213 111.03370787],0
a1,1,0.274038,1.196421,[ 24 512] ; [  5 183],[ 21.46961326 514.53038674] ; [  7.53038674 180.46961326],0
a7,1,0.298088,1.082729,[406 130] ; [133  52],[400.69902913 135.30097087] ; [138.30097087  46.69902913],0
b1,1,0.399398,0.710137,[198 338] ; [ 63 125],[193.22651934 342.77348066] ; [ 67.77348066 120.22651934],0
s4,1,0.424924,0.636657,[ 84 446] ; [ 34 151],[ 87.46853147 442.53146853] ; [ 30.53146853 154.46853147],0
a8,1,0.475395,0.509409,[ 71 407] ; [ 22 152],[ 68.1809816 409.8190184] ; [ 24.8190184 149.1809816],0
n2,1,0.580057,0.306143,[81 25] ; [31 12],[79.67785235 26.32214765] ; [32.32214765 10.67785235],0
u3,1,0.582544,0.302139,[61 40] ; [56 43],[59.085 41.915] ; [57.915 41.085],0
n3,1,0.633334,0.227567,[81 25] ; [32 12],[79.85333333 26.14666667] ; [33.14666667 10.85333333],0
s3,1,0.659138,0.194572,[307 221] ; [111  74],[309.542777 218.457223] ; [108.457223  76.542777],0
b4,1,0.681703,0.168215,[313 223] ; [113  75],[315.38121547 220.61878453] ; [110.61878453  77.38121547],0
s1,1,0.815373,0.054523,[ 13 514] ; [  4 181],[ 12.58286517 514.41713483] ; [  4.41713483 180.58286517],0
p5,1,0.817481,0.053262,[ 63 471] ; [ 21 167],[ 62.12742382 471.87257618] ; [ 21.87257618 166.12742382],0
u2,1,0.860058,0.031082,[57 45] ; [53 44],[56.38190955 45.61809045] ; [53.61809045 43.38190955],0
n1,1,0.896339,0.016975,[39 65] ; [17 27],[39.35135135 64.64864865] ; [16.64864865 27.35135135],0
b5,1,0.964808,0.001947,[326 210] ; [114  74],[325.74585635 210.25414365] ; [114.25414365  73.74585635],0
