Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,6.8e-05,15.865688,[32 11] ; [ 9 23],[23.50666667 19.49333333] ; [17.49333333 14.50666667],1
p10,1,0.357765,0.845723,[34  8] ; [23  9],[32.35135135  9.64864865] ; [24.64864865  7.35135135],0
d1,1,0.365601,0.818561,[22 21] ; [13 19],[20.06666667 22.93333333] ; [14.93333333 17.06666667],0
v4,1,0.375364,0.78583,[39  4] ; [26  5],[37.77027027  5.22972973] ; [27.22972973  3.77027027],0
v2,1,0.377227,0.779719,[22 20] ; [13 18],[20.1369863 21.8630137] ; [14.8630137 16.1369863],0
a2,1,0.384334,0.756792,[ 7 36] ; [ 3 29],[ 5.73333333 37.26666667] ; [ 4.26666667 27.73333333],0
p4,1,0.391,0.735828,[24 19] ; [21 11],[25.8 17.2] ; [19.2 12.8],0
s1,1,0.462802,0.539109,[ 3 40] ; [ 1 31],[ 2.29333333 40.70666667] ; [ 1.70666667 30.29333333],0
r2,1,0.470376,0.521092,[36  3] ; [27  4],[35.1  3.9] ; [27.9  3.1],0
a3,1,0.477048,0.505605,[29 14] ; [24  8],[30.38666667 12.61333333] ; [22.61333333  9.38666667],0
b3,1,0.479416,0.500191,[14 18] ; [ 9 17],[12.68965517 19.31034483] ; [10.31034483 15.68965517],0
b2,1,0.479416,0.500191,[14 18] ; [ 9 17],[12.68965517 19.31034483] ; [10.31034483 15.68965517],0
p8,1,0.494753,0.466173,[21 21] ; [13 18],[19.56164384 22.43835616] ; [14.43835616 16.56164384],0
u2,1,0.512091,0.429792,[9 5] ; [4 4],[8.27272727 5.72727273] ; [4.72727273 3.27272727],0
p5,1,0.521979,0.409982,[ 6 36] ; [ 3 29],[ 5.10810811 36.89189189] ; [ 3.89189189 28.10810811],0
s3,1,0.591715,0.287674,[27 16] ; [22 10],[28.09333333 14.90666667] ; [20.90666667 11.09333333],0
u1,1,0.629866,0.232242,[ 4 39] ; [ 2 30],[ 3.44 39.56] ; [ 2.56 29.44],0
v1,1,0.649879,0.206053,[18 21] ; [16 15],[18.94285714 20.05714286] ; [15.05714286 15.94285714],0
p3,1,0.665231,0.187231,[25 18] ; [17 15],[24.08 18.92] ; [17.92 14.08],0
n6,1,0.677145,0.173357,[34  9] ; [24  8],[33.25333333  9.74666667] ; [24.74666667  7.25333333],0
p2,1,0.726191,0.122638,[35  8] ; [25  7],[34.4  8.6] ; [25.6  6.4],0
p7,1,0.740315,0.10985,[26 16] ; [18 13],[25.31506849 16.68493151] ; [18.68493151 12.31506849],0
p12,1,0.779126,0.078656,[ 2 40] ; [ 2 30],[ 2.27027027 39.72972973] ; [ 1.72972973 30.27027027],0
s2,1,0.80033,0.063969,[27 16] ; [21 11],[27.52 15.48] ; [20.48 11.52],0
n3,1,0.825339,0.048701,[10  4] ; [12  4],[10.26666667  3.73333333] ; [11.73333333  4.26666667],0
n2,1,0.854813,0.033482,[11  3] ; [13  3],[11.2  2.8] ; [12.8  3.2],0
s6,1,0.858802,0.031648,[30 12] ; [22  8],[30.33333333 11.66666667] ; [21.66666667  8.33333333],0
p6,1,0.863311,0.02964,[19 22] ; [15 16],[19.36111111 21.63888889] ; [14.63888889 16.36111111],0
a1,1,0.900688,0.015573,[ 3 40] ; [ 2 30],[ 2.86666667 40.13333333] ; [ 2.13333333 29.86666667],0
s4,1,0.904391,0.014428,[14 29] ; [10 22],[13.76 29.24] ; [10.24 21.76],0
p9,1,0.906526,0.013788,[35  6] ; [27  5],[34.82191781  6.17808219] ; [27.17808219  4.82191781],0
r3,1,0.908485,0.013214,[38  5] ; [28  4],[37.84  5.16] ; [28.16  3.84],0
v3,1,0.957441,0.002848,[16 26] ; [12 19],[16.10958904 25.89041096] ; [11.89041096 19.10958904],0
s8,1,0.979463,0.000663,[27 16] ; [20 12],[26.94666667 16.05333333] ; [20.05333333 11.94666667],0
