Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,3.4e-05,17.196801,[23 17] ; [ 4 31],[14.4 25.6] ; [12.6 22.4],1
v4,1,0.145515,2.118645,[32  9] ; [22 13],[29.13157895 11.86842105] ; [24.86842105 10.13157895],0
s8,1,0.17581,1.832695,[10 33] ; [ 4 31],[ 7.71794872 35.28205128] ; [ 6.28205128 28.71794872],0
b1,1,0.179263,1.803724,[18 25] ; [20 15],[20.94871795 22.05128205] ; [17.05128205 17.94871795],0
a7,1,0.179263,1.803724,[25 18] ; [15 20],[22.05128205 20.94871795] ; [17.94871795 17.05128205],0
n5,1,0.194437,1.683673,[24 18] ; [25 10],[26.72727273 15.27272727] ; [22.27272727 12.72727273],0
p10,1,0.202149,1.626778,[27 14] ; [18 17],[24.27631579 16.72368421] ; [20.72368421 14.27631579],0
d3,1,0.240719,1.376379,[26 16] ; [17 18],[23.45454545 18.54545455] ; [19.54545455 15.45454545],0
a6,1,0.274385,1.194691,[25 18] ; [16 19],[22.6025641 20.3974359] ; [18.3974359 16.6025641],0
b3,1,0.300299,1.072866,[ 5 13] ; [10 13],[ 6.58536585 11.41463415] ; [ 8.41463415 14.58536585],0
b2,1,0.300299,1.072866,[ 5 13] ; [10 13],[ 6.58536585 11.41463415] ; [ 8.41463415 14.58536585],0
a5,1,0.325319,0.967442,[21 22] ; [21 14],[23.15384615 19.84615385] ; [18.84615385 16.15384615],0
p3,1,0.348733,0.878062,[14 28] ; [ 8 26],[12.15789474 29.84210526] ; [ 9.84210526 24.15789474],0
n4,1,0.404856,0.693857,[23 20] ; [22 13],[24.80769231 18.19230769] ; [20.19230769 14.80769231],0
p8,1,0.425125,0.636105,[14 27] ; [ 9 26],[12.40789474 28.59210526] ; [10.59210526 24.40789474],0
v3,1,0.427079,0.630754,[13 29] ; [ 8 27],[11.45454545 30.54545455] ; [ 9.54545455 25.45454545],0
r1,1,0.454772,0.55873,[10 32] ; [11 24],[11.45454545 30.54545455] ; [ 9.54545455 25.45454545],0
u2,1,0.473701,0.51333,[7 9] ; [4 9],[6.06896552 9.93103448] ; [4.93103448 8.06896552],0
p5,1,0.48843,0.479983,[ 3 39] ; [ 4 30],[ 3.86842105 38.13157895] ; [ 3.13157895 30.86842105],0
n2,1,0.583619,0.30042,[11  7] ; [11 10],[10.15384615  7.84615385] ; [11.84615385  9.15384615],0
s4,1,0.610714,0.259136,[ 8 35] ; [ 5 30],[ 7.16666667 35.83333333] ; [ 5.83333333 29.16666667],0
u1,1,0.681967,0.16792,[ 2 41] ; [ 1 34],[ 1.65384615 41.34615385] ; [ 1.34615385 33.65384615],0
a2,1,0.74008,0.110057,[ 6 37] ; [ 4 31],[ 5.51282051 37.48717949] ; [ 4.48717949 30.51282051],0
a4,1,0.761439,0.092168,[15 28] ; [13 21],[15.63636364 27.36363636] ; [12.36363636 21.63636364],0
v1,1,0.772337,0.083705,[15 25] ; [12 23],[14.4 25.6] ; [12.6 22.4],0
u3,1,0.858411,0.031826,[ 6 11] ; [5 8],[ 6.23333333 10.76666667] ; [4.76666667 8.23333333],0
d2,1,0.919278,0.010271,[22 21] ; [17 17],[21.77922078 21.22077922] ; [17.22077922 16.77922078],0
a3,1,0.931561,0.007375,[26 16] ; [22 13],[26.18181818 15.81818182] ; [21.81818182 13.18181818],0
n3,1,0.972566,0.001183,[8 9] ; [10 11],[8.05263158 8.94736842] ; [ 9.94736842 11.05263158],0
