Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,8.1e-05,15.52501,[47 19] ; [ 6 18],[38.86666667 27.13333333] ; [14.13333333  9.86666667],1
s5,1,0.568977,0.324397,[15 50] ; [ 4 19],[14.03409091 50.96590909] ; [ 4.96590909 18.03409091],0
p7,1,0.570665,0.321571,[33 31] ; [14 10],[34.18181818 29.81818182] ; [12.81818182 11.18181818],0
d4,1,0.603518,0.269722,[47 18] ; [16  8],[46.01123596 18.98876404] ; [16.98876404  7.01123596],0
r4,1,0.647523,0.209037,[55 11] ; [19  5],[54.26666667 11.73333333] ; [19.73333333  4.26666667],0
s6,1,0.655079,0.199557,[31 35] ; [10 14],[30.06666667 35.93333333] ; [10.93333333 13.06666667],0
p3,1,0.6935,0.155322,[19 46] ; [ 6 18],[18.25842697 46.74157303] ; [ 6.74157303 17.25842697],0
p8,1,0.712979,0.13532,[22 44] ; [ 9 15],[22.73333333 43.26666667] ; [ 8.26666667 15.73333333],0
r3,1,0.715923,0.132432,[61  4] ; [22  2],[60.61797753  4.38202247] ; [22.38202247  1.61797753],0
s1,1,0.747787,0.1034,[ 4 61] ; [ 1 22],[ 3.69318182 61.30681818] ; [ 1.30681818 21.69318182],0
b5,1,0.749119,0.102273,[36 30] ; [14 10],[36.66666667 29.33333333] ; [13.33333333 10.66666667],0
p6,1,0.771004,0.084717,[15 50] ; [ 6 17],[15.51136364 49.48863636] ; [ 5.48863636 17.51136364],0
p2,1,0.810113,0.057735,[45 21] ; [17  7],[45.46666667 20.53333333] ; [16.53333333  7.46666667],0
n2,1,0.818733,0.052521,[12  5] ; [6 2],[12.24  4.76] ; [5.76 2.24],0
s2,1,0.824083,0.049416,[25 39] ; [10 14],[25.45454545 38.54545455] ; [ 9.54545455 14.45454545],0
s8,1,0.829292,0.046488,[18 48] ; [ 6 18],[17.6 48.4] ; [ 6.4 17.6],0
a3,1,0.872959,0.025568,[37 29] ; [13 11],[36.66666667 29.33333333] ; [13.33333333 10.66666667],0
n3,1,0.882832,0.021721,[13  5] ; [6 2],[13.15384615  4.84615385] ; [5.84615385 2.15384615],0
d5,1,0.917145,0.010823,[46 20] ; [17  7],[46.2 19.8] ; [16.8  7.2],0
a5,1,0.948694,0.004141,[38 28] ; [14 10],[38.13333333 27.86666667] ; [13.86666667 10.13333333],0
v4,1,0.954488,0.003257,[60  6] ; [21  2],[60.06741573  5.93258427] ; [20.93258427  2.06741573],0
s7,1,0.962485,0.002212,[24 41] ; [ 8 14],[23.90804598 41.09195402] ; [ 8.09195402 13.90804598],0
