Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,76.908555,[370 102] ; [72 99],[324.45412131 147.54587869] ; [117.54587869  53.45412131],1
n2,1,0.292711,1.107108,[67 20] ; [28 13],[64.5703125 22.4296875] ; [30.4296875 10.5703125],0
a8,1,0.325882,0.965194,[ 63 363] ; [ 19 144],[ 59.30730051 366.69269949] ; [ 22.69269949 140.30730051],0
a3,1,0.36177,0.83174,[344 127] ; [131  40],[348.48130841 122.51869159] ; [126.51869159  44.48130841],0
s4,1,0.373611,0.79162,[ 79 387] ; [ 34 136],[ 82.79559748 383.20440252] ; [ 30.20440252 139.79559748],0
p2,1,0.448459,0.574543,[413  59] ; [144  25],[410.14664587  61.85335413] ; [146.85335413  22.14664587],0
v1,1,0.455957,0.555801,[266 194] ; [91 76],[261.9138756 198.0861244] ; [95.0861244 71.9138756],0
p9,1,0.481334,0.49584,[446  26] ; [163   7],[447.73831776  24.26168224] ; [161.26168224   8.73831776],0
p1,1,0.511413,0.431176,[ 47 425] ; [ 14 156],[ 44.84735202 427.15264798] ; [ 16.15264798 153.84735202],0
p6,1,0.580006,0.306225,[189 280] ; [ 64 105],[185.98275862 283.01724138] ; [ 67.01724138 101.98275862],0
v3,1,0.648503,0.207792,[190 265] ; [74 95],[192.5 262.5] ; [71.5 97.5],0
a1,1,0.661482,0.191729,[ 21 452] ; [  9 162],[ 22.03416149 450.96583851] ; [  7.96583851 163.03416149],0
s1,1,0.666744,0.185434,[ 14 454] ; [  4 166],[ 13.20376176 454.79623824] ; [  4.79623824 165.20376176],0
p7,1,0.688784,0.160405,[311 152] ; [115  52],[313.07619048 149.92380952] ; [112.92380952  54.07619048],0
u4,1,0.73069,0.118479,[  9 463] ; [  4 167],[  9.54276827 462.45723173] ; [  3.45723173 167.54276827],0
p11,1,0.765757,0.088762,[405  68] ; [148  23],[406.16304348  66.83695652] ; [146.83695652  24.16304348],0
s3,1,0.770245,0.085296,[268 198] ; [95 74],[266.39055118 199.60944882] ; [96.60944882 72.39055118],0
p3,1,0.799506,0.064509,[258 214] ; [91 79],[256.58566978 215.41433022] ; [92.41433022 77.58566978],0
p8,1,0.828944,0.04668,[267 200] ; [95 74],[265.8081761 201.1918239] ; [96.1918239 72.8081761],0
s6,1,0.854544,0.033607,[329 134] ; [116  49],[328.08121019 134.91878981] ; [116.91878981  48.08121019],0
d2,1,0.858019,0.032004,[235 237] ; [86 84],[236. 236.] ; [85. 85.],0
p5,1,0.904806,0.014302,[ 65 405] ; [ 24 145],[ 65.46165884 404.53834116] ; [ 23.53834116 145.46165884],0
n3,1,0.972361,0.0012,[65 22] ; [30 10],[65.07874016 21.92125984] ; [29.92125984 10.07874016],0
a4,1,0.997778,8e-06,[218 254] ; [79 92],[218.0155521 253.9844479] ; [78.9844479 92.0155521],0
