Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u1,1,0.002938,8.84574,[ 2 35] ; [14 30],[ 7.30864198 29.69135802] ; [ 8.69135802 35.30864198],0
p7,1,0.486234,0.484848,[24 12] ; [26 18],[22.5 13.5] ; [27.5 16.5],0
n6,1,0.486783,0.48363,[24 13] ; [31 12],[25.4375 11.5625] ; [29.5625 13.4375],0
d3,1,0.486813,0.483563,[27 10] ; [35  9],[28.32098765  8.67901235] ; [33.67901235 10.32098765],0
p11,1,0.492987,0.47,[27 10] ; [29 15],[25.58024691 11.41975309] ; [30.41975309 13.58024691],0
b1,1,0.528106,0.398034,[11 26] ; [16 28],[12.33333333 24.66666667] ; [14.66666667 29.33333333],0
p1,1,0.545111,0.36615,[ 4 33] ; [ 3 40],[ 3.2375 33.7625] ; [ 3.7625 39.2375],0
n3,1,0.61093,0.258824,[8 3] ; [9 2],[8.5 2.5] ; [8.5 2.5],0
v4,1,0.653095,0.20202,[33  3] ; [39  5],[32.4  3.6] ; [39.6  4.4],0
s6,1,0.654856,0.199833,[27 10] ; [34 10],[27.86419753  9.13580247] ; [33.13580247 10.86419753],0
a7,1,0.654856,0.199833,[27 10] ; [34 10],[27.86419753  9.13580247] ; [33.13580247 10.86419753],0
a1,1,0.661785,0.191363,[ 1 36] ; [ 2 42],[ 1.37037037 35.62962963] ; [ 1.62962963 42.37037037],0
p9,1,0.667556,0.184474,[27  9] ; [34  9],[27.79746835  8.20253165] ; [33.20253165  9.79746835],0
p10,1,0.697726,0.150849,[27 10] ; [33 10],[27.75  9.25] ; [32.25 10.75],0
b2,1,0.740809,0.109416,[11 15] ; [11 18],[10.4 15.6] ; [11.6 17.4],0
b3,1,0.740809,0.109416,[11 15] ; [11 18],[10.4 15.6] ; [11.6 17.4],0
p4,1,0.745203,0.105607,[19 18] ; [21 23],[18.27160494 18.72839506] ; [21.72839506 22.27160494],0
s5,1,0.791982,0.069557,[16 20] ; [17 24],[15.42857143 20.57142857] ; [17.57142857 23.42857143],0
p5,1,0.792413,0.069263,[ 2 35] ; [ 3 41],[ 2.28395062 34.71604938] ; [ 2.71604938 41.28395062],0
u2,1,0.822187,0.050505,[9 2] ; [7 2],[8.8 2.2] ; [7.2 1.8],0
n2,1,0.878854,0.023232,[7 4] ; [8 4],[7.17391304 3.82608696] ; [7.82608696 4.17391304],0
p3,1,0.964724,0.001956,[17 20] ; [20 24],[16.90123457 20.09876543] ; [20.09876543 23.90123457],0
r4,1,0.987173,0.000258,[32  5] ; [38  6],[31.97530864  5.02469136] ; [38.02469136  5.97530864],0
