Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.0,26.951411,[ 7 17] ; [58 10],[16.95652174  7.04347826] ; [48.04347826 19.95652174],1
p4,1,0.160933,1.96544,[ 3 21] ; [18 50],[ 5.47826087 18.52173913] ; [15.52173913 52.47826087],0
b4,1,0.174526,1.843631,[11 13] ; [42 26],[13.82608696 10.17391304] ; [39.17391304 28.82608696],0
n4,1,0.193257,1.692616,[15  9] ; [32 36],[12.26086957 11.73913043] ; [34.73913043 33.26086957],0
d2,1,0.199063,1.649236,[ 7 17] ; [30 38],[ 9.65217391 14.34782609] ; [27.34782609 40.65217391],0
p6,1,0.273687,1.198172,[ 1 23] ; [ 8 59],[ 2.37362637 21.62637363] ; [ 6.62637363 60.37362637],0
a8,1,0.293966,1.101369,[ 3 20] ; [ 4 61],[ 1.82954545 21.17045455] ; [ 5.17045455 59.82954545],0
s8,1,0.310172,1.029942,[ 3 21] ; [15 53],[ 4.69565217 19.30434783] ; [13.30434783 54.69565217],0
v1,1,0.329381,0.951331,[ 8 16] ; [30 37],[10.02197802 13.97802198] ; [27.97802198 39.02197802],0
b5,1,0.396275,0.719599,[11 13] ; [38 30],[12.7826087 11.2173913] ; [36.2173913 31.7826087],0
s7,1,0.416466,0.660265,[ 4 19] ; [16 46],[ 5.41176471 17.58823529] ; [14.58823529 47.41176471],0
p11,1,0.423705,0.640015,[ 8 16] ; [29 39],[ 9.65217391 14.34782609] ; [27.34782609 40.65217391],0
p9,1,0.460107,0.545634,[11 12] ; [38 29],[12.52222222 10.47777778] ; [36.47777778 30.52222222],0
p3,1,0.463983,0.536269,[ 4 20] ; [16 51],[ 5.27472527 18.72527473] ; [14.72527473 52.27472527],0
s1,1,0.476916,0.505907,[ 2 22] ; [ 3 64],[ 1.31868132 22.68131868] ; [ 3.68131868 63.31868132],0
n2,1,0.508332,0.4375,[9 5] ; [15 13],[8. 6.] ; [16. 12.],0
a6,1,0.513989,0.425938,[13 11] ; [42 26],[14.34782609  9.65217391] ; [40.65217391 27.34782609],0
p8,1,0.539891,0.375741,[ 3 21] ; [12 55],[ 3.95604396 20.04395604] ; [11.04395604 55.95604396],0
r2,1,0.557068,0.344806,[20  4] ; [59  8],[20.83516484  3.16483516] ; [58.16483516  8.83516484],0
n3,1,0.581452,0.303894,[7 6] ; [17 10],[7.8 5.2] ; [16.2 10.8],0
s4,1,0.67822,0.172137,[ 4 20] ; [ 9 59],[ 3.39130435 20.60869565] ; [ 9.60869565 58.39130435],0
b1,1,0.691444,0.157527,[11 13] ; [28 40],[10.17391304 13.82608696] ; [28.82608696 39.17391304],0
n1,1,0.747322,0.103795,[6 8] ; [13 14],[6.48780488 7.51219512] ; [12.51219512 14.48780488],0
u3,1,0.761922,0.091783,[7 6] ; [13  9],[7.42857143 5.57142857] ; [12.57142857  9.42857143],0
v3,1,0.788702,0.071822,[ 6 17] ; [18 44],[ 6.49411765 16.50588235] ; [17.50588235 44.49411765],0
a2,1,0.926733,0.008456,[ 3 21] ; [ 9 59],[ 3.13043478 20.86956522] ; [ 8.86956522 59.13043478],0
