Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,5e-06,20.678176,[103  71] ; [ 85 148],[80.37346437 93.62653563] ; [107.62653563 125.37346437],1
d3,1,0.577509,0.31028,[125  53] ; [159  76],[122.40193705  55.59806295] ; [161.59806295  73.40193705],0
b2,1,0.587847,0.293719,[37 71] ; [53 88],[39.03614458 68.96385542] ; [50.96385542 90.03614458],0
b3,1,0.587847,0.293719,[37 71] ; [53 88],[39.03614458 68.96385542] ; [50.96385542 90.03614458],0
s7,1,0.639572,0.219302,[81 93] ; [ 99 125],[78.69346734 95.30653266] ; [101.30653266 122.69346734],0
p6,1,0.652257,0.203066,[ 67 107] ; [ 85 149],[ 64.82352941 109.17647059] ; [ 87.17647059 146.82352941],0
s8,1,0.659837,0.193721,[ 68 110] ; [ 94 139],[ 70.16058394 107.83941606] ; [ 91.83941606 141.16058394],0
u2,1,0.665464,0.186954,[23 23] ; [40 34],[24.15 21.85] ; [38.85 35.15],0
s5,1,0.667779,0.184211,[ 55 116] ; [ 78 150],[ 57. 114.] ; [ 76. 152.],0
b4,1,0.730689,0.11848,[100  78] ; [136  99],[101.71428571  76.28571429] ; [134.28571429 100.71428571],0
n1,1,0.735779,0.113872,[13 20] ; [33 44],[13.8 19.2] ; [32.2 44.8],0
n4,1,0.800016,0.064174,[133  44] ; [174  61],[131.8907767  45.1092233] ; [175.1092233  59.8907767],0
p2,1,0.867851,0.027685,[145  32] ; [194  41],[145.63834951  31.36165049] ; [193.36165049  41.63834951],0
u4,1,0.88803,0.019824,[  2 176] ; [  3 232],[  2.15496368 175.84503632] ; [  2.84503632 232.15496368],0
s2,1,0.927361,0.008311,[82 95] ; [109 124],[82.45609756 94.54390244] ; [108.54390244 124.45609756],0
v4,1,0.947453,0.004343,[165  11] ; [219  15],[164.83902439  11.16097561] ; [219.16097561  14.83902439],0
a4,1,0.976738,0.00085,[82 96] ; [107 126],[81.8540146 96.1459854] ; [107.1459854 125.8540146],0
