Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,69.998312,[104   9] ; [13 34],[82.63125 30.36875] ; [34.36875 12.63125],1
a4,1,0.098446,2.730534,[58 57] ; [17 30],[53.24074074 61.75925926] ; [21.75925926 25.24074074],0
d5,1,0.105316,2.623143,[98 17] ; [35 12],[94.41358025 20.58641975] ; [38.58641975  8.41358025],0
d1,1,0.116515,2.463554,[74 41] ; [24 23],[69.56790123 45.43209877] ; [28.43209877 18.56790123],0
s4,1,0.118442,2.437808,[21 92] ; [14 33],[24.71875 88.28125] ; [10.28125 36.71875],0
a2,1,0.147809,2.094716,[32 83] ; [ 8 39],[28.39506173 86.60493827] ; [11.60493827 35.39506173],0
n1,1,0.153887,2.033295,[11 10] ; [ 5 12],[ 8.84210526 12.15789474] ; [7.15789474 9.84210526],0
v4,1,0.166334,1.915679,[109   4] ; [41  4],[107.27848101   5.72151899] ; [42.72151899  2.27848101],0
p12,1,0.203973,1.613699,[ 12 103] ; [ 2 45],[  9.9382716 105.0617284] ; [ 4.0617284 42.9382716],0
s8,1,0.208721,1.580273,[58 55] ; [19 28],[54.38125 58.61875] ; [22.61875 24.38125],0
v2,1,0.211587,1.560533,[70 43] ; [23 22],[66.51265823 46.48734177] ; [26.48734177 18.51265823],0
p8,1,0.275476,1.189274,[52 60] ; [17 29],[48.91139241 63.08860759] ; [20.08860759 25.91139241],0
p11,1,0.276888,1.182301,[90 25] ; [33 14],[87.31481481 27.68518519] ; [35.68518519 11.31481481],0
p10,1,0.27807,1.176499,[93 21] ; [34 12],[90.4875 23.5125] ; [36.5125  9.4875],0
a7,1,0.281849,1.158154,[75 39] ; [35 12],[77.88819876 36.11180124] ; [32.11180124 14.88819876],0
b5,1,0.306023,1.047763,[64 51] ; [22 25],[61.04938272 53.95061728] ; [24.95061728 22.04938272],0
r3,1,0.398337,0.713341,[104   9] ; [45  2],[105.23125   7.76875] ; [43.76875  3.23125],0
a6,1,0.432663,0.615663,[76 39] ; [28 19],[73.82716049 41.17283951] ; [30.17283951 16.82716049],0
s1,1,0.474877,0.510605,[  5 106] ; [ 1 46],[  4.21518987 106.78481013] ; [ 1.78481013 45.21518987],0
p9,1,0.499309,0.456405,[95 17] ; [37  9],[93.56962025 18.43037975] ; [38.43037975  7.56962025],0
u4,1,0.510472,0.433099,[  1 114] ; [ 1 46],[  1.41975309 113.58024691] ; [ 0.58024691 46.41975309],0
u3,1,0.536632,0.381818,[10 11] ; [12  9],[11. 10.] ; [11. 10.],0
u2,1,0.553545,0.351005,[ 9 10] ; [ 8 13],[ 8.075 10.925] ; [ 8.925 12.075],0
p1,1,0.637285,0.222311,[ 10 104] ; [ 3 43],[  9.2625 104.7375] ; [ 3.7375 42.2625],0
s3,1,0.645245,0.211948,[73 38] ; [32 14],[74.23566879 36.76433121] ; [30.76433121 15.23566879],0
b3,1,0.653247,0.201831,[30 45] ; [ 8 15],[29.08163265 45.91836735] ; [ 8.91836735 14.08163265],0
b2,1,0.653247,0.201831,[30 45] ; [ 8 15],[29.08163265 45.91836735] ; [ 8.91836735 14.08163265],0
r2,1,0.801347,0.063304,[107   6] ; [44  2],[107.31446541   5.68553459] ; [43.68553459  2.31446541],0
a1,1,0.812138,0.056486,[  4 111] ; [ 2 45],[  4.25925926 110.74074074] ; [ 1.74074074 45.25925926],0
d4,1,0.946473,0.004507,[99 15] ; [41  6],[99.13043478 14.86956522] ; [40.86956522  6.13043478],0
b4,1,0.960005,0.002515,[69 46] ; [28 19],[68.85802469 46.14197531] ; [28.14197531 18.85802469],0
d3,1,0.987396,0.00025,[76 39] ; [31 16],[75.95679012 39.04320988] ; [31.04320988 15.95679012],0
s2,1,0.989197,0.000183,[72 41] ; [30 17],[72.0375 40.9625] ; [29.9625 17.0375],0
s6,1,0.993032,7.6e-05,[93 19] ; [39  8],[92.98113208 19.01886792] ; [39.01886792  7.98113208],0
