Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.0,58.161386,[107   2] ; [15 18],[93.64788732 15.35211268] ; [28.35211268  4.64788732],1
a4,1,0.098545,2.728941,[27 80] ; [ 4 30],[23.5248227 83.4751773] ; [ 7.4751773 26.5248227],0
a2,1,0.156498,2.007746,[12 98] ; [ 1 33],[  9.93055556 100.06944444] ; [ 3.06944444 30.93055556],0
n4,1,0.158767,1.985927,[90 20] ; [24 10],[87.08333333 22.91666667] ; [26.91666667  7.08333333],0
p12,1,0.160233,1.972028,[12 96] ; [ 1 32],[ 9.95744681 98.04255319] ; [ 3.04255319 29.95744681],0
b1,1,0.21086,1.565512,[48 62] ; [19 15],[51.18055556 58.81944444] ; [15.81944444 18.18055556],0
n2,1,0.215682,1.532871,[18  4] ; [13  7],[16.23809524  5.76190476] ; [14.76190476  5.23809524],0
a8,1,0.224109,1.477864,[14 86] ; [ 2 31],[12.03007519 87.96992481] ; [ 3.96992481 29.03007519],0
s1,1,0.22913,1.446256,[  6 100] ; [ 4 30],[ 7.57142857 98.42857143] ; [ 2.42857143 31.57142857],0
n3,1,0.274986,1.191703,[15  6] ; [11  9],[13.31707317  7.68292683] ; [12.68292683  7.31707317],0
d1,1,0.293429,1.10382,[  9 101] ; [ 1 33],[  7.63888889 102.36111111] ; [ 2.36111111 31.63888889],0
p1,1,0.490879,0.474599,[18 90] ; [ 4 30],[16.73239437 91.26760563] ; [ 5.26760563 28.73239437],0
n1,1,0.63649,0.223362,[11 10] ; [ 9 11],[10.24390244 10.75609756] ; [ 9.75609756 10.24390244],0
a3,1,0.66579,0.186566,[57 51] ; [16 17],[55.91489362 52.08510638] ; [17.08510638 15.91489362],0
d2,1,0.692307,0.156599,[33 77] ; [ 9 25],[32.08333333 77.91666667] ; [ 9.91666667 24.08333333],0
b2,1,0.857149,0.032402,[27 40] ; [ 8 13],[26.64772727 40.35227273] ; [ 8.35227273 12.64772727],0
b3,1,0.857149,0.032402,[27 40] ; [ 8 13],[26.64772727 40.35227273] ; [ 8.35227273 12.64772727],0
