Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,28.272299,[50  8] ; [ 9 21],[38.88636364 19.11363636] ; [20.11363636  9.88636364],1
v2,1,0.179962,1.797939,[31 22] ; [12 16],[28.13580247 24.86419753] ; [14.86419753 13.13580247],0
b1,1,0.204113,1.612696,[27 32] ; [18 12],[29.83146067 29.16853933] ; [15.16853933 14.83146067],0
n4,1,0.204113,1.612696,[27 32] ; [18 12],[29.83146067 29.16853933] ; [15.16853933 14.83146067],0
p12,1,0.225841,1.466865,[ 1 57] ; [ 2 28],[ 1.97727273 56.02272727] ; [ 1.02272727 28.97727273],0
b2,1,0.299129,1.078075,[ 8 26] ; [ 8 14],[ 9.71428571 24.28571429] ; [ 6.28571429 15.71428571],0
b3,1,0.299129,1.078075,[ 8 26] ; [ 8 14],[ 9.71428571 24.28571429] ; [ 6.28571429 15.71428571],0
p7,1,0.302013,1.065286,[36 18] ; [16 13],[33.8313253 20.1686747] ; [18.1686747 10.8313253],0
p3,1,0.32058,0.98658,[23 36] ; [15 15],[25.19101124 33.80898876] ; [12.80898876 17.19101124],0
p10,1,0.338583,0.915789,[40 17] ; [18 12],[38. 19.] ; [20. 10.],0
p9,1,0.353936,0.859296,[45 12] ; [21  9],[43.24137931 13.75862069] ; [22.75862069  7.24137931],0
r2,1,0.36154,0.832536,[52  6] ; [24  5],[50.66666667  7.33333333] ; [25.33333333  3.66666667],0
v1,1,0.365459,0.819048,[26 30] ; [17 13],[28. 28.] ; [15. 15.],0
p11,1,0.403819,0.696925,[36 23] ; [21  9],[37.78651685 21.21348315] ; [19.21348315 10.78651685],0
s2,1,0.412169,0.672535,[32 27] ; [19 11],[33.80898876 25.19101124] ; [17.19101124 12.80898876],0
d2,1,0.429496,0.624187,[22 36] ; [14 16],[23.72727273 34.27272727] ; [12.27272727 17.72727273],0
a5,1,0.465524,0.53258,[40 19] ; [18 12],[38.4494382 20.5505618] ; [19.5505618 10.4494382],0
a3,1,0.477451,0.50468,[38 21] ; [17 13],[36.46067416 22.53932584] ; [18.53932584 11.46067416],0
a1,1,0.4806,0.497501,[ 2 57] ; [ 2 28],[ 2.65168539 56.34831461] ; [ 1.34831461 28.65168539],0
r3,1,0.493698,0.468456,[54  4] ; [29  1],[54.70454545  3.29545455] ; [28.29545455  1.70454545],0
s4,1,0.499001,0.457061,[12 47] ; [ 8 22],[13.25842697 45.74157303] ; [ 6.74157303 23.25842697],0
u2,1,0.509126,0.435862,[15  5] ; [11  2],[15.75757576  4.24242424] ; [10.24242424  2.75757576],0
p5,1,0.514754,0.42439,[ 4 54] ; [ 1 28],[ 3.33333333 54.66666667] ; [ 1.66666667 27.33333333],0
a8,1,0.546278,0.364028,[ 8 45] ; [ 3 26],[ 7.1097561 45.8902439] ; [ 3.8902439 25.1097561],0
s3,1,0.556943,0.345026,[39 19] ; [22  8],[40.20454545 17.79545455] ; [20.79545455  9.20454545],0
v4,1,0.56126,0.337528,[55  4] ; [26  3],[54.30681818  4.69318182] ; [26.69318182  2.30681818],0
v3,1,0.590679,0.289286,[13 41] ; [ 8 19],[14. 40.] ; [ 7. 20.],0
s8,1,0.70504,0.143282,[27 32] ; [15 15],[27.84269663 31.15730337] ; [14.15730337 15.84269663],0
p4,1,0.712133,0.136156,[31 28] ; [17 13],[31.82022472 27.17977528] ; [16.17977528 13.82022472],0
r4,1,0.744515,0.106198,[47 12] ; [23  7],[46.40449438 12.59550562] ; [23.59550562  6.40449438],0
n5,1,0.773797,0.082605,[27 31] ; [13 17],[26.36363636 31.63636364] ; [13.63636364 16.36363636],0
p8,1,0.857406,0.032284,[25 31] ; [14 16],[25.39534884 30.60465116] ; [13.60465116 16.39534884],0
s7,1,0.879289,0.023065,[27 31] ; [14 15],[27.33333333 30.66666667] ; [13.66666667 15.33333333],0
a4,1,0.96066,0.002433,[18 41] ; [ 9 21],[17.8988764 41.1011236] ; [ 9.1011236 20.8988764],0
s1,1,1.0,0.0,[ 2 56] ; [ 1 28],[ 2. 56.] ; [ 1. 28.],0
