Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,5e-06,20.683347,[ 8 52] ; [13  7],[15.75 44.25] ; [ 5.25 14.75],1
v3,1,0.450331,0.569819,[16 45] ; [ 7 13],[17.32098765 43.67901235] ; [ 5.67901235 14.32098765],0
v2,1,0.495118,0.465385,[20 38] ; [ 9 12],[21.29113924 36.70886076] ; [ 7.70886076 13.29113924],0
s4,1,0.497044,0.461243,[11 50] ; [ 5 15],[12.04938272 48.95061728] ; [ 3.95061728 16.04938272],0
a6,1,0.595949,0.281149,[25 36] ; [10 11],[26.03658537 34.96341463] ; [ 8.96341463 12.03658537],0
s1,1,0.602145,0.271772,[ 5 56] ; [ 1 20],[ 4.46341463 56.53658537] ; [ 1.53658537 19.46341463],0
v1,1,0.603614,0.26958,[15 46] ; [ 4 17],[14.13414634 46.86585366] ; [ 4.86585366 16.13414634],0
b5,1,0.622149,0.242858,[34 27] ; [13  8],[34.96341463 26.03658537] ; [12.03658537  8.96341463],0
a7,1,0.665165,0.18731,[31 29] ; [12  9],[31.85185185 28.14814815] ; [11.14814815  9.85185185],0
u3,1,0.748774,0.102564,[20 19] ; [6 7],[19.5 19.5] ; [6.5 6.5],0
a1,1,0.754845,0.097504,[ 2 59] ; [ 1 20],[ 2.23170732 58.76829268] ; [ 0.76829268 20.23170732],0
d5,1,0.808921,0.058476,[33 28] ; [12  9],[33.47560976 27.52439024] ; [11.52439024  9.47560976],0
a8,1,0.818854,0.05245,[ 5 52] ; [ 2 17],[ 5.25 51.75] ; [ 1.75 17.25],0
p1,1,0.851099,0.035237,[ 5 56] ; [ 2 19],[ 5.20731707 55.79268293] ; [ 1.79268293 19.20731707],0
n1,1,0.862667,0.029922,[ 8 17] ; [2 5],[ 7.8125 17.1875] ; [2.1875 4.8125],0
a3,1,0.867725,0.027739,[22 39] ; [ 8 13],[22.31707317 38.68292683] ; [ 7.68292683 13.31707317],0
r4,1,0.880521,0.022593,[36 25] ; [12  9],[35.70731707 25.29268293] ; [12.29268293  8.70731707],0
b1,1,0.901747,0.015241,[31 30] ; [11 10],[31.24390244 29.75609756] ; [10.75609756 10.24390244],0
r2,1,0.913294,0.011856,[45 16] ; [15  5],[45.18518519 15.81481481] ; [14.81481481  5.18518519],0
a4,1,0.966822,0.00173,[ 6 55] ; [ 2 19],[ 5.95121951 55.04878049] ; [ 2.04878049 18.95121951],0
