Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,3.2e-05,17.303651,[10  4] ; [ 3 27],[4.13636364 9.86363636] ; [ 8.86363636 21.13636364],1
p2,1,0.307375,1.041923,[6 7] ; [ 9 21],[4.53488372 8.46511628] ; [10.46511628 19.53488372],0
n4,1,0.402023,0.702266,[8 6] ; [21  9],[9.22727273 4.77272727] ; [19.77272727 10.22727273],0
s7,1,0.425031,0.636364,[ 4 10] ; [ 5 23],[ 3. 11.] ; [ 6. 22.],0
s4,1,0.4941,0.467586,[ 3 11] ; [ 4 26],[ 2.22727273 11.77272727] ; [ 4.77272727 25.22727273],0
u2,1,0.569653,0.323264,[1 3] ; [ 2 13],[0.63157895 3.36842105] ; [ 2.36842105 12.63157895],0
r3,1,0.585705,0.297102,[8 6] ; [14 15],[7.1627907 6.8372093] ; [14.8372093 14.1627907],0
p10,1,0.593753,0.284521,[7 7] ; [12 17],[6.18604651 7.81395349] ; [12.81395349 16.18604651],0
s6,1,0.607777,0.263425,[4 9] ; [ 7 23],[3.3255814 9.6744186] ; [ 7.6744186 22.3255814],0
d1,1,0.632101,0.229223,[5 9] ; [13 17],[5.72727273 8.27272727] ; [12.27272727 17.72727273],0
p11,1,0.679126,0.171111,[7 7] ; [13 17],[6.36363636 7.63636364] ; [13.63636364 16.36363636],0
n2,1,0.69627,0.152381,[3 3] ; [4 6],[2.625 3.375] ; [4.375 5.625],0
s5,1,0.786601,0.073293,[ 1 12] ; [ 3 26],[ 1.23809524 11.76190476] ; [ 2.76190476 26.23809524],0
a7,1,0.813142,0.055873,[6 8] ; [14 16],[6.36363636 7.63636364] ; [13.63636364 16.36363636],0
n6,1,0.816752,0.053696,[7 6] ; [15 15],[6.65116279 6.34883721] ; [15.34883721 14.65116279],0
r2,1,0.81866,0.052564,[6 7] ; [14 14],[6.34146341 6.65853659] ; [13.65853659 14.34146341],0
d4,1,0.857514,0.032234,[8 6] ; [18 12],[8.27272727 5.72727273] ; [17.72727273 12.27272727],0
v2,1,0.869107,0.027157,[ 4 10] ; [ 9 20],[4.23255814 9.76744186] ; [ 8.76744186 20.23255814],0
d2,1,0.915594,0.011233,[7 7] ; [14 15],[6.8372093 7.1627907] ; [14.1627907 14.8372093],0
n5,1,0.922934,0.009358,[10  4] ; [21  9],[9.86363636 4.13636364] ; [21.13636364  8.86363636],0
d5,1,0.976305,0.000882,[8 6] ; [17 13],[7.95454545 6.04545455] ; [17.04545455 12.95454545],0
v3,1,0.985417,0.000334,[ 3 10] ; [ 7 23],[3.02325581 9.97674419] ; [ 6.97674419 23.02325581],0
d3,1,1.0,0.0,[7 7] ; [15 15],[7. 7.] ; [15. 15.],0
