Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,29.333333,[11 44] ; [21  4],[22. 33.] ; [10. 15.],1
d5,1,0.563013,0.334514,[38 20] ; [18  7],[39.13253012 18.86746988] ; [16.86746988  8.13253012],0
p10,1,0.6003,0.274543,[43 12] ; [20  4],[43.86075949 11.13924051] ; [19.13924051  4.86075949],0
p5,1,0.671022,0.180409,[ 7 49] ; [ 4 21],[ 7.60493827 48.39506173] ; [ 3.39506173 21.60493827],0
r3,1,0.672427,0.178777,[37 18] ; [18  7],[37.8125 17.1875] ; [17.1875  7.8125],0
u2,1,0.680724,0.169312,[10 14] ; [4 4],[10.5 13.5] ; [3.5 4.5],0
v4,1,0.752798,0.099195,[38 16] ; [17  6],[38.57142857 15.42857143] ; [16.42857143  6.57142857],0
a6,1,0.755544,0.096931,[30 28] ; [12 13],[29.34939759 28.65060241] ; [12.65060241 12.34939759],0
b2,1,0.803606,0.061843,[ 8 20] ; [ 7 15],[ 8.4 19.6] ; [ 6.6 15.4],0
b3,1,0.803606,0.061843,[ 8 20] ; [ 7 15],[ 8.4 19.6] ; [ 6.6 15.4],0
p2,1,0.823118,0.049968,[42 12] ; [20  5],[42.37974684 11.62025316] ; [19.62025316  5.37974684],0
a2,1,0.823925,0.049506,[ 6 52] ; [ 3 22],[ 6.28915663 51.71084337] ; [ 2.71084337 22.28915663],0
a8,1,0.905112,0.01421,[ 4 49] ; [ 2 22],[ 4.12987013 48.87012987] ; [ 1.87012987 22.12987013],0
b5,1,0.906676,0.013743,[34 24] ; [15 10],[34.24096386 23.75903614] ; [14.75903614 10.24096386],0
p12,1,0.924835,0.008901,[ 2 54] ; [ 1 24],[ 2.07407407 53.92592593] ; [ 0.92592593 24.07407407],0
u1,1,0.925621,0.008715,[ 5 53] ; [ 2 23],[ 4.89156627 53.10843373] ; [ 2.10843373 22.89156627],0
r1,1,0.966659,0.001747,[14 43] ; [ 6 18],[14.07407407 42.92592593] ; [ 5.92592593 18.07407407],0
s4,1,0.98083,0.000577,[ 9 48] ; [ 4 21],[ 9.03658537 47.96341463] ; [ 3.96341463 21.03658537],0
