Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.008339,6.959197,[14  9] ; [ 2 11],[10.22222222 12.77777778] ; [5.77777778 7.22222222],0
a4,1,0.73549,0.11413,[ 7 16] ; [3 9],[ 6.57142857 16.42857143] ; [3.42857143 8.57142857],0
p4,1,0.769324,0.086001,[13 10] ; [8 5],[13.41666667  9.58333333] ; [7.58333333 5.41666667],0
d2,1,0.769324,0.086001,[10 13] ; [5 8],[ 9.58333333 13.41666667] ; [5.41666667 7.58333333],0
p8,1,0.769324,0.086001,[13 10] ; [8 5],[13.41666667  9.58333333] ; [7.58333333 5.41666667],0
p3,1,0.769324,0.086001,[10 13] ; [5 8],[ 9.58333333 13.41666667] ; [5.41666667 7.58333333],0
a5,1,0.769324,0.086001,[10 13] ; [5 8],[ 9.58333333 13.41666667] ; [5.41666667 7.58333333],0
b1,1,0.806179,0.060201,[15  8] ; [9 4],[15.33333333  7.66666667] ; [8.66666667 4.33333333],0
r1,1,0.806179,0.060201,[15  8] ; [9 4],[15.33333333  7.66666667] ; [8.66666667 4.33333333],0
n1,1,0.818971,0.052381,[4 3] ; [2 2],[3.81818182 3.18181818] ; [2.18181818 1.81818182],0
n4,1,0.825298,0.048724,[15  8] ; [8 5],[14.69444444  8.30555556] ; [8.30555556 4.69444444],0
d3,1,0.825298,0.048724,[15  8] ; [8 5],[14.69444444  8.30555556] ; [8.30555556 4.69444444],0
d1,1,0.825298,0.048724,[ 8 15] ; [5 8],[ 8.30555556 14.69444444] ; [4.69444444 8.30555556],0
p10,1,0.827375,0.047554,[ 5 18] ; [3 9],[ 5.25714286 17.74285714] ; [2.74285714 9.25714286],0
p1,1,0.845318,0.038062,[ 3 20] ; [ 2 11],[ 3.19444444 19.80555556] ; [ 1.80555556 11.19444444],0
s3,1,0.876681,0.02408,[13 10] ; [7 6],[12.77777778 10.22222222] ; [7.22222222 5.77777778],0
s2,1,0.876681,0.02408,[10 13] ; [6 7],[10.22222222 12.77777778] ; [5.77777778 7.22222222],0
r3,1,0.916676,0.010946,[21  2] ; [12  1],[21.08333333  1.91666667] ; [11.91666667  1.08333333],0
p2,1,0.926113,0.0086,[18  5] ; [10  3],[17.88888889  5.11111111] ; [10.11111111  2.88888889],0
v1,1,0.968457,0.001564,[ 9 14] ; [5 8],[ 8.94444444 14.05555556] ; [5.05555556 7.94444444],0
