Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,75.424557,[228  40] ; [76 90],[187.7235023  80.2764977] ; [116.2764977  49.7235023],1
a6,1,0.567785,0.326402,[187  94] ; [108  61],[184.21111111  96.78888889] ; [110.78888889  58.21111111],0
s1,1,0.593758,0.284514,[ 12 268] ; [  9 158],[ 13.15436242 266.84563758] ; [  7.84563758 159.15436242],0
d4,1,0.595202,0.282293,[246  35] ; [145  24],[244.15777778  36.84222222] ; [146.84222222  22.15777778],0
s4,1,0.604073,0.268897,[ 66 214] ; [ 43 124],[ 68.27740492 211.72259508] ; [ 40.72259508 126.27740492],0
a8,1,0.66222,0.190838,[ 42 218] ; [ 23 135],[ 40.43062201 219.56937799] ; [ 24.56937799 133.43062201],0
b5,1,0.699308,0.149193,[175 107] ; [103  68],[173.05960265 108.94039735] ; [104.94039735  66.05960265],0
u2,1,0.728559,0.120439,[34 21] ; [34 24],[33.09734513 21.90265487] ; [34.90265487 23.09734513],0
r3,1,0.837028,0.042311,[273   9] ; [163   6],[272.62084257   9.37915743] ; [163.37915743   5.62084257],0
a1,1,0.86245,0.030018,[ 17 265] ; [ 11 160],[ 17.43046358 264.56953642] ; [ 10.56953642 160.43046358],0
d3,1,0.972492,0.001189,[201  81] ; [120  48],[201.16  80.84] ; [119.84  48.16],0
n3,1,0.99289,7.9e-05,[45 17] ; [29 11],[44.98039216 17.01960784] ; [29.01960784 10.98039216],0
