Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,3.6e-05,17.052486,[58  9] ; [17 18],[49.26470588 17.73529412] ; [25.73529412  9.26470588],1
b4,1,0.229405,1.444548,[39 28] ; [16 19],[36.12745098 30.87254902] ; [18.87254902 16.12745098],0
a4,1,0.244618,1.353784,[31 36] ; [12 23],[28.24509804 38.75490196] ; [14.75490196 20.24509804],0
a2,1,0.255212,1.294548,[16 51] ; [ 5 30],[13.79411765 53.20588235] ; [ 7.20588235 27.79411765],0
n2,1,0.276986,1.181818,[10  3] ; [12  1],[11.  2.] ; [11.  2.],0
u3,1,0.284462,1.145648,[13  7] ; [6 7],[11.51515152  8.48484848] ; [7.48484848 5.51515152],0
s2,1,0.373393,0.792341,[44 23] ; [26  9],[45.98039216 21.01960784] ; [24.01960784 10.98039216],0
r2,1,0.423605,0.640292,[60  7] ; [33  2],[61.08823529  5.91176471] ; [31.91176471  3.08823529],0
a8,1,0.439097,0.598641,[ 2 63] ; [ 2 29],[ 2.70833333 62.29166667] ; [ 1.29166667 29.70833333],0
s7,1,0.454278,0.559955,[45 20] ; [21 13],[43.33333333 21.66666667] ; [22.66666667 11.33333333],0
a3,1,0.454832,0.558581,[47 20] ; [22 13],[45.32352941 21.67647059] ; [23.67647059 11.32352941],0
p9,1,0.46939,0.523412,[58  9] ; [32  3],[59.11764706  7.88235294] ; [30.88235294  4.11764706],0
s3,1,0.515297,0.423296,[50 17] ; [24 11],[48.60784314 18.39215686] ; [25.39215686  9.60784314],0
p2,1,0.56789,0.326226,[60  7] ; [30  5],[59.11764706  7.88235294] ; [30.88235294  4.11764706],0
d3,1,0.604334,0.268508,[48 19] ; [26  8],[49.08910891 17.91089109] ; [24.91089109  9.08910891],0
s5,1,0.62842,0.23421,[36 26] ; [18 16],[34.875 27.125] ; [19.125 14.875],0
a6,1,0.678544,0.171769,[43 24] ; [21 14],[42.03921569 24.96078431] ; [21.96078431 13.03921569],0
n1,1,0.68017,0.169935,[5 8] ; [4 9],[4.5 8.5] ; [4.5 8.5],0
s1,1,0.688947,0.160228,[ 3 64] ; [ 1 34],[ 2.62745098 64.37254902] ; [ 1.37254902 33.62745098],0
r1,1,0.706928,0.141365,[52 15] ; [26  9],[51.23529412 15.76470588] ; [26.76470588  8.23529412],0
p11,1,0.706928,0.141365,[52 15] ; [26  9],[51.23529412 15.76470588] ; [26.76470588  8.23529412],0
n5,1,0.728142,0.120824,[50 17] ; [25 10],[49.26470588 17.73529412] ; [25.73529412  9.26470588],0
s6,1,0.737257,0.112552,[57  8] ; [29  5],[56.46464646  8.53535354] ; [29.53535354  4.46464646],0
s8,1,0.742356,0.108067,[36 31] ; [20 15],[36.78431373 30.21568627] ; [19.21568627 15.78431373],0
b5,1,0.742356,0.108067,[36 31] ; [20 15],[36.78431373 30.21568627] ; [19.21568627 15.78431373],0
v2,1,0.776194,0.080816,[32 34] ; [17 16],[32.66666667 33.33333333] ; [16.33333333 16.66666667],0
r3,1,0.796646,0.066404,[63  3] ; [33  2],[62.73267327  3.26732673] ; [33.26732673  1.73267327],0
n6,1,0.823785,0.049586,[56 11] ; [29  5],[56.38613861 10.61386139] ; [28.61386139  5.38613861],0
d5,1,0.876018,0.024342,[56 11] ; [28  6],[55.72277228 11.27722772] ; [28.27722772  5.72277228],0
r4,1,0.905404,0.014122,[58  9] ; [30  5],[57.80392157  9.19607843] ; [30.19607843  4.80392157],0
p1,1,0.939296,0.0058,[ 8 59] ; [ 4 31],[ 7.88235294 59.11764706] ; [ 4.11764706 30.88235294],0
p10,1,0.939296,0.0058,[59  8] ; [31  4],[59.11764706  7.88235294] ; [30.88235294  4.11764706],0
u2,1,0.948139,0.004231,[ 9 11] ; [6 7],[ 9.09090909 10.90909091] ; [5.90909091 7.09090909],0
