Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,30.907692,[ 1 44] ; [40 38],[15. 30.] ; [26. 52.],1
b2,1,0.327904,0.957156,[ 7 16] ; [20 27],[ 8.87142857 14.12857143] ; [18.12857143 28.87142857],0
r4,1,0.332672,0.93847,[19 26] ; [40 38],[21.58536585 23.41463415] ; [37.41463415 40.58536585],0
p11,1,0.427935,0.628421,[25 20] ; [49 29],[27.07317073 17.92682927] ; [46.92682927 31.07317073],0
p8,1,0.465693,0.532176,[14 31] ; [19 57],[12.27272727 32.72727273] ; [20.72727273 55.27272727],0
a8,1,0.494265,0.467229,[ 2 40] ; [ 6 68],[ 2.89655172 39.10344828] ; [ 5.10344828 68.89655172],0
b4,1,0.515249,0.423393,[25 20] ; [48 30],[26.70731707 18.29268293] ; [46.29268293 31.70731707],0
p9,1,0.545595,0.365268,[28 14] ; [54 21],[29.43589744 12.56410256] ; [52.56410256 22.43589744],0
s4,1,0.57867,0.308389,[ 9 36] ; [19 59],[10.24390244 34.75609756] ; [17.75609756 60.24390244],0
s1,1,0.580427,0.305545,[ 2 43] ; [ 2 75],[ 1.47540984 43.52459016] ; [ 2.52459016 74.47540984],0
v4,1,0.605303,0.267072,[32 12] ; [60 18],[33.18032787 10.81967213] ; [58.81967213 19.18032787],0
a1,1,0.611141,0.258517,[ 4 41] ; [ 5 73],[ 3.29268293 41.70731707] ; [ 5.70731707 72.29268293],0
p5,1,0.639335,0.219613,[ 1 43] ; [ 3 75],[ 1.44262295 42.55737705] ; [ 2.55737705 75.44262295],0
p7,1,0.643077,0.21474,[14 30] ; [27 48],[15.15966387 28.84033613] ; [25.84033613 49.15966387],0
n3,1,0.715446,0.132898,[11  6] ; [19 13],[10.40816327  6.59183673] ; [19.59183673 12.40816327],0
p1,1,0.813969,0.05537,[ 5 39] ; [10 68],[ 5.40983607 38.59016393] ; [ 9.59016393 68.40983607],0
p6,1,0.816382,0.053917,[ 7 37] ; [13 61],[ 7.45762712 36.54237288] ; [12.54237288 61.45762712],0
b5,1,0.866208,0.028385,[27 18] ; [48 30],[27.43902439 17.56097561] ; [47.56097561 30.43902439],0
n4,1,0.896767,0.016834,[26 19] ; [46 32],[26.34146341 18.65853659] ; [45.65853659 32.34146341],0
p2,1,0.965184,0.001905,[25 19] ; [44 34],[24.8852459 19.1147541] ; [44.1147541 33.8852459],0
