Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4.3e-05,16.740165,[ 2 14] ; [36 15],[9.07462687 6.92537313] ; [28.92537313 22.07462687],1
p1,1,0.817895,0.053016,[ 1 15] ; [ 4 46],[ 1.21212121 14.78787879] ; [ 3.78787879 46.21212121],0
a1,1,0.832442,0.044762,[ 1 15] ; [ 4 47],[ 1.19402985 14.80597015] ; [ 3.80597015 47.19402985],0
v2,1,0.838499,0.04154,[ 6 10] ; [17 32],[ 5.66153846 10.33846154] ; [17.33846154 31.66153846],0
n5,1,0.872444,0.025778,[ 6 10] ; [18 33],[ 5.73134328 10.26865672] ; [18.26865672 32.73134328],0
s5,1,0.879047,0.023158,[ 2 14] ; [ 7 43],[ 2.18181818 13.81818182] ; [ 6.81818182 43.18181818],0
p10,1,0.92004,0.010077,[ 3 13] ; [ 9 42],[ 2.86567164 13.13432836] ; [ 9.13432836 41.86567164],0
n3,1,0.935919,0.006464,[5 4] ; [12  9],[5.1 3.9] ; [11.9  9.1],0
p8,1,0.95219,0.003595,[ 4 11] ; [14 37],[ 4.09090909 10.90909091] ; [13.90909091 37.09090909],0
b3,1,0.956645,0.002955,[3 8] ; [ 9 23],[3.06976744 7.93023256] ; [ 8.93023256 23.06976744],0
b2,1,0.956645,0.002955,[3 8] ; [ 9 23],[3.06976744 7.93023256] ; [ 8.93023256 23.06976744],0
b5,1,0.965575,0.001863,[7 9] ; [22 29],[6.92537313 9.07462687] ; [22.07462687 28.92537313],0
a4,1,0.985889,0.000313,[ 6 10] ; [19 32],[ 5.97014925 10.02985075] ; [19.02985075 31.97014925],0
s6,1,0.992644,8.5e-05,[ 5 11] ; [16 35],[ 5.01492537 10.98507463] ; [15.98507463 35.01492537],0
n1,1,1.0,0.0,[3 6] ; [ 7 14],[3. 6.] ; [ 7. 14.],0
