Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.015085,5.906562,[ 81 148] ; [17 12],[ 86.98449612 142.01550388] ; [11.01550388 17.98449612],0
a7,1,0.505904,0.44253,[141  88] ; [16 13],[139.35271318  89.64728682] ; [17.64728682 11.35271318],0
p12,1,0.550056,0.357218,[ 10 217] ; [ 2 27],[ 10.640625 216.359375] ; [ 1.359375 27.640625],0
d5,1,0.566387,0.328765,[124 106] ; [14 15],[122.54826255 107.45173745] ; [15.45173745 13.54826255],0
n2,1,0.568079,0.325907,[50 23] ; [7 2],[50.74390244 22.25609756] ; [6.25609756 2.74390244],0
p5,1,0.584914,0.298358,[ 23 205] ; [ 2 27],[ 22.17898833 205.82101167] ; [ 2.82101167 26.17898833],0
n1,1,0.625484,0.238235,[26 46] ; [4 5],[26.66666667 45.33333333] ; [3.33333333 5.66666667],0
n6,1,0.631009,0.230695,[164  65] ; [22  7],[165.09302326  63.90697674] ; [20.90697674  8.09302326],0
v1,1,0.664456,0.188155,[ 94 129] ; [11 18],[ 92.91666667 130.08333333] ; [12.08333333 16.91666667],0
a3,1,0.673819,0.177168,[119 108] ; [14 15],[117.93359375 109.06640625] ; [15.06640625 13.93359375],0
a1,1,0.680942,0.169067,[ 12 218] ; [ 1 28],[ 11.54440154 218.45559846] ; [ 1.45559846 27.54440154],0
p6,1,0.683911,0.165757,[ 54 170] ; [ 6 23],[ 53.12252964 170.87747036] ; [ 6.87747036 22.12252964],0
d4,1,0.694449,0.154312,[118 112] ; [16 13],[118.996139 111.003861] ; [15.003861 13.996139],0
n3,1,0.706617,0.141679,[51 20] ; [7 2],[51.475 19.525] ; [6.525 2.475],0
p8,1,0.719482,0.12899,[ 93 132] ; [13 16],[ 93.8976378 131.1023622] ; [12.1023622 16.8976378],0
b1,1,0.727725,0.121211,[ 95 135] ; [11 18],[ 94.13127413 135.86872587] ; [11.86872587 17.13127413],0
r3,1,0.741947,0.108423,[194  34] ; [24  5],[193.40077821  34.59922179] ; [24.59922179  4.40077821],0
b4,1,0.755307,0.097125,[126 104] ; [15 14],[125.21235521 104.78764479] ; [15.78764479 13.21235521],0
p11,1,0.755367,0.097076,[165  65] ; [20  9],[164.28571429  65.71428571] ; [20.71428571  8.28571429],0
p2,1,0.821309,0.051013,[170  60] ; [22  7],[170.5019305  59.4980695] ; [21.4980695  7.5019305],0
p4,1,0.885598,0.0207,[ 99 129] ; [13 16],[ 99.3618677 128.6381323] ; [12.6381323 16.3618677],0
s1,1,0.895848,0.017137,[  9 219] ; [ 1 28],[  8.87159533 219.12840467] ; [ 1.12840467 27.87159533],0
s3,1,0.899203,0.016045,[ 57 169] ; [ 7 22],[ 56.72156863 169.27843137] ; [ 7.27843137 21.72156863],0
p10,1,0.958065,0.002765,[145  78] ; [19 10],[145.12698413  77.87301587] ; [18.87301587 10.12698413],0
