Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,90.703771,[373  97] ; [ 79 112],[321.39183056 148.60816944] ; [130.60816944  60.39183056],1
a5,1,0.043956,4.058264,[367 106] ; [134  57],[356.88704819 116.11295181] ; [144.11295181  46.88704819],0
p10,1,0.127666,2.320663,[403  65] ; [153  35],[396.65853659  71.34146341] ; [159.34146341  28.65853659],0
p8,1,0.133566,2.250556,[267 195] ; [96 91],[258.40677966 203.59322034] ; [104.59322034  82.40677966],0
p3,1,0.148919,2.083294,[253 217] ; [90 99],[244.62822458 225.37177542] ; [98.37177542 90.62822458],0
s6,1,0.150953,2.062599,[334 131] ; [123  63],[326.42857143 138.57142857] ; [130.57142857  55.42857143],0
p1,1,0.155865,2.013892,[ 46 425] ; [ 12 178],[ 41.32829047 429.67170953] ; [ 16.67170953 173.32829047],0
s2,1,0.192058,1.701759,[256 211] ; [93 96],[248.44969512 218.55030488] ; [100.55030488  88.44969512],0
s5,1,0.205839,1.600455,[154 301] ; [ 72 112],[160.92331768 294.07668232] ; [ 65.07668232 118.92331768],0
b2,1,0.226777,1.460965,[110 177] ; [55 68],[115.5 171.5] ; [49.5 73.5],0
b3,1,0.226777,1.460965,[110 177] ; [55 68],[115.5 171.5] ; [49.5 73.5],0
p2,1,0.22999,1.440922,[402  70] ; [153  35],[396.90909091  75.09090909] ; [158.09090909  29.90909091],0
a4,1,0.230259,1.439262,[230 241] ; [ 83 107],[223.03025719 247.96974281] ; [ 89.96974281 100.03025719],0
v1,1,0.239924,1.381041,[276 185] ; [102  84],[269.33230294 191.66769706] ; [108.66769706  77.33230294],0
a8,1,0.259022,1.273977,[ 68 351] ; [ 23 159],[ 63.44259567 355.55740433] ; [ 27.55740433 154.44259567],0
b4,1,0.297121,1.087071,[276 197] ; [103  88],[269.98042169 203.01957831] ; [109.01957831  81.98042169],0
s8,1,0.300666,1.071239,[214 253] ; [96 95],[220.01519757 246.98480243] ; [ 89.98480243 101.01519757],0
n2,1,0.320068,0.98867,[74 16] ; [43 14],[71.63265306 18.36734694] ; [45.36734694 11.63265306],0
s7,1,0.339462,0.912461,[234 213] ; [104  80],[239.43898574 207.56101426] ; [98.56101426 85.43898574],0
u2,1,0.374414,0.788963,[73 54] ; [24 24],[70.39428571 56.60571429] ; [26.60571429 21.39428571],0
p12,1,0.388145,0.744744,[ 45 425] ; [ 14 174],[ 42.14285714 427.85714286] ; [ 16.85714286 171.14285714],0
p9,1,0.420571,0.648719,[409  56] ; [161  27],[405.89586524  59.10413476] ; [164.10413476  23.89586524],0
n1,1,0.430625,0.621137,[40 47] ; [22 34],[37.72027972 49.27972028] ; [24.27972028 31.72027972],0
s3,1,0.505683,0.442991,[272 192] ; [106  84],[268.18348624 195.81651376] ; [109.81651376  80.18348624],0
n4,1,0.552986,0.351994,[418  54] ; [166  25],[415.7586727  56.2413273] ; [168.2413273  22.7586727],0
p6,1,0.557163,0.344641,[186 280] ; [ 70 117],[182.68912711 283.31087289] ; [ 73.31087289 113.68912711],0
p7,1,0.626714,0.236544,[304 153] ; [120  66],[301.34992224 155.65007776] ; [122.65007776  63.34992224],0
n3,1,0.658893,0.194871,[65 24] ; [39 17],[63.83448276 25.16551724] ; [40.16551724 15.83448276],0
s4,1,0.714797,0.133533,[ 75 388] ; [ 33 157],[ 76.57580398 386.42419602] ; [ 31.42419602 158.57580398],0
v3,1,0.719266,0.129197,[193 260] ; [ 83 105],[195.05148206 257.94851794] ; [ 80.94851794 107.05148206],0
a1,1,0.750257,0.101315,[ 22 451] ; [ 10 181],[ 22.79518072 450.20481928] ; [  9.20481928 181.79518072],0
p11,1,0.769618,0.085775,[386  87] ; [154  37],[384.6686747  88.3313253] ; [155.3313253  35.6686747],0
p5,1,0.780915,0.077355,[ 63 405] ; [ 27 162],[ 64.10958904 403.89041096] ; [ 25.89041096 163.10958904],0
a3,1,0.803293,0.062045,[345 125] ; [142  49],[346.27836611 123.72163389] ; [140.72163389  50.27836611],0
u4,1,0.810875,0.057263,[ 14 459] ; [  5 186],[ 13.53463855 459.46536145] ; [  5.46536145 185.53463855],0
n6,1,0.876643,0.024095,[426  45] ; [172  19],[425.4652568  45.5347432] ; [172.5347432  18.4652568],0
s1,1,0.914079,0.011641,[ 14 448] ; [  6 182],[ 14.21538462 447.78461538] ; [  5.78461538 182.21538462],0
d2,1,0.939771,0.005709,[239 231] ; [96 94],[238.56060606 231.43939394] ; [96.43939394 93.56060606],0
