Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,1e-06,24.582914,[ 23 346] ; [18 55],[ 34.22850679 334.77149321] ; [ 6.77149321 66.22850679],1
s3,1,0.169446,1.887834,[ 88 277] ; [12 60],[ 83.52402746 281.47597254] ; [16.47597254 55.52402746],0
p4,1,0.177325,1.819902,[172 195] ; [40 32],[177.23006834 189.76993166] ; [34.76993166 37.23006834],0
a7,1,0.192104,1.701407,[260 110] ; [45 27],[255.31674208 114.68325792] ; [49.68325792 22.31674208],0
u1,1,0.194393,1.684008,[ 41 330] ; [12 61],[ 44.28603604 326.71396396] ; [ 8.71396396 64.28603604],0
b3,1,0.224152,1.477593,[ 76 142] ; [20 25],[ 79.57414449 138.42585551] ; [16.42585551 28.57414449],0
b2,1,0.224152,1.477593,[ 76 142] ; [20 25],[ 79.57414449 138.42585551] ; [16.42585551 28.57414449],0
a1,1,0.235264,1.408749,[ 14 357] ; [ 5 68],[ 15.87612613 355.12387387] ; [ 3.12387387 69.87612613],0
p11,1,0.253422,1.304342,[271 100] ; [58 15],[274.90765766  96.09234234] ; [54.09234234 18.90765766],0
d5,1,0.262231,1.256942,[277  94] ; [59 14],[280.75675676  90.24324324] ; [55.24324324 17.75675676],0
n5,1,0.262881,1.253521,[247 120] ; [54 19],[251.06136364 115.93863636] ; [49.93863636 23.06136364],0
b1,1,0.268002,1.226943,[142 229] ; [33 40],[146.22747748 224.77252252] ; [28.77252252 44.22747748],0
s7,1,0.281073,1.161894,[ 86 263] ; [21 47],[ 89.55155875 259.44844125] ; [17.44844125 50.55155875],0
a6,1,0.293726,1.102463,[257 114] ; [46 27],[253.18243243 117.81756757] ; [49.81756757 23.18243243],0
u3,1,0.331324,0.943718,[62 74] ; [13 10],[64.1509434 71.8490566] ; [10.8490566 12.1509434],0
p8,1,0.334249,0.932365,[169 194] ; [38 34],[172.73793103 190.26206897] ; [34.26206897 37.73793103],0
a3,1,0.34202,0.902844,[234 134] ; [50 22],[237.52727273 130.47272727] ; [46.47272727 25.52727273],0
r3,1,0.348614,0.878496,[324  45] ; [66  6],[326.32653061  42.67346939] ; [63.67346939  8.32653061],0
a4,1,0.365159,0.820071,[145 222] ; [33 40],[148.46818182 218.53181818] ; [29.53181818 43.46818182],0
v2,1,0.416833,0.659228,[175 178] ; [40 33],[178.157277 174.842723] ; [36.842723 36.157277],0
s1,1,0.498282,0.458593,[ 10 357] ; [ 1 72],[  9.175 357.825] ; [ 1.825 71.175],0
n4,1,0.516499,0.420878,[265 105] ; [55 18],[267.26862302 102.73137698] ; [52.73137698 20.26862302],0
v3,1,0.534989,0.384907,[122 238] ; [22 51],[119.72286374 240.27713626] ; [24.27713626 48.72286374],0
p9,1,0.55135,0.354904,[271  93] ; [56 16],[273.  91.] ; [54. 18.],0
d3,1,0.570598,0.321683,[231 139] ; [43 30],[228.84875847 141.15124153] ; [45.15124153 27.84875847],0
b4,1,0.650805,0.204887,[213 158] ; [44 29],[214.7454955 156.2545045] ; [42.2545045 30.7454955],0
v1,1,0.699838,0.14864,[168 196] ; [31 40],[166.51954023 197.48045977] ; [32.48045977 38.51954023],0
r2,1,0.702587,0.145795,[323  41] ; [65  7],[323.9266055  40.0733945] ; [64.0733945  7.9266055],0
a2,1,0.83188,0.045068,[ 70 301] ; [13 60],[ 69.3536036 301.6463964] ; [13.6463964 59.3536036],0
n3,1,0.837735,0.041939,[66 34] ; [13  6],[66.38655462 33.61344538] ; [12.61344538  6.38655462],0
u2,1,0.847646,0.036911,[71 65] ; [11 11],[70.58227848 65.41772152] ; [11.41772152 10.58227848],0
p6,1,0.940589,0.005555,[ 94 268] ; [19 53],[ 94.25345622 267.74654378] ; [18.74654378 53.25345622],0
n2,1,0.942224,0.005253,[64 38] ; [13  8],[63.85365854 38.14634146] ; [13.14634146  7.85365854],0
v4,1,0.946153,0.004562,[329  40] ; [64  8],[328.83673469  40.16326531] ; [64.16326531  7.83673469],0
