Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,8.5e-05,15.442618,[21 25] ; [36  6],[29.79545455 16.20454545] ; [27.20454545 14.79545455],1
a1,1,0.571579,0.320048,[ 2 44] ; [ 3 39],[ 2.61363636 43.38636364] ; [ 2.38636364 39.61363636],0
p9,1,0.573634,0.31664,[16 29] ; [17 24],[17.26744186 27.73255814] ; [15.73255814 25.26744186],0
a8,1,0.614509,0.253662,[ 5 38] ; [ 5 27],[ 5.73333333 37.26666667] ; [ 4.26666667 27.73333333],0
r4,1,0.635004,0.225336,[33 13] ; [32 10],[33.97727273 12.02272727] ; [31.02272727 10.97727273],0
v1,1,0.643327,0.214417,[23 22] ; [23 18],[24.06976744 20.93023256] ; [21.93023256 19.06976744],0
n1,1,0.684498,0.165106,[ 5 11] ; [5 8],[ 5.51724138 10.48275862] ; [4.48275862 8.51724138],0
a5,1,0.72229,0.126309,[29 17] ; [28 14],[29.79545455 16.20454545] ; [27.20454545 14.79545455],0
a6,1,0.740923,0.109317,[28 18] ; [27 15],[28.75 17.25] ; [26.25 15.75],0
p8,1,0.745004,0.105778,[18 27] ; [15 26],[17.26744186 27.73255814] ; [15.73255814 25.26744186],0
u3,1,0.768398,0.086713,[ 6 12] ; [5 8],[ 6.38709677 11.61290323] ; [4.61290323 8.38709677],0
p11,1,0.792062,0.069503,[25 21] ; [24 18],[25.61363636 20.38636364] ; [23.38636364 18.61363636],0
b1,1,0.853426,0.034132,[21 25] ; [20 22],[21.43181818 24.56818182] ; [19.56818182 22.43181818],0
n3,1,0.854813,0.033482,[13  3] ; [11  3],[12.8  3.2] ; [11.2  2.8],0
d3,1,0.886086,0.020523,[30 16] ; [28 14],[30.31818182 15.68181818] ; [27.68181818 14.31818182],0
s1,1,0.934358,0.006784,[ 1 45] ; [ 1 40],[ 1.05747126 44.94252874] ; [ 0.94252874 40.05747126],0
p12,1,0.9481,0.004237,[ 1 45] ; [ 1 41],[ 1.04545455 44.95454545] ; [ 0.95454545 41.04545455],0
d1,1,0.953148,0.003452,[26 20] ; [24 18],[26.13636364 19.86363636] ; [23.86363636 18.13636364],0
d4,1,0.968721,0.001538,[38  8] ; [34  7],[38.06896552  7.93103448] ; [33.93103448  7.06896552],0
