Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.009616,6.704762,[19 11] ; [ 3 11],[15. 15.] ; [7. 7.],0
p9,1,0.345753,0.888982,[20 11] ; [11  3],[21.35555556  9.64444444] ; [9.64444444 4.35555556],0
n4,1,0.357467,0.846774,[20 11] ; [7 7],[18.6 12.4] ; [8.4 5.6],0
b2,1,0.422702,0.642792,[ 4 18] ; [2 4],[ 4.71428571 17.28571429] ; [1.28571429 4.71428571],0
b3,1,0.422702,0.642792,[ 4 18] ; [2 4],[ 4.71428571 17.28571429] ; [1.28571429 4.71428571],0
n6,1,0.424415,0.638058,[20 10] ; [7 6],[18.8372093 11.1627907] ; [8.1627907 4.8372093],0
u3,1,0.485845,0.485714,[6 4] ; [3 4],[5.29411765 4.70588235] ; [3.70588235 3.29411765],0
a4,1,0.497224,0.460857,[ 8 23] ; [5 9],[ 8.95555556 22.04444444] ; [4.04444444 9.95555556],0
p6,1,0.510704,0.432624,[12 19] ; [ 4 10],[11.02222222 19.97777778] ; [4.97777778 9.02222222],0
p1,1,0.516375,0.421127,[ 1 30] ; [ 1 12],[ 1.40909091 29.59090909] ; [ 0.59090909 12.40909091],0
p5,1,0.516375,0.421127,[ 1 30] ; [ 1 12],[ 1.40909091 29.59090909] ; [ 0.59090909 12.40909091],0
r2,1,0.598312,0.27755,[17 11] ; [9 4],[17.75609756 10.24390244] ; [8.24390244 4.75609756],0
v4,1,0.636906,0.222812,[20  9] ; [8 5],[19.33333333  9.66666667] ; [8.66666667 4.33333333],0
n2,1,0.636982,0.222711,[10  3] ; [4 2],[9.57894737 3.42105263] ; [4.42105263 1.57894737],0
r1,1,0.665079,0.187412,[ 7 24] ; [ 4 10],[ 7.57777778 23.42222222] ; [ 3.42222222 10.57777778],0
a6,1,0.693306,0.15553,[18 13] ; [9 5],[18.6 12.4] ; [8.4 5.6],0
d3,1,0.693306,0.15553,[18 13] ; [9 5],[18.6 12.4] ; [8.4 5.6],0
b1,1,0.730668,0.118499,[15 16] ; [6 8],[14.46666667 16.53333333] ; [6.53333333 7.46666667],0
b4,1,0.730668,0.118499,[15 16] ; [6 8],[14.46666667 16.53333333] ; [6.53333333 7.46666667],0
n1,1,0.750042,0.101496,[ 3 10] ; [1 5],[ 2.73684211 10.26315789] ; [1.26315789 4.73684211],0
d4,1,0.751731,0.100083,[23  8] ; [11  3],[23.42222222  7.57777778] ; [10.57777778  3.42222222],0
v1,1,0.756871,0.095847,[11 18] ; [6 8],[11.46511628 17.53488372] ; [5.53488372 8.46511628],0
d1,1,0.763256,0.090726,[14 17] ; [7 7],[14.46666667 16.53333333] ; [6.53333333 7.46666667],0
p10,1,0.763406,0.090608,[20 11] ; [9 4],[20.43181818 10.56818182] ; [8.56818182 4.43181818],0
p8,1,0.785671,0.07395,[12 18] ; [5 9],[11.59090909 18.40909091] ; [5.40909091 8.59090909],0
s4,1,0.804671,0.061161,[10 21] ; [ 4 10],[ 9.64444444 21.35555556] ; [4.35555556 9.64444444],0
d2,1,0.847846,0.036813,[12 19] ; [5 9],[11.71111111 19.28888889] ; [5.28888889 8.71111111],0
v3,1,0.848705,0.036394,[ 8 23] ; [ 3 10],[ 7.75 23.25] ; [3.25 9.75],0
n3,1,0.875975,0.024359,[6 7] ; [3 3],[6.15789474 6.84210526] ; [2.84210526 3.15789474],0
p3,1,0.885497,0.020737,[14 17] ; [6 8],[13.77777778 17.22222222] ; [6.22222222 7.77777778],0
s3,1,0.931419,0.007406,[24  7] ; [11  3],[24.11111111  6.88888889] ; [10.88888889  3.11111111],0
u2,1,0.949375,0.004031,[4 5] ; [3 4],[3.9375 5.0625] ; [3.0625 3.9375],0
