Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,6.9e-05,15.847636,[58 34] ; [ 9 28],[47.78294574 44.21705426] ; [19.21705426 17.78294574],1
p3,1,0.247312,1.338427,[56 34] ; [27 10],[58.81889764 31.18110236] ; [24.18110236 12.81889764],0
s3,1,0.253014,1.306583,[62 25] ; [30  7],[64.5483871 22.4516129] ; [27.4516129  9.5483871],0
r2,1,0.338238,0.917098,[90  2] ; [35  2],[89.14728682  2.85271318] ; [35.85271318  1.14728682],0
n5,1,0.338813,0.914919,[75 16] ; [33  4],[76.78125 14.21875] ; [31.21875  5.78125],0
d1,1,0.348953,0.877262,[65 27] ; [23 14],[62.75968992 29.24031008] ; [25.24031008 11.75968992],0
n6,1,0.419944,0.650471,[85  4] ; [34  3],[84.05555556  4.94444444] ; [34.94444444  2.05555556],0
a4,1,0.452218,0.565086,[49 43] ; [17 20],[47.06976744 44.93023256] ; [18.93023256 18.06976744],0
p11,1,0.479432,0.500156,[72 20] ; [31  6],[73.45736434 18.54263566] ; [29.54263566  7.45736434],0
v2,1,0.492467,0.471131,[76 15] ; [29  8],[74.6484375 16.3515625] ; [30.3515625  6.6484375],0
b4,1,0.507427,0.43937,[58 34] ; [21 16],[56.34108527 35.65891473] ; [22.65891473 14.34108527],0
u2,1,0.507726,0.43875,[13  7] ; [3 3],[12.30769231  7.69230769] ; [3.69230769 2.30769231],0
a3,1,0.546345,0.363906,[72 19] ; [31  6],[73.2265625 17.7734375] ; [29.7734375  7.2265625],0
p8,1,0.574628,0.315,[63 27] ; [27  9],[64.28571429 25.71428571] ; [25.71428571 10.28571429],0
s2,1,0.605952,0.266112,[70 21] ; [30  7],[71.09375 19.90625] ; [28.90625  8.09375],0
s7,1,0.718718,0.129724,[65 22] ; [28  8],[65.7804878 21.2195122] ; [27.2195122  8.7804878],0
p5,1,0.721194,0.127352,[29 62] ; [13 24],[29.859375 61.140625] ; [12.140625 24.859375],0
r1,1,0.722317,0.126283,[83  8] ; [33  4],[82.46875  8.53125] ; [33.53125  3.46875],0
a8,1,0.722468,0.126141,[ 7 73] ; [ 4 33],[ 7.52136752 72.47863248] ; [ 3.47863248 33.52136752],0
n3,1,0.756158,0.096429,[13  5] ; [7 2],[13.33333333  4.66666667] ; [6.66666667 2.33333333],0
b3,1,0.823414,0.049799,[24 27] ; [10 10],[24.42253521 26.57746479] ; [ 9.57746479 10.42253521],0
b2,1,0.823414,0.049799,[24 27] ; [10 10],[24.42253521 26.57746479] ; [ 9.57746479 10.42253521],0
r4,1,0.856972,0.032483,[90  2] ; [36  1],[89.86046512  2.13953488] ; [36.13953488  0.86046512],0
r3,1,0.868619,0.027361,[89  3] ; [36  1],[89.14728682  2.85271318] ; [35.85271318  1.14728682],0
s1,1,0.871302,0.026246,[ 2 88] ; [ 1 36],[ 2.12598425 87.87401575] ; [ 0.87401575 36.12598425],0
a5,1,0.88727,0.020096,[78 14] ; [31  6],[77.73643411 14.26356589] ; [31.26356589  5.73643411],0
p6,1,0.906673,0.013744,[41 48] ; [17 19],[41.296 47.704] ; [16.704 19.296],0
p2,1,0.909296,0.012979,[78 13] ; [32  5],[78.203125 12.796875] ; [31.796875  5.203125],0
n1,1,0.914641,0.011489,[ 6 11] ; [3 5],[ 6.12 10.88] ; [2.88 5.12],0
d4,1,0.916597,0.010967,[79 12] ; [31  5],[78.81889764 12.18110236] ; [31.18110236  4.81889764],0
p4,1,0.916727,0.010932,[69 20] ; [29  8],[69.22222222 19.77777778] ; [28.77777778  8.22222222],0
d2,1,0.967988,0.001611,[49 41] ; [20 17],[48.8976378 41.1023622] ; [20.1023622 16.8976378],0
