Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000286,13.159821,[ 5 29] ; [11  6],[10.66666667 23.33333333] ; [ 5.33333333 11.66666667],1
r1,1,0.534217,0.386364,[13 21] ; [ 5 12],[12. 22.] ; [ 6. 11.],0
b2,1,0.534731,0.385392,[ 6 12] ; [ 3 10],[ 5.22580645 12.77419355] ; [3.77419355 9.22580645],0
b3,1,0.534731,0.385392,[ 6 12] ; [ 3 10],[ 5.22580645 12.77419355] ; [3.77419355 9.22580645],0
n5,1,0.546136,0.364286,[19 15] ; [11  6],[20. 14.] ; [10.  7.],0
n4,1,0.546136,0.364286,[19 15] ; [11  6],[20. 14.] ; [10.  7.],0
p5,1,0.586078,0.296512,[ 6 28] ; [ 2 15],[ 5.33333333 28.66666667] ; [ 2.66666667 14.33333333],0
n3,1,0.636982,0.222711,[10  4] ; [3 2],[9.57894737 4.42105263] ; [3.42105263 1.57894737],0
d2,1,0.669538,0.182143,[10 24] ; [ 6 11],[10.66666667 23.33333333] ; [ 5.33333333 11.66666667],0
p10,1,0.669538,0.182143,[24 10] ; [11  6],[23.33333333 10.66666667] ; [11.66666667  5.33333333],0
r4,1,0.685032,0.164516,[14 20] ; [ 6 11],[13.33333333 20.66666667] ; [ 6.66666667 10.33333333],0
a3,1,0.692005,0.156923,[16 18] ; [9 8],[16.66666667 17.33333333] ; [8.33333333 8.66666667],0
s1,1,0.712656,0.135638,[ 3 31] ; [ 1 16],[ 2.66666667 31.33333333] ; [ 1.33333333 15.66666667],0
v2,1,0.754476,0.097808,[14 19] ; [8 9],[14.52 18.48] ; [7.48 9.52],0
d1,1,0.824412,0.049228,[ 9 25] ; [ 5 12],[ 9.33333333 24.66666667] ; [ 4.66666667 12.33333333],0
v1,1,0.833635,0.044118,[11 23] ; [ 6 11],[11.33333333 22.66666667] ; [ 5.66666667 11.33333333],0
b5,1,0.841542,0.039969,[19 15] ; [10  7],[19.33333333 14.66666667] ; [9.66666667 7.33333333],0
s5,1,1.0,0.0,[ 6 28] ; [ 3 14],[ 6. 28.] ; [ 3. 14.],0
p1,1,1.0,0.0,[ 2 32] ; [ 1 16],[ 2. 32.] ; [ 1. 16.],0
p11,1,1.0,0.0,[26  8] ; [13  4],[26.  8.] ; [13.  4.],0
b1,1,1.0,0.0,[18 16] ; [9 8],[18. 16.] ; [9. 8.],0
