Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,2e-06,22.664294,[ 4 76] ; [15 23],[12.88135593 67.11864407] ; [ 6.11864407 31.88135593],1
p1,1,0.287424,1.13165,[ 9 70] ; [ 2 36],[ 7.42735043 71.57264957] ; [ 3.57264957 34.42735043],0
s1,1,0.289119,1.123717,[ 6 73] ; [ 1 37],[ 4.72649573 74.27350427] ; [ 2.27350427 35.72649573],0
a2,1,0.313229,1.017011,[11 69] ; [ 8 30],[12.88135593 67.11864407] ; [ 6.11864407 31.88135593],0
s4,1,0.323278,0.975638,[ 6 74] ; [ 5 33],[ 7.45762712 72.54237288] ; [ 3.54237288 34.45762712],0
a5,1,0.324294,0.97155,[45 35] ; [25 13],[47.45762712 32.54237288] ; [22.54237288 15.45762712],0
a3,1,0.331635,0.942503,[53 26] ; [22 16],[50.64102564 28.35897436] ; [24.35897436 13.64102564],0
n4,1,0.34462,0.893167,[41 39] ; [23 15],[43.38983051 36.61016949] ; [20.61016949 17.38983051],0
d3,1,0.379982,0.770759,[41 38] ; [23 15],[43.21367521 35.78632479] ; [20.78632479 17.21367521],0
d4,1,0.48519,0.487175,[51 28] ; [27 11],[52.66666667 26.33333333] ; [25.33333333 12.66666667],0
a1,1,0.50492,0.444581,[ 7 73] ; [ 2 36],[ 6.10169492 73.89830508] ; [ 2.89830508 35.10169492],0
r2,1,0.58971,0.290797,[61 18] ; [31  7],[62.11965812 16.88034188] ; [29.88034188  8.11965812],0
b3,1,0.601777,0.272324,[15 29] ; [ 7 18],[14.02898551 29.97101449] ; [ 7.97101449 17.02898551],0
b2,1,0.601777,0.272324,[15 29] ; [ 7 18],[14.02898551 29.97101449] ; [ 7.97101449 17.02898551],0
n3,1,0.603364,0.269952,[17 12] ; [10  5],[17.79545455 11.20454545] ; [9.20454545 5.79545455],0
n1,1,0.663687,0.189076,[12 18] ; [ 5 10],[11.33333333 18.66666667] ; [5.66666667 9.33333333],0
v3,1,0.698952,0.149565,[17 59] ; [ 9 26],[17.8018018 58.1981982] ; [ 8.1981982 26.8018018],0
a6,1,0.728645,0.120359,[50 30] ; [25 13],[50.84745763 29.15254237] ; [24.15254237 13.84745763],0
d5,1,0.799626,0.06443,[55 25] ; [27 11],[55.59322034 24.40677966] ; [26.40677966 11.59322034],0
n5,1,0.862227,0.030116,[34 45] ; [17 21],[34.43589744 44.56410256] ; [16.56410256 21.43589744],0
b1,1,0.909399,0.01295,[43 37] ; [20 18],[42.71186441 37.28813559] ; [20.28813559 17.71186441],0
b4,1,0.978577,0.000721,[44 36] ; [21 17],[44.06779661 35.93220339] ; [20.93220339 17.06779661],0
