Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,6.9e-05,15.830206,[ 9 63] ; [17 19],[17.33333333 54.66666667] ; [ 8.66666667 27.33333333],1
r2,1,0.652035,0.203344,[57 15] ; [29  6],[57.86915888 14.13084112] ; [28.13084112  6.86915888],0
b1,1,0.675422,0.175325,[27 45] ; [15 21],[28. 44.] ; [14. 22.],0
p12,1,0.74608,0.104854,[ 3 69] ; [ 2 34],[ 3.33333333 68.66666667] ; [ 1.66666667 34.33333333],0
d3,1,0.76952,0.085851,[22 50] ; [12 24],[22.66666667 49.33333333] ; [11.33333333 24.66666667],0
p11,1,0.775674,0.081203,[46 26] ; [24 12],[46.66666667 25.33333333] ; [23.33333333 12.66666667],0
a6,1,0.779161,0.078631,[28 44] ; [13 23],[27.33333333 44.66666667] ; [13.66666667 22.33333333],0
r1,1,0.785459,0.074099,[36 36] ; [17 19],[35.33333333 36.66666667] ; [17.66666667 18.33333333],0
s1,1,0.810394,0.057561,[ 5 66] ; [ 3 33],[ 5.30841121 65.69158879] ; [ 2.69158879 33.30841121],0
a7,1,0.891292,0.018679,[33 39] ; [16 20],[32.66666667 39.33333333] ; [16.33333333 19.66666667],0
d4,1,0.938578,0.005938,[31 40] ; [16 20],[31.18691589 39.81308411] ; [15.81308411 20.18691589],0
d1,1,1.0,0.0,[ 2 70] ; [ 1 35],[ 2. 70.] ; [ 1. 35.],0
