Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,6e-06,20.435332,[27 45] ; [200 101],[43.81769437 28.18230563] ; [183.18230563 117.81769437],1
n4,1,0.447581,0.57677,[56 16] ; [221  80],[53.4691689 18.5308311] ; [223.5308311  77.4691689],0
v4,1,0.494575,0.466557,[63  8] ; [274  26],[64.49326146  6.50673854] ; [272.50673854  27.49326146],0
r3,1,0.495352,0.464881,[66  5] ; [272  29],[64.51075269  6.48924731] ; [273.48924731  27.51075269],0
b4,1,0.499206,0.456625,[45 27] ; [175 126],[42.46648794 29.53351206] ; [177.53351206 123.46648794],0
s3,1,0.507792,0.438615,[13 58] ; [ 65 232],[15.04891304 55.95108696] ; [ 62.95108696 234.04891304],0
n5,1,0.581984,0.303039,[52 20] ; [206  93],[50.07008086 21.92991914] ; [207.92991914  91.07008086],0
d3,1,0.585058,0.298129,[51 21] ; [222  78],[52.83870968 19.16129032] ; [220.16129032  79.83870968],0
v3,1,0.622874,0.241848,[23 48] ; [104 189],[24.77197802 46.22802198] ; [102.22802198 190.77197802],0
a2,1,0.644793,0.212528,[14 58] ; [ 66 235],[15.44235925 56.55764075] ; [ 64.55764075 236.44235925],0
n3,1,0.656175,0.198203,[12  5] ; [50 27],[11.21276596  5.78723404] ; [50.78723404 26.21276596],0
p9,1,0.696835,0.151786,[57 15] ; [228  68],[55.76086957 16.23913043] ; [229.23913043  66.76086957],0
r2,1,0.788833,0.071731,[64  7] ; [268  26],[64.58082192  6.41917808] ; [267.41917808  26.58082192],0
u3,1,0.795945,0.066873,[10  8] ; [47 43],[9.5 8.5] ; [47.5 42.5],0
v1,1,0.801395,0.063273,[35 36] ; [141 155],[34.04904632 36.95095368] ; [141.95095368 154.04904632],0
u2,1,0.81318,0.05585,[9 8] ; [51 40],[9.44444444 7.55555556] ; [50.55555556 40.44444444],0
p11,1,0.988324,0.000214,[54 18] ; [226  75],[54.04825737 17.95174263] ; [225.95174263  75.04825737],0
