Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1e-06,23.433807,[55  2] ; [22 17],[45.71875 11.28125] ; [31.28125  7.71875],1
r2,1,0.187042,1.740763,[50  5] ; [31  7],[47.90322581  7.09677419] ; [33.09677419  4.90322581],0
a8,1,0.2565,1.287551,[ 6 45] ; [ 8 31],[ 7.93333333 43.06666667] ; [ 6.06666667 32.93333333],0
b1,1,0.302225,1.064349,[29 28] ; [24 15],[31.46875 25.53125] ; [21.53125 17.46875],0
s3,1,0.31364,1.015287,[29 26] ; [16 22],[26.61290323 28.38709677] ; [18.38709677 19.61290323],0
n5,1,0.385773,0.752224,[33 24] ; [26 13],[35.03125 21.96875] ; [23.96875 15.03125],0
a7,1,0.40056,0.706646,[37 20] ; [22 17],[35.03125 21.96875] ; [23.96875 15.03125],0
s7,1,0.409217,0.681075,[20 34] ; [10 25],[18.20224719 35.79775281] ; [11.79775281 23.20224719],0
b4,1,0.417005,0.658741,[34 23] ; [20 19],[32.0625 24.9375] ; [21.9375 17.0625],0
s4,1,0.439642,0.597215,[ 7 50] ; [ 7 32],[ 8.3125 48.6875] ; [ 5.6875 33.3125],0
u1,1,0.500068,0.454793,[ 5 52] ; [ 2 37],[ 4.15625 52.84375] ; [ 2.84375 36.15625],0
d1,1,0.539361,0.376726,[27 30] ; [16 23],[25.53125 31.46875] ; [17.46875 21.53125],0
a6,1,0.540791,0.374076,[38 19] ; [23 15],[36.6 20.4] ; [24.4 13.6],0
a4,1,0.624674,0.239353,[22 35] ; [17 22],[23.15625 33.84375] ; [15.84375 23.15625],0
n1,1,0.652605,0.202632,[7 7] ; [ 8 11],[6.36363636 7.63636364] ; [ 8.63636364 10.36363636],0
p6,1,0.657428,0.196663,[12 42] ; [ 7 31],[11.15217391 42.84782609] ; [ 7.84782609 30.15217391],0
s5,1,0.660029,0.193489,[ 9 46] ; [ 7 28],[ 9.77777778 45.22222222] ; [ 6.22222222 28.77777778],0
p5,1,0.676587,0.173993,[ 2 55] ; [ 2 36],[ 2.4 54.6] ; [ 1.6 36.4],0
n3,1,0.687922,0.161345,[9 6] ; [9 8],[8.4375 6.5625] ; [9.5625 7.4375],0
a2,1,0.714337,0.133984,[10 47] ; [ 8 31],[10.6875 46.3125] ; [ 7.3125 31.6875],0
d3,1,0.73116,0.118049,[34 23] ; [24 14],[34.8 22.2] ; [23.2 14.8],0
s1,1,0.738285,0.111639,[ 2 52] ; [ 2 37],[ 2.32258065 51.67741935] ; [ 1.67741935 37.32258065],0
s2,1,0.746633,0.104382,[19 37] ; [12 27],[18.27368421 37.72631579] ; [12.72631579 26.27368421],0
v3,1,0.870719,0.026486,[16 37] ; [10 25],[15.65909091 37.34090909] ; [10.34090909 24.65909091],0
p1,1,0.919679,0.010168,[ 4 52] ; [ 3 36],[ 4.12631579 51.87368421] ; [ 2.87368421 36.12631579],0
a5,1,0.921136,0.009802,[40 17] ; [27 12],[39.78125 17.21875] ; [27.21875 11.78125],0
a3,1,0.926011,0.008624,[41 16] ; [27 11],[40.8 16.2] ; [27.2 10.8],0
p3,1,0.985385,0.000336,[20 36] ; [14 25],[20.04210526 35.95789474] ; [13.95789474 25.04210526],0
