Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5e-06,21.033654,[54 37] ; [21 63],[39. 52.] ; [36. 48.],1
b2,1,0.69414,0.15464,[16 38] ; [12 34],[15.12 38.88] ; [12.88 33.12],0
b3,1,0.69414,0.15464,[16 38] ; [12 34],[15.12 38.88] ; [12.88 33.12],0
p1,1,0.717289,0.131105,[ 7 83] ; [ 8 78],[ 7.67045455 82.32954545] ; [ 7.32954545 78.67045455],0
u2,1,0.756201,0.096394,[17 10] ; [26 13],[17.59090909  9.40909091] ; [25.40909091 13.59090909],0
r4,1,0.798125,0.065421,[63 28] ; [58 28],[62.20903955 28.79096045] ; [58.79096045 27.20903955],0
u1,1,0.830015,0.046088,[ 6 85] ; [ 5 81],[ 5.65536723 85.34463277] ; [ 5.34463277 80.65536723],0
d3,1,0.881072,0.022383,[53 37] ; [51 34],[53.48571429 36.51428571] ; [50.51428571 34.48571429],0
p4,1,0.886889,0.020233,[34 56] ; [33 52],[34.45714286 55.54285714] ; [32.54285714 52.45714286],0
d1,1,0.900436,0.015653,[40 51] ; [37 49],[39.58757062 51.41242938] ; [37.41242938 48.58757062],0
p7,1,0.910024,0.012771,[43 47] ; [38 43],[42.63157895 47.36842105] ; [38.36842105 42.63157895],0
p9,1,0.914387,0.011558,[55 35] ; [52 32],[55.34482759 34.65517241] ; [51.65517241 32.34482759],0
b4,1,0.961948,0.002276,[49 42] ; [46 40],[48.84180791 42.15819209] ; [46.15819209 39.84180791],0
b5,1,0.989005,0.00019,[53 38] ; [50 36],[52.95480226 38.04519774] ; [50.04519774 35.95480226],0
