Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1e-06,23.653146,[17  5] ; [14 54],[ 7.57777778 14.42222222] ; [23.42222222 44.57777778],1
b4,1,0.464718,0.534508,[10 12] ; [37 31],[11.48888889 10.51111111] ; [35.51111111 32.48888889],0
p10,1,0.50512,0.444163,[12  8] ; [34 32],[10.69767442  9.30232558] ; [35.30232558 30.69767442],0
n2,1,0.507335,0.43956,[6 2] ; [20 12],[5.2 2.8] ; [20.8 11.2],0
v2,1,0.507857,0.43848,[ 7 15] ; [16 49],[ 5.81609195 16.18390805] ; [17.18390805 47.81609195],0
b5,1,0.533448,0.38782,[13  9] ; [35 33],[11.73333333 10.26666667] ; [36.26666667 31.73333333],0
a8,1,0.582816,0.301704,[ 2 18] ; [ 4 59],[ 1.44578313 18.55421687] ; [ 4.55421687 58.44578313],0
n3,1,0.633553,0.227273,[5 3] ; [17 15],[4.4 3.6] ; [17.6 14.4],0
p1,1,0.635872,0.224182,[ 1 21] ; [ 5 62],[ 1.48314607 20.51685393] ; [ 4.51685393 62.48314607],0
u3,1,0.676855,0.173688,[4 7] ; [11 26],[3.4375 7.5625] ; [11.5625 25.4375],0
r2,1,0.696189,0.152467,[ 9 11] ; [32 32],[ 9.76190476 10.23809524] ; [31.23809524 32.76190476],0
p12,1,0.724947,0.123802,[ 1 21] ; [ 2 65],[ 0.74157303 21.25842697] ; [ 2.25842697 64.74157303],0
a7,1,0.845111,0.038166,[ 9 13] ; [29 38],[ 9.39325843 12.60674157] ; [28.60674157 38.39325843],0
n5,1,0.886031,0.020543,[13  8] ; [42 24],[13.27586207  7.72413793] ; [41.72413793 24.27586207],0
a3,1,0.901807,0.015222,[10 12] ; [31 35],[10.25 11.75] ; [30.75 35.25],0
u2,1,0.952972,0.003478,[5 6] ; [16 20],[4.91489362 6.08510638] ; [16.08510638 19.91489362],0
v4,1,0.976387,0.000876,[13  9] ; [37 26],[12.94117647  9.05882353] ; [37.05882353 25.94117647],0
a2,1,0.978899,0.0007,[ 1 21] ; [ 3 65],[ 0.97777778 21.02222222] ; [ 3.02222222 64.97777778],0
s1,1,0.984597,0.000373,[ 2 20] ; [ 6 61],[ 1.97752809 20.02247191] ; [ 6.02247191 60.97752809],0
