Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,34.439652,[ 32 119] ; [121 116],[59.54381443 91.45618557] ; [ 93.45618557 143.54381443],1
d2,1,0.102958,2.659109,[ 28 122] ; [ 30 208],[ 22.42268041 127.57731959] ; [ 35.57731959 202.42268041],0
a5,1,0.106419,2.606605,[73 78] ; [135 103],[80.7403599 70.2596401] ; [127.2596401 110.7403599],0
p4,1,0.114437,2.491847,[58 92] ; [111 126],[65.50387597 84.49612403] ; [103.49612403 133.50387597],0
s1,1,0.148521,2.087379,[  9 140] ; [  7 226],[  6.2408377 142.7591623] ; [  9.7591623 223.2408377],0
n3,1,0.150397,2.068218,[35 20] ; [39 12],[38.39622642 16.60377358] ; [35.60377358 15.39622642],0
u1,1,0.1739,1.848998,[  3 148] ; [ 11 227],[  5.4344473 145.5655527] ; [  8.5655527 229.4344473],0
a2,1,0.196507,1.668147,[  6 145] ; [ 17 221],[  8.92802057 142.07197943] ; [ 14.07197943 223.92802057],0
s8,1,0.205872,1.600221,[ 50 100] ; [ 65 173],[ 44.45876289 105.54123711] ; [ 70.54123711 167.45876289],0
n6,1,0.22056,1.500726,[106  44] ; [180  56],[111.13989637  38.86010363] ; [174.86010363  61.13989637],0
p6,1,0.252419,1.309864,[ 32 116] ; [ 63 172],[ 36.71018277 111.28981723] ; [ 58.28981723 176.71018277],0
b4,1,0.350963,0.869974,[79 72] ; [136 102],[83.45758355 67.54241645] ; [131.54241645 106.45758355],0
u2,1,0.366756,0.814627,[31 38] ; [53 49],[33.89473684 35.10526316] ; [50.10526316 51.89473684],0
p7,1,0.378349,0.776058,[78 71] ; [131  99],[82.16622691 66.83377309] ; [126.83377309 103.16622691],0
a8,1,0.404559,0.694734,[ 16 126] ; [ 32 192],[ 18.62295082 123.37704918] ; [ 29.37704918 194.62295082],0
p3,1,0.479637,0.499689,[53 98] ; [ 92 146],[56.28534704 94.71465296] ; [ 88.71465296 149.28534704],0
s7,1,0.532653,0.389327,[57 89] ; [ 81 145],[54.16129032 91.83870968] ; [ 83.83870968 142.16129032],0
v3,1,0.550256,0.356859,[ 45 101] ; [ 66 170],[ 42.42408377 103.57591623] ; [ 68.57591623 167.42408377],0
b1,1,0.565204,0.330773,[66 85] ; [ 97 141],[63.27249357 87.72750643] ; [ 99.72750643 138.27249357],0
s2,1,0.577201,0.310781,[57 93] ; [ 96 139],[59.61038961 90.38961039] ; [ 93.38961039 141.61038961],0
v1,1,0.582458,0.302277,[64 84] ; [107 125],[66.6 81.4] ; [104.4 127.6],0
p1,1,0.585621,0.297235,[ 11 139] ; [ 14 222],[  9.71502591 140.28497409] ; [ 15.28497409 220.71502591],0
s4,1,0.632846,0.228221,[ 26 125] ; [ 45 190],[ 27.7746114 123.2253886] ; [ 43.2253886 191.7746114],0
p11,1,0.726136,0.122689,[106  45] ; [171  67],[107.52442159  43.47557841] ; [169.47557841  68.52442159],0
n5,1,0.747791,0.103397,[103  47] ; [157  77],[101.5625  48.4375] ; [158.4375  75.5625],0
n4,1,0.778217,0.079323,[99 52] ; [158  78],[100.27648579  50.72351421] ; [156.72351421  79.27648579],0
a3,1,0.807357,0.059456,[82 68] ; [132 104],[83.16062176 66.83937824] ; [130.83937824 105.16062176],0
s5,1,0.815857,0.054232,[ 34 111] ; [ 52 180],[ 33.07692308 111.92307692] ; [ 52.92307692 179.07692308],0
n1,1,0.855328,0.033242,[21 35] ; [20 31],[21.45794393 34.54205607] ; [19.54205607 31.45794393],0
s3,1,0.86031,0.030969,[72 76] ; [116 118],[72.83769634 75.16230366] ; [115.16230366 118.83769634],0
a4,1,0.915884,0.011156,[ 36 114] ; [ 58 179],[ 36.43410853 113.56589147] ; [ 57.56589147 179.43410853],0
n2,1,0.929194,0.007896,[44 13] ; [39 12],[43.80555556 13.19444444] ; [39.19444444 11.80555556],0
