Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,4e-06,21.060314,[18 10] ; [16 70],[ 8.35087719 19.64912281] ; [25.64912281 60.35087719],1
a8,1,0.64494,0.21234,[ 1 25] ; [ 5 75],[ 1.47169811 24.52830189] ; [ 4.52830189 75.47169811],0
u3,1,0.695654,0.153033,[4 8] ; [11 29],[3.46153846 8.53846154] ; [11.53846154 28.46153846],0
n1,1,0.696022,0.152643,[4 7] ; [13 30],[3.46296296 7.53703704] ; [13.53703704 29.46296296],0
p12,1,0.720565,0.127952,[ 1 27] ; [ 2 84],[ 0.73684211 27.26315789] ; [ 2.26315789 83.73684211],0
r3,1,0.741122,0.109143,[13 14] ; [43 40],[13.74545455 13.25454545] ; [42.25454545 40.74545455],0
r2,1,0.751388,0.100368,[16 10] ; [47 34],[15.30841121 10.69158879] ; [47.69158879 33.30841121],0
n3,1,0.788351,0.072067,[6 5] ; [21 21],[5.60377358 5.39622642] ; [21.39622642 20.60377358],0
r1,1,0.840488,0.040509,[ 7 20] ; [24 62],[ 7.40707965 19.59292035] ; [23.59292035 62.40707965],0
a3,1,0.873768,0.025241,[15 13] ; [47 38],[15.36283186 12.63716814] ; [46.63716814 38.36283186],0
b5,1,0.948686,0.004142,[15 13] ; [46 41],[14.85217391 13.14782609] ; [46.14782609 40.85217391],0
a4,1,0.967484,0.001662,[ 9 19] ; [28 58],[ 9.0877193 18.9122807] ; [27.9122807 58.0877193],0
u2,1,0.968527,0.001557,[5 7] ; [16 23],[4.94117647 7.05882353] ; [16.05882353 22.94117647],0
s1,1,0.976157,0.000893,[ 2 26] ; [ 6 80],[ 1.96491228 26.03508772] ; [ 6.03508772 79.96491228],0
