Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.006542,7.394485,[88  9] ; [19  8],[83.7016129 13.2983871] ; [23.2983871  3.7016129],0
d4,1,0.575444,0.313659,[72 25] ; [20  9],[70.82539683 26.17460317] ; [21.17460317  7.82539683],0
s6,1,0.585769,0.297001,[56 36] ; [16 13],[54.74380165 37.25619835] ; [17.25619835 11.74380165],0
n1,1,0.587746,0.293878,[11 17] ; [4 4],[11.66666667 16.33333333] ; [3.33333333 4.66666667],0
r3,1,0.667424,0.184631,[95  2] ; [28  1],[94.69047619  2.30952381] ; [28.30952381  0.69047619],0
a4,1,0.688922,0.160255,[34 63] ; [ 9 20],[33.1031746 63.8968254] ; [ 9.8968254 19.1031746],0
u1,1,0.704988,0.143335,[ 5 92] ; [ 1 28],[ 4.61904762 92.38095238] ; [ 1.38095238 27.61904762],0
b2,1,0.733053,0.116327,[20 36] ; [ 8 12],[20.63157895 35.36842105] ; [ 7.36842105 12.63157895],0
b3,1,0.733053,0.116327,[20 36] ; [ 8 12],[20.63157895 35.36842105] ; [ 7.36842105 12.63157895],0
u3,1,0.78472,0.074624,[18 21] ; [5 7],[17.58823529 21.41176471] ; [5.41176471 6.58823529],0
b4,1,0.796275,0.066652,[61 36] ; [19 10],[61.58730159 35.41269841] ; [18.41269841 10.58730159],0
d2,1,0.815101,0.054686,[37 60] ; [10 18],[36.472 60.528] ; [10.528 17.472],0
d1,1,0.854573,0.033594,[42 55] ; [12 17],[41.57142857 55.42857143] ; [12.42857143 16.57142857],0
s8,1,0.874655,0.024884,[35 62] ; [10 19],[34.64285714 62.35714286] ; [10.35714286 18.64285714],0
s4,1,0.896118,0.017048,[19 78] ; [ 6 23],[19.24603175 77.75396825] ; [ 5.75396825 23.24603175],0
a3,1,0.910088,0.012753,[58 39] ; [17 12],[57.73809524 39.26190476] ; [17.26190476 11.73809524],0
u2,1,0.938076,0.006036,[20 19] ; [6 6],[19.88235294 19.11764706] ; [6.11764706 5.88235294],0
s2,1,0.959628,0.002562,[44 53] ; [13 16],[43.88095238 53.11904762] ; [13.11904762 15.88095238],0
a5,1,0.962255,0.00224,[54 43] ; [16 13],[53.88888889 43.11111111] ; [16.11111111 12.88888889],0
r2,1,0.989405,0.000176,[90  7] ; [26  2],[90.016  6.984] ; [25.984  2.016],0
