Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,5e-06,20.942746,[15 19] ; [91 18],[25.2027972  8.7972028] ; [80.7972028 28.2027972],1
b1,1,0.276431,1.184554,[17 17] ; [43 66],[14.26573427 19.73426573] ; [45.73426573 63.26573427],0
a8,1,0.326581,0.962406,[ 2 30] ; [12 84],[ 3.5 28.5] ; [10.5 85.5],0
a2,1,0.411977,0.673087,[ 5 29] ; [23 86],[ 6.65734266 27.34265734] ; [21.34265734 87.65734266],0
v4,1,0.425672,0.634601,[30  4] ; [100   8],[31.12676056  2.87323944] ; [98.87323944  9.12676056],0
p1,1,0.456023,0.55564,[ 2 32] ; [11 98],[ 3.09090909 30.90909091] ; [ 9.90909091 99.09090909],0
a1,1,0.545304,0.365798,[ 1 33] ; [  6 103],[ 1.66433566 32.33566434] ; [  5.33566434 103.66433566],0
s4,1,0.545555,0.36534,[ 2 32] ; [10 99],[ 2.85314685 31.14685315] ; [ 9.14685315 99.85314685],0
v2,1,0.577124,0.310907,[21 13] ; [71 35],[22.34285714 11.65714286] ; [69.65714286 36.34285714],0
s5,1,0.596052,0.280992,[ 5 29] ; [20 87],[ 6.02836879 27.97163121] ; [18.97163121 88.02836879],0
b4,1,0.645981,0.211005,[19 15] ; [56 53],[17.83216783 16.16783217] ; [57.16783217 51.83216783],0
u1,1,0.668846,0.182954,[ 4 30] ; [16 93],[ 4.75524476 29.24475524] ; [15.24475524 93.75524476],0
p12,1,0.749143,0.102252,[ 2 31] ; [  5 102],[ 1.65 31.35] ; [  5.35 101.65],0
b5,1,0.770077,0.085424,[19 15] ; [64 45],[19.73426573 14.26573427] ; [63.26573427 45.73426573],0
p9,1,0.842169,0.039649,[26  7] ; [86 21],[26.4  6.6] ; [85.6 21.4],0
s3,1,0.858787,0.031655,[ 9 25] ; [30 77],[ 9.40425532 24.59574468] ; [29.59574468 77.40425532],0
s2,1,0.893927,0.017779,[ 8 26] ; [24 83],[ 7.71631206 26.28368794] ; [24.28368794 82.71631206],0
n3,1,0.940006,0.005664,[7 2] ; [13  4],[6.92307692 2.07692308] ; [13.07692308  3.92307692],0
d4,1,0.942819,0.005145,[26  8] ; [84 25],[26.15384615  7.84615385] ; [83.84615385 25.15384615],0
a3,1,0.965069,0.001918,[25  9] ; [79 29],[24.90140845  9.09859155] ; [79.09859155 28.90140845],0
