Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,32.528733,[ 28 106] ; [123 118],[53.95733333 80.04266667] ; [ 97.04266667 143.95733333],1
d5,1,0.137984,2.200302,[68 66] ; [142 100],[74.84042553 59.15957447] ; [135.15957447 106.84042553],0
v2,1,0.187781,1.734945,[54 73] ; [115 116],[59.95251397 67.04748603] ; [109.04748603 121.95251397],0
n6,1,0.23061,1.437092,[100  33] ; [194  47],[104.55080214  28.44919786] ; [189.44919786  51.55080214],0
a5,1,0.234645,1.41248,[69 65] ; [140 102],[74.48404255 59.51595745] ; [134.51595745 107.48404255],0
v4,1,0.234792,1.411591,[123  10] ; [230  11],[125.53208556   7.46791444] ; [227.46791444  13.53208556],0
n3,1,0.254147,1.300361,[30 13] ; [40 10],[32.3655914 10.6344086] ; [37.6344086 12.3655914],0
a2,1,0.260726,1.2649,[  6 128] ; [ 18 224],[  8.55319149 125.44680851] ; [ 15.44680851 226.55319149],0
s8,1,0.262241,1.256889,[48 85] ; [ 73 167],[43.14477212 89.85522788] ; [ 77.85522788 162.14477212],0
p12,1,0.278915,1.172367,[  9 123] ; [ 10 227],[  6.79674797 125.20325203] ; [ 12.20325203 224.79674797],0
s6,1,0.289326,1.122757,[73 55] ; [148  88],[77.71428571 50.28571429] ; [143.28571429  92.71428571],0
p3,1,0.290284,1.118304,[51 82] ; [106 135],[55.8315508 77.1684492] ; [101.1684492 139.8315508],0
p5,1,0.303502,1.058742,[ 10 122] ; [ 26 213],[ 12.80862534 119.19137466] ; [ 23.19137466 215.80862534],0
p6,1,0.322771,0.977684,[35 96] ; [ 75 162],[39.1576087 91.8423913] ; [ 70.8423913 166.1576087],0
p7,1,0.402181,0.701795,[72 59] ; [138  94],[75.78512397 55.21487603] ; [134.21487603  97.78512397],0
s2,1,0.42529,0.635652,[53 80] ; [105 133],[56.64150943 76.35849057] ; [101.35849057 136.64150943],0
b4,1,0.440395,0.595252,[72 62] ; [140 102],[75.55319149 58.44680851] ; [136.44680851 105.55319149],0
p1,1,0.486411,0.484456,[ 10 123] ; [ 23 215],[ 11.83018868 121.16981132] ; [ 21.16981132 216.83018868],0
s4,1,0.498915,0.457243,[ 20 114] ; [ 42 196],[ 22.33333333 111.66666667] ; [ 39.66666667 198.33333333],0
s1,1,0.501585,0.451581,[  7 125] ; [  9 227],[  5.73913043 126.26086957] ; [ 10.26086957 225.73913043],0
u1,1,0.556542,0.345728,[  3 131] ; [  8 234],[  3.92021277 130.07978723] ; [  7.07978723 234.92021277],0
s3,1,0.561,0.337975,[71 61] ; [120 117],[68.32520325 63.67479675] ; [122.67479675 114.32520325],0
p11,1,0.576906,0.311263,[101  33] ; [176  66],[98.71808511 35.28191489] ; [178.28191489  63.71808511],0
b1,1,0.598174,0.277759,[50 84] ; [ 97 145],[52.38829787 81.61170213] ; [ 94.61170213 147.38829787],0
a8,1,0.620408,0.245295,[ 15 112] ; [ 31 196],[ 16.50282486 110.49717514] ; [ 29.49717514 197.50282486],0
n5,1,0.629406,0.232867,[95 37] ; [167  73],[92.96774194 39.03225806] ; [169.03225806  70.96774194],0
a3,1,0.646352,0.21053,[74 59] ; [140 101],[76.10160428 56.89839572] ; [137.89839572 103.10160428],0
s5,1,0.653996,0.200899,[37 90] ; [ 63 171],[35.1800554 91.8199446] ; [ 64.8199446 169.1800554],0
a4,1,0.695425,0.153275,[35 98] ; [ 59 182],[33.42780749 99.57219251] ; [ 60.57219251 180.42780749],0
u2,1,0.729411,0.119653,[28 32] ; [49 50],[29.05660377 30.94339623] ; [47.94339623 51.05660377],0
n2,1,0.803847,0.061688,[36  9] ; [41  9],[36.47368421  8.52631579] ; [40.52631579  9.47368421],0
v3,1,0.827831,0.047299,[45 84] ; [ 80 157],[44.05737705 84.94262295] ; [ 80.94262295 156.05737705],0
n1,1,0.833758,0.044051,[18 26] ; [19 30],[17.50537634 26.49462366] ; [19.49462366 29.50537634],0
v1,1,0.876843,0.024017,[63 68] ; [115 120],[63.71038251 67.28961749] ; [114.28961749 120.71038251],0
s7,1,0.885593,0.020702,[54 77] ; [ 91 134],[53.35674157 77.64325843] ; [ 91.64325843 133.35674157],0
n4,1,0.971019,0.00132,[93 41] ; [167  73],[93.15508021 40.84491979] ; [166.84491979  73.15508021],0
