Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,4.3e-05,16.749687,[46  3] ; [149  83],[34.00355872 14.99644128] ; [160.99644128  71.00355872],1
u4,1,0.457588,0.551789,[ 1 49] ; [ 10 227],[ 1.91637631 48.08362369] ; [  9.08362369 227.91637631],0
a2,1,0.46521,0.533329,[13 37] ; [ 74 163],[15.15679443 34.84320557] ; [ 71.84320557 165.15679443],0
a1,1,0.465941,0.531587,[ 2 48] ; [ 16 221],[ 3.1358885 46.8641115] ; [ 14.8641115 222.1358885],0
v1,1,0.472258,0.516689,[30 20] ; [151  80],[32.20640569 17.79359431] ; [148.79359431  82.20640569],0
r1,1,0.494165,0.467445,[43  7] ; [210  25],[44.38596491  5.61403509] ; [208.61403509  26.38596491],0
b5,1,0.505435,0.443506,[30 20] ; [130 107],[27.87456446 22.12543554] ; [132.12543554 104.87456446],0
a6,1,0.516455,0.420967,[33 17] ; [166  69],[34.9122807 15.0877193] ; [164.0877193  70.9122807],0
d2,1,0.526312,0.401506,[37 13] ; [164  72],[35.13986014 14.86013986] ; [165.86013986  70.13986014],0
n4,1,0.545004,0.366344,[40 10] ; [198  39],[41.46341463  8.53658537] ; [196.53658537  40.46341463],0
b2,1,0.57633,0.312206,[10 19] ; [62 93],[11.34782609 17.65217391] ; [60.65217391 94.34782609],0
b3,1,0.57633,0.312206,[10 19] ; [62 93],[11.34782609 17.65217391] ; [60.65217391 94.34782609],0
n2,1,0.578747,0.308265,[7 3] ; [29  8],[7.65957447 2.34042553] ; [28.34042553  8.65957447],0
d3,1,0.581071,0.304506,[46  4] ; [211  25],[44.93006993  5.06993007] ; [212.06993007  23.93006993],0
b1,1,0.581202,0.304295,[20 30] ; [ 85 152],[18.29268293 31.70731707] ; [ 86.70731707 150.29268293],0
u2,1,0.627389,0.235618,[7 6] ; [27 17],[7.75438596 5.24561404] ; [26.24561404 17.75438596],0
a5,1,0.643048,0.214778,[42  8] ; [205  32],[43.03135889  6.96864111] ; [203.96864111  33.03135889],0
b4,1,0.648214,0.208159,[28 22] ; [141  96],[29.44250871 20.55749129] ; [139.55749129  97.44250871],0
u1,1,0.672939,0.178183,[13 37] ; [ 55 182],[11.8466899 38.1533101] ; [ 56.1533101 180.8466899],0
a4,1,0.696012,0.152654,[28 22] ; [125 111],[26.74825175 23.25174825] ; [126.25174825 109.74825175],0
u3,1,0.771732,0.084164,[8 5] ; [29 15],[8.43859649 4.56140351] ; [28.56140351 15.43859649],0
n5,1,0.807936,0.059093,[41  9] ; [190  46],[40.38461538  9.61538462] ; [190.61538462  45.38461538],0
r4,1,0.842908,0.039273,[48  2] ; [226  11],[47.73519164  2.26480836] ; [226.26480836  10.73519164],0
n6,1,0.879136,0.023124,[45  5] ; [208  25],[44.69964664  5.30035336] ; [208.30035336  24.69964664],0
v4,1,0.884172,0.021223,[49  1] ; [231   4],[49.12280702  0.87719298] ; [230.87719298   4.12280702],0
d4,1,0.884172,0.021223,[49  1] ; [231   4],[49.12280702  0.87719298] ; [230.87719298   4.12280702],0
p9,1,0.893761,0.017835,[45  5] ; [210  25],[44.73684211  5.26315789] ; [210.26315789  24.73684211],0
p12,1,0.910465,0.012646,[ 6 44] ; [ 27 209],[ 5.76923077 44.23076923] ; [ 27.23076923 208.76923077],0
p5,1,0.980906,0.000573,[ 9 41] ; [ 43 194],[ 9.05923345 40.94076655] ; [ 42.94076655 194.05923345],0
p1,1,0.986549,0.000284,[ 6 44] ; [ 28 207],[ 5.96491228 44.03508772] ; [ 28.03508772 206.96491228],0
